T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,0.00807089357348429,0.00404814447264313,0,0,0,0,0,0,nan,2.20306295057206e-05,0,6.15559540035498e-11,0,0,0,0.000259027174121074,0,1.66039929583306e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56634671797603,4.56634671797603,1.88484521320713e-15
1,0.00807089357348429,0.00404814447264313,0,1.49360402795967e-05,-2.97783817550345e-05,-9.26706685848295e-10,50050,2,0,2.20306295057206e-05,1.11292603349243e-11,6.1555940046298e-11,3.71002680088362e-10,4.97993142729021e-16,4.74928209610964e-10,0.000259027174121074,0.942102540814991,1.66039929583306e-08,0.813052790244926,2.00862461108287e-08,0.000158897886210596,-0.000353026065073989,-0.000353026065073989,-4.65547799291442e-06,-4.65547799291442e-06,0,0,0,0,0,0,0,1.47747417498156e-05,4.56631760124342,4.56633237598517,6.69765659459818e-15
2,0.00807089357734321,0.0040481444749368,-8.97800882041326e-15,2.9872080569823e-05,-5.95567635259922e-05,-1.76433446523138e-09,50050,4,0,2.20306335647716e-05,1.99169420535798e-10,2.44399020788189e-10,1.79065196511309e-09,2.19444787113765e-10,1.42845145587335e-09,0.000259027174132176,130.613000549207,7.35401068399089e-05,0.808461808250148,1.1255159221537,0.00040372712175607,2.36456274946402e-05,2.36456274946402e-05,-4.3766681468908e-06,-4.3766681468908e-06,0,0,0,0,0,0,0,3.08784508673521e-05,4.56631705359524,4.56634793204611,6.33834707276537e-11
3,0.00807089358415328,0.00404814447866643,-2.3563286886787e-14,4.48081208788786e-05,-8.93351453278565e-05,-2.31460645571544e-09,50050,6,0,2.20306403251921e-05,6.62181339842541e-10,8.22056351057321e-10,4.99121761361959e-09,1.06306134924452e-09,3.35796434071158e-09,0.000259027174152604,341.612238937364,0.000238235124794484,0.81588009073106,1.12560491641848,0.000854953270848169,9.2185064054747e-06,9.2185064054747e-06,-4.22122602214934e-06,-4.22122602214934e-06,0,0,0,0,0,0,0,5.77469971917456e-05,4.56631692926679,4.56637467626399,-6.30233148074125e-11
4,0.00807089359486994,0.00404814448359495,-4.28044205007238e-14,5.97441612028829e-05,-0.000119113527177855,-2.50825024741447e-09,50050,8,0,2.20306497641673e-05,1.29318443580192e-09,2.06802597971545e-09,1.07401857564324e-08,3.11774215765658e-09,6.55672078577594e-09,0.000259027174180804,542.81225951057,0.000545722535526094,0.824667830446044,1.12572023426835,0.0015238358130607,1.56460915979916e-05,1.56460915979916e-05,-4.04816286141702e-06,-4.04816286141702e-06,0,0,0,0,0,0,0,9.53796625620033e-05,4.56631706656621,4.56641244622877,-3.99464478645386e-11
5,0.00807089361024084,0.00404814448953782,-6.59731630875618e-14,7.46802015321875e-05,-0.000148891909097884,-2.22636307542608e-09,50050,10,0,2.20306618728354e-05,2.17861684230221e-09,4.27513480945471e-09,2.00222078312382e-08,7.11583900657848e-09,1.14894193602073e-08,0.000259027174215332,743.986428710898,0.00103321503917986,0.839166611993018,1.12586377586717,0.00246232907937505,1.53422439537007e-05,1.53422439537007e-05,-3.88363513250988e-06,-3.88363513250988e-06,0,0,0,0,0,0,0,0.000143775864230214,4.56631750875961,4.56646128462384,1.64154634683367e-10
6,0.00807089363149579,0.00404814449619059,-9.18764382025671e-14,8.96162418444714e-05,-0.000178670291116114,-1.35006638669776e-09,50050,10,0,2.20306766268614e-05,3.49875253388249e-09,7.81854750829236e-09,3.05084819622819e-08,1.39482930593932e-08,1.85760524119936e-08,0.000259027174258741,947.66250052116,0.00174509368625131,0.856384581331917,1.12603654387478,0.00370703814976747,1.5165168513749e-05,1.5165168513749e-05,-3.72067141908008e-06,-3.72067141908008e-06,0,0,0,0,0,0,0,0.000202934906377032,4.56631826130953,4.56652119621591,-4.44262650041677e-10
7,0.00807089366008212,0.0040481445031952,-1.1913676733386e-13,0.000104552282102687,-0.000208448673268073,2.39513922970519e-10,50050,12,0,2.20306940003028e-05,5.28954391067852e-09,1.30973400975112e-08,4.61375946607662e-08,2.32914805386433e-08,2.83290159164576e-08,0.000259027174310478,1128.71445268813,0.00272172178474706,0.847438167728258,1.12623877331031,0.00530253715542295,1.49645376824656e-05,1.49645376824656e-05,-3.55980067992408e-06,-3.55980067992408e-06,0,0,0,0,0,0,0,0.000272856142829176,4.56631932436279,4.56659218050562,4.43117791656667e-10
8,0.00807089369771033,0.00404814451012844,-1.46158395123523e-13,0.000119488322251999,-0.000238227055598044,2.66124834070422e-09,50050,14,0,2.20307139622396e-05,7.89554159292625e-09,2.05695666885359e-08,6.79104422202447e-08,3.58850004050136e-08,4.12680927313911e-08,0.000259027174370097,1237.77443452393,0.00400537580723315,0.869144952357892,1.12647050791718,0.00728943900959234,1.47594053904708e-05,1.47594053904708e-05,-3.40093183277229e-06,-3.40093183277229e-06,0,0,0,0,0,0,0,0.000353538915121093,4.56632069886738,4.5666742377825,-4.06512113718832e-10
9,0.00807089374635404,0.00404814451650203,-1.71143939678081e-13,0.00013442436221684,-0.000268005438160444,6.03400268004203e-09,50050,16,0,2.20307364770833e-05,1.17786344567599e-08,3.0722186145481e-08,9.72159813795855e-08,5.35061500424842e-08,5.79123379852916e-08,0.000259027174436488,1235.77267066491,0.0056371504921644,0.860250569297656,1.12673163374715,0.00970471805735018,1.45515499358494e-05,1.45515499358494e-05,-3.24381538287402e-06,-3.24381538287402e-06,0,0,0,0,0,0,0,0.000444982563972518,4.56632238603108,4.56676736859505,-1.50538842286965e-10
10,0.00807089380825,0.0040481445217626,-1.92112854132623e-13,0.000149360401897963,-0.0002977838210212,1.04766374787157e-08,50050,18,0,2.20307615047511e-05,1.74536202638199e-08,4.40571996619154e-08,1.35485139276268e-07,7.77037758889146e-08,7.87685289251888e-08,0.00025902717451054,1061.01589006524,0.00765565016246184,0.88015617195997,1.12702194076936,0.0296760889272121,1.43408395128018e-05,1.43408395128018e-05,-3.08878829409827e-06,-3.08878829409827e-06,0,0,0,0,0,0,0,0.000547186430965675,4.56632438722653,4.56687157365749,-9.10434154355127e-11
11,0.00807089388589812,0.00404814452529173,-2.06922622909152e-13,0.000164296441169505,-0.00032756220425913,1.61080073431116e-08,50050,20,0,2.20307890006614e-05,2.54627552030399e-08,6.10791135010551e-08,1.84078163462993e-07,1.09984120000447e-07,1.04317796369166e-07,0.000259027174591253,646.625806285453,0.0100963755642707,0.877753275221975,1.12734114819666,0.0159524678232965,1.41273170088778e-05,1.41273170088778e-05,-2.93535799342433e-06,-2.93535799342433e-06,0,0,0,0,0,0,0,0.00066014986063402,4.56632670400041,4.56698685386105,-5.42751126382258e-10
