T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,0.00807089357348429,0.00404814447264313,0,0,0,0,0,0,nan,2.20306295057206e-05,0,6.15559540035498e-11,0,0,0,0.000259027174121074,0,1.66039929583306e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56634671797603,4.56634671797603,1.88484521320713e-15
1,0.00807089357348429,0.00404814447264313,0,9.85778658453384e-06,-1.96537319583227e-05,-9.26706685848295e-10,50050,2,0,2.20306295057206e-05,3.62526992360247e-12,6.1555940046298e-11,2.44891764888194e-10,3.28675543360111e-16,1.72325318818791e-10,0.000259027174121074,0.465043368253263,1.66039929583306e-08,0.813072704493535,2.00862497745646e-08,0.000158897886210596,-0.000353026065073989,-0.000353026065073989,-3.07261547532351e-06,-3.07261547532351e-06,0,0,0,0,0,0,0,1.19157345347518e-05,4.56631760087359,4.56632951660812,6.70091070336927e-15
2,0.00807089357734321,0.0040481444749368,-5.92548610270297e-15,1.97155731760832e-05,-3.93074639271548e-05,-1.81461060004034e-09,50050,2,0,2.20306335647716e-05,1.31894988820369e-10,1.05608947678674e-10,4.93202071494726e-10,1.45928888149166e-10,5.24561785499814e-10,0.000259027174132176,134.553297035138,2.6681075485202e-05,0.802224782424284,1.12551455490247,0.00016310629261107,2.36459054695414e-05,2.36459054695414e-05,-2.88860114574751e-06,-2.88860114574751e-06,0,0,0,0,0,0,0,1.94455740804327e-05,4.56631705211209,4.56633649768617,2.30087429720254e-11
3,0.00807089358393963,0.00404814447871901,-1.55517698206113e-14,2.95733597809111e-05,-5.89611959157559e-05,-2.57715959764057e-09,50050,4,0,2.20306403256421e-05,4.41330186019276e-10,3.10100644846946e-10,1.69152033545769e-09,3.93700070575337e-10,1.21401403539861e-09,0.000259027174151716,354.716457653687,9.47316717514468e-05,0.809043457022603,1.12560354808965,0.00035998160855244,9.22015296089205e-06,9.22015296089205e-06,-2.78600847320878e-06,-2.78600847320878e-06,0,0,0,0,0,0,0,3.20251402524416e-05,4.56631692592724,4.56634895106749,8.19120718906201e-11
4,0.00807089359368918,0.00404814448388554,-2.8249681297376e-14,3.9431146400624e-05,-7.86149279331011e-05,-3.18418391354687e-09,50050,4,0,2.20306497667491e-05,8.58930285671032e-10,7.52475629224084e-10,2.94685214762234e-09,1.08635080605193e-09,2.38469655072028e-09,0.00025902717418036,582.222602027026,0.000227006557134812,0.823402289701978,1.12571886945031,0.000659129288626437,1.56494254697996e-05,1.56494254697996e-05,-2.67180539607968e-06,-2.67180539607968e-06,0,0,0,0,0,0,0,4.96542778411939e-05,4.5663170604791,4.56636671475694,2.68963307783961e-11
5,0.00807089360691739,0.00404814449035573,-4.35318548259912e-14,4.92889330356204e-05,-9.82686599898644e-05,-3.58381277816197e-09,50050,328,0.7,2.20306618800942e-05,0.0153411272285486,1.55455890427411e-09,0.0244494449946738,2.17798110007228e-09,4.35852235287346e-09,0.000259027174215221,22918873.6628211,0.000442454505167333,418.99383302025,1.12586242794419,0.476351575316607,1.53478826773642e-05,1.53478826773642e-05,-2.56320752187836e-06,-2.56320752187836e-06,0,0,0,0,0,0,0,0.560483117102143,4.56631749894921,5.12680061605135,-2.00211196462827e-10
6,0.00807089362415943,0.00404814449799608,-6.05979276955185e-14,5.91467196826472e-05,-0.000117922392098522,-3.72419917850911e-09,50050,442,0.9,2.20306766428995e-05,0.0156512134653968,2.84082194255706e-09,0.0258759570909592,4.11311764822947e-09,1.0505703218563e-07,0.000259027174258963,14776955.4512672,0.000761071970914573,241.924938695297,1.1260352306825,19.4398638881863,1.51736998019649e-05,1.51736998019649e-05,-2.455683209446e-06,-2.455683209446e-06,0,0,0,0,0,0,0,0.744458955243837,4.56633221283663,5.31079116808047,-1.48834784449714e-10
7,0.00807089364604522,0.00404814450664968,-7.85139443498665e-14,6.90045063342091e-05,-0.000137576124273662,-3.55349811406945e-09,50050,482,1,2.20306927268657e-05,0.0157419922782518,4.78868136399135e-09,0.0262268353587649,7.72154390824695e-09,5.620728294735e-08,0.00025902717430315,74531694.5374562,0.00120687724257018,297.987986395714,1.12623752148678,14.3256723734932,1.49765441422898e-05,1.49765441422898e-05,-2.34957452118302e-06,-2.34957452118302e-06,0,0,0,0,0,0,0,0.803289505445498,4.56634795917786,5.36963746462336,2.36834970302204e-10
8,0.00807089367331917,0.00404814451613106,-9.61857534862153e-14,7.88622929776868e-05,-0.000157229856532389,-3.01986619154464e-09,50050,557,1.1,2.20307141724356e-05,0.0152166039867939,7.56208920222145e-09,0.0244493626757673,1.27717610808572e-08,1.10072675798019e-07,0.000259027174380644,5839277.43935913,0.00179959291571952,218.959520754755,1.12641749580496,12.4582495874099,1.47754642899871e-05,1.47754642899871e-05,-2.24469220527017e-06,-2.24469220527017e-06,0,0,0,0,0,0,0,0.918911105448023,4.56637719367641,5.48528829912443,5.60674020555631e-11
9,0.00807089370684025,0.00404814452622622,-1.1236395826567e-13,8.8720079594489e-05,-0.00017688358889472,-2.07146210975181e-09,50050,588,1.2,2.20307373380787e-05,0.015534884565679,1.13751714458347e-08,0.0246105728914247,1.97581875842117e-08,1.41361746883423e-07,0.000259027174454918,304812.468845242,0.0025638579287306,123.823171307269,1.12672243080316,66.9732881769716,1.45722232181074e-05,1.45722232181074e-05,-2.1411046699259e-06,-2.1411046699259e-06,0,0,0,0,0,0,0,0.963446596730745,4.56642208562095,5.52986868235169,-3.03962532448798e-10
