T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,0.040250473328764,0.0201885614825129,0,0,0,0,0,0,nan,1.99232439840917e-05,0,5.56676912555568e-11,0,0,0,0.000259027174121185,0,1.66039922921968e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27813890905871,4.27813890905871,-1.30098354243529e-14
1,0.040250473328764,0.0201885614825129,0,4.35981830394741e-05,-8.69228600132285e-05,-7.87605861463664e-09,100100,2,0,1.99232439840917e-05,7.92319584644846e-12,5.56676834089651e-11,2.62914528181758e-10,3.52048422837926e-16,3.37647334187756e-10,0.000259027174121185,0.946441291711029,1.66039922921968e-08,0.813448905526685,2.00862481092301e-08,0.000148167045247005,-0.000352896841432516,-0.000352896841432516,-4.6543418454194e-06,-4.6543418454194e-06,0,0,0,0,0,0,0,9.9596687790443e-06,4.27812388881774,4.27813384848652,-1.62055970363526e-14
2,0.040250473384884,0.02018856151565,-1.62694935870186e-14,8.71963660969981e-05,-0.000173845720040964,-1.54920966391326e-08,100100,6,0,1.99232502018051e-05,2.85465209455644e-10,1.77078486572774e-10,3.13752839589404e-09,1.9916568977704e-10,1.98113600690704e-09,0.000259027174133397,189.32019679483,7.39495985262462e-05,0.855335239414631,1.01007066711346,0.000695482550649107,4.80069111368687e-05,4.80069111368687e-05,-4.09085806598249e-06,-4.09085806598249e-06,0,0,0,0,0,0,0,2.5747198218811e-05,4.27812281525463,4.27814856245285,3.40754892334876e-11
3,0.0402504734803051,0.0201885615704138,-3.78847063694241e-14,0.000130794549207103,-0.000260768580116475,-2.22622335669002e-08,100100,8,0,1.99232605614068e-05,8.2163457330608e-10,1.05435176880631e-09,8.51789277910317e-09,1.8880064811266e-09,5.93888294487246e-09,0.000259027174158266,333.703126892709,0.000383644991484466,0.860129409143997,1.01022233850098,0.00202335309000878,1.72565621395178e-05,1.72565621395178e-05,-3.7425944616648e-06,-3.7425944616648e-06,0,0,0,0,0,0,0,5.20738946192727e-05,4.27812186467726,4.27817393857188,4.44241920313559e-11
4,0.0402504736197549,0.0201885616455586,-5.09670377607371e-14,0.000174392732354383,-0.00034769144025544,-2.79844798246901e-08,100100,12,0,1.99232750166298e-05,1.87133635650114e-09,3.45203539427587e-09,2.12169599118625e-08,5.71989207164771e-09,1.30992866669404e-08,0.000259027174191462,405.85321996949,0.00106424972295249,0.902509899303389,1.01041890365969,0.00339882245010736,3.07277092254981e-05,3.07277092254981e-05,-3.3942071603246e-06,-3.3942071603246e-06,0,0,0,0,0,0,0,8.89394805693153e-05,4.27812088284417,4.27820982232474,-2.50681280396035e-10
5,0.0402504738069518,0.0201885617401466,-4.47632060843921e-14,0.00021799091551499,-0.00043461430048438,-3.23088074678994e-08,100100,14,0,1.99232935523254e-05,4.08772928917376e-09,8.18327802126194e-09,3.95687592939205e-08,1.44596663300912e-08,2.4440832779678e-08,0.000259027174232207,399.976926594713,0.002225858384306,0.889131496884064,1.01066313217803,0.00870521878741592,2.95542472672399e-05,2.95542472672399e-05,-3.05581100681316e-06,-3.05581100681316e-06,0,0,0,0,0,0,0,0.00013634329440987,4.2781199035008,4.27825624679521,-1.68847929841755e-10
6,0.040250474047994,0.0201885618526005,-1.60459622010851e-15,0.000261589098631036,-0.000521537160834927,-3.4885774960178e-08,100100,18,0,1.99233161233254e-05,8.05862120892291e-09,1.61607215482668e-08,7.05499729697626e-08,2.93437511828783e-08,4.07546573569251e-08,0.000259027174283832,196.937306391537,0.0039656936238146,0.916980318239961,1.01095675745655,0.00878651890141979,2.8830819920073e-05,2.8830819920073e-05,-2.72603920215542e-06,-2.72603920215542e-06,0,0,0,0,0,0,0,0.000194284666140425,4.27811893492423,4.27831321959037,5.53095374589401e-10
7,0.0402504743500628,0.0201885619810726,9.91365040194049e-14,0.000305187281605153,-0.000608460021344558,-3.53659866778765e-08,100100,20,0,1.99233426815093e-05,1.50811835981096e-08,2.82355999823844e-08,1.11172565799471e-07,5.35292362865013e-08,6.28325575537467e-08,0.000259027174343562,242.428618915969,0.00635625535399753,0.908845740099089,1.01129990291613,0.0126277363337886,2.80275809053244e-05,2.80275809053244e-05,-2.40573448367903e-06,-2.40573448367903e-06,0,0,0,0,0,0,0,0.000262763048259664,4.27811797651577,4.27838073956403,1.07151446056655e-10
8,0.0402504747216446,0.020188562123378,2.81643347364405e-13,0.000348785464292188,-0.000695382882057875,-3.34000809525974e-08,100100,24,0,1.99233731695676e-05,2.53088871729212e-08,4.5236124458114e-08,1.69756658320409e-07,8.8834085474949e-08,9.12859957940222e-08,0.000259027174413062,1023.02711947929,0.00945675306219385,0.921988236886845,1.01169240147262,0.0172852284390776,2.71907489365644e-05,2.71907489365644e-05,-2.09334248734086e-06,-2.09334248734086e-06,0,0,0,0,0,0,0,0.000341777920996267,4.27811702830797,4.27845880622897,-1.25201089418462e-09
9,0.0402504751725308,0.0201885622769963,5.73552192754607e-13,0.000392383646491235,-0.000782305743027777,-2.86387416388535e-08,100100,26,0,1.9923407521613e-05,4.08542524913251e-08,6.78974059410337e-08,2.42153668376193e-07,1.38318049500186e-07,1.26589007373492e-07,0.000259027174490556,2230.92745017926,0.0133113296496403,0.90671758159151,1.01213376990429,0.0245353432672006,2.63348922334468e-05,2.63348922334468e-05,-1.78990087394558e-06,-1.78990087394558e-06,0,0,0,0,0,0,0,0.000431328810241117,4.27811609079837,4.27854741960861,6.38074014517176e-10
