T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,0.263406636113703,0.132117727527024,0,0,0,0,0,0,nan,2.63643074017891e-05,0,7.36647182041947e-11,0,0,0,0.000259027174120741,0,1.66039920701522e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77729115876976,5.77729115876976,-3.29513987898665e-15
1,0.263406636113703,0.132117727527024,0,0.000152535947426542,-0.000304114985551986,5.35588697405415e-06,25025,2,0,2.63643074017891e-05,1.58469676774357e-11,7.36646950752344e-11,5.26021610145597e-10,7.04354683114115e-16,6.75386654050505e-10,0.000259027174120741,0.946130372061421,1.66039920701522e-08,0.813448921201933,2.00862487753639e-08,0.000148105861107029,-0.000353090706454393,-0.000353090706454393,-4.65604622267154e-06,-4.65604622267154e-06,0,0,0,0,0,0,0,2.46872844864143e-05,5.77723380746033,5.77725849474482,-5.20037587415898e-15
2,0.263406608965932,0.132117568900024,3.90112250398446e-09,0.000305071754616674,-0.000608230025461021,1.07126814169304e-05,25025,6,0,2.63643099627302e-05,2.68557163221422e-10,3.44375032243092e-10,6.26133738278111e-09,2.80691375448409e-10,3.96323656929823e-09,0.00025902717412829,33.9802673962552,7.39518488894753e-05,0.867135204851243,4.92005847860464,0.00069534067706245,1.14194973132545e-05,1.14194973132545e-05,-4.51801914437577e-06,-4.51801914437577e-06,0,0,0,0,0,0,0,4.22309222262568e-05,5.77723632134174,5.77727855226397,1.23092814609172e-10
3,0.263406563732031,0.132117304518018,1.04076582943887e-08,0.000457607115452246,-0.000912345251872254,1.60641705154564e-05,25025,8,0,2.63643142241816e-05,1.09561907709889e-09,2.11020439432288e-09,1.6701699390658e-08,3.29027829484081e-09,1.1883197674118e-08,0.000259027174142501,38.7643179583218,0.000383908951297141,0.874925101238054,4.91878728092831,0.00175028454538539,4.79409417509526e-06,4.79409417509526e-06,-4.42829068145565e-06,-4.42829068145565e-06,0,0,0,0,0,0,0,7.15305353624898e-05,5.77724116692133,5.77731269745669,1.72125883258487e-10
4,0.263406500497082,0.132116934659046,1.95236563255825e-08,0.000610141921320404,-0.00121646070641063,2.14112986028773e-05,25025,12,0,2.63643201832224e-05,3.38506117973178e-09,6.91580465735722e-09,4.14304676840581e-08,9.95256142671654e-09,2.62168419713804e-08,0.000259027174165261,23.9704618330282,0.00106538643598575,0.924478710714567,4.91714128919772,0.00339966610468867,7.73556152677748e-06,7.73556152677748e-06,-4.33850975378558e-06,-4.33850975378558e-06,0,0,0,0,0,0,0,0.000112585134229108,5.77724819678463,5.77736078191886,-8.67716010123159e-10
5,0.263406419300363,0.132116459394971,3.12561908443256e-08,0.000762675988217198,-0.00152057646572859,2.67518179443178e-05,25025,14,0.1,2.63643278358615e-05,8.22114991430405e-09,1.63987473901842e-08,7.60137595611154e-08,2.51541006067101e-08,4.89239981121011e-08,0.000259027174190574,152.065217520697,0.00222914297981802,0.907639253525106,4.91508991028144,0.00573008950051079,7.63422756965752e-06,7.63422756965752e-06,-4.24955674200271e-06,-4.24955674200271e-06,0,0,0,0,0,0,0,0.000165393590243262,5.77725745324636,5.7774228468366,-6.87872942961002e-10
6,0.263406320232317,0.132115878981823,4.56131913887192e-08,0.00091520913254516,-0.00182469260534896,3.20840767134343e-05,25025,18,0.1,2.63643371749248e-05,1.68540000079438e-08,3.23851416339151e-08,1.34658488754997e-07,5.0686013835685e-08,8.15833381584802e-08,0.000259027174222881,426.810529971168,0.00397338833677274,0.942752493140058,4.912620069578,0.0087920666910879,7.56491243590098e-06,7.56491243590098e-06,-4.1613250405908e-06,-4.1613250405908e-06,0,0,0,0,0,0,0,0.000229954633318513,5.77726893910539,5.77749889373871,1.93885568487784e-09
7,0.263406203393147,0.132115193687669,6.26048664533235e-08,0.00106774117130149,-0.00212880920026223,3.7406424116537e-05,25025,20,0.1,2.63643481926644e-05,3.13399558632812e-08,5.65689926693957e-08,2.09379008767546e-07,9.19319093089151e-08,1.25751408414087e-07,0.000259027174262072,827.816224362963,0.00637197507065879,0.929215590497929,4.90972713117852,0.012636813463045,7.48920812148045e-06,7.48920812148045e-06,-4.07396531932483e-06,-4.07396531932483e-06,0,0,0,0,0,0,0,0.000306266989254069,5.77728265431753,5.77758892130679,6.18410745823806e-10
8,0.263406068902254,0.13211440383447,8.22431215583708e-08,0.00122027192233683,-0.00243292632492074,4.27172097819035e-05,25025,24,0.1,2.63643608798288e-05,5.22590744314513e-08,9.05792787530521e-08,3.17499441992308e-07,1.51540040979439e-07,1.8259463331782e-07,0.000259027174327242,1471.13693404449,0.00948649545428215,0.948463376823407,4.90640974909058,0.0172983833872589,7.41259230709025e-06,7.41259230709025e-06,-3.98720752555639e-06,-3.98720752555639e-06,0,0,0,0,0,0,0,0.000394329279878154,5.77729859935381,5.77769292863369,-4.66114825697401e-09
9,0.26340591689739,0.132113509793627,1.04541668328975e-07,0.00137280120446939,-0.00273704405311518,4.80147841038764e-05,25025,26,0.1,2.63643752257854e-05,8.30627071067383e-08,1.35819521170528e-07,4.47950951290217e-07,2.34598454594366e-07,2.52936851666946e-07,0.00025902717441173,2295.21490897096,0.0133638598146046,0.924268033891433,4.90266859045948,0.024774011279215,7.3352733125085e-06,7.3352733125085e-06,-3.90136372884023e-06,-3.90136372884023e-06,0,0,0,0,0,0,0,0.000494140118122055,5.77731677484772,5.77781091496584,1.67934072215388e-09
10,0.263405747534651,0.132112511985871,1.29516015605827e-07,0.00152532883762542,-0.003041162457887,5.32974982980935e-05,25025,30,0.1,2.63643912185152e-05,1.2205503875276e-07,1.93406902313473e-07,6.1908787345856e-07,3.44185406324816e-07,3.37520485126657e-07,0.000259027174600135,3450.3713052972,0.0184190154316504,0.947991657475473,4.89850556423315,0.0352289899808649,7.25724978821186e-06,7.25724978821186e-06,-3.81586645480798e-06,-3.81586645480798e-06,0,0,0,0,0,0,0,0.000605698150380736,5.77733718156388,5.77794287971426,8.62455908423794e-09
11,0.263405560988466,0.132111410881217,1.57183457448928e-07,0.0016778546429769,-0.00334528161143536,5.85637045123768e-05,25025,32,0.1,2.63644088446679e-05,1.7480555954536e-07,2.64276256178342e-07,8.17798385464895e-07,4.84075915700926e-07,4.36200222003841e-07,0.000259027174869808,4793.29494542449,0.0268663625655445,0.910568947433005,4.89392345572858,0.0482740167491329,7.17852224073475e-06,7.17852224073475e-06,-3.73167715685175e-06,-3.73167715685175e-06,0,0,0,0,0,0,0,0.000729001963578686,5.77735982053096,5.77808882249454,-1.08321414516137e-08
