T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,-0.00245732319406221,0.391093846457108,0,0,0,0,0,0,nan,8.88737423075237e-05,0,9.68512722971071e-10,0,0,0,0.00103551195774654,0,2.61001282142459e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56633545101007,4.56633545101007,1.13569378252438e-14
1,-0.00245732319406221,0.391093846457108,0,0.000498151120584648,3.12998609886077e-06,1.58043359611951e-06,25050,2,0,8.88737423075237e-05,2.02577651162923e-11,9.68512503376293e-10,1.05655513350514e-09,7.82036461676458e-15,4.06638139595159e-10,0.00103551195774654,0.599542667120486,2.61001282142459e-07,0.82934581546309,3.15085041724394e-07,0.00147683667307574,-0.000498469581529528,-0.000498469581529528,2.9251182806655e-08,2.9251182806655e-08,0,0,0,0,0,0,0,1.47747580872103e-05,4.56630633442125,4.56632110917933,2.00642843574578e-14
2,-0.00245732038845255,0.391093739422251,-2.34996418461452e-12,0.000996302254664975,6.25996956553228e-06,3.15661858016437e-06,25050,2,0,8.8873806057564e-05,2.24850804350892e-10,9.89449288059429e-10,2.67807063276396e-09,5.74915569188392e-10,2.83977327545507e-09,0.00103551195854212,22.3973262697888,4.36633405045406e-05,0.855963116724102,1.14828838675871,0.000612699325870825,3.33642345868778e-05,3.33642345868778e-05,9.36701459290654e-08,9.36701459290654e-08,0,0,0,0,0,0,0,3.08834561990031e-05,4.56630578816359,4.56633667161979,1.74431863241691e-10
3,-0.00245731571289317,0.391093561053591,-6.43063197005863e-12,0.00149445342893818,9.38994453082531e-06,4.70910098068491e-06,25050,4,0,8.88739122890244e-05,7.7963356035657e-10,1.79727900044752e-09,1.06166603965376e-08,1.75070225894125e-09,8.37101772375557e-09,0.00103551195987095,34.2198167896517,0.00032737073339506,0.870713571958648,1.14860826115119,0.001630455724418,1.28665911908044e-05,1.28665911908044e-05,1.61655021293085e-07,1.61655021293085e-07,0,0,0,0,0,0,0,5.77605808855917e-05,4.56630566618777,4.56636342676865,1.3258722565235e-09
4,-0.00245730918887764,0.391093312123621,-1.2661132046574e-11,0.00199260465296684,1.25199090062559e-05,6.23486691476101e-06,25050,6,0,8.88740606178378e-05,2.29812489572612e-09,4.95450100115223e-09,2.84190688272213e-08,6.20237743457991e-09,1.8461592206228e-08,0.00103551196172291,29.1716440977627,0.000976909421460892,0.904044031211964,1.1490229632717,0.00324398308782614,2.17288767848732e-05,2.17288767848732e-05,2.31463260068363e-07,2.31463260068363e-07,0,0,0,0,0,0,0,9.54055566653482e-05,4.5663058067121,4.56640121226877,-2.46733011562951e-10
5,-0.00245730082290896,0.391092992874151,-2.13636352630281e-11,0.00249075594157062,1.56498595456122e-05,7.72406885491235e-06,25050,8,0,8.88742509279801e-05,5.75726619247823e-09,1.15801117846754e-08,5.99259451814951e-08,1.75464036155924e-08,3.45257212641997e-08,0.00103551196409923,10.1242969503839,0.00210631692880869,0.918543332709914,1.1495392880351,0.00554037108613503,2.10022943630908e-05,2.10022943630908e-05,3.03318317538154e-07,3.03318317538154e-07,0,0,0,0,0,0,0,0.000143817454136262,4.56630625292319,4.56645007037733,1.12572016681427e-09
6,-0.00245729063532089,0.391092604043485,-3.30700328464703e-11,0.00298890730876235,1.87797927754957e-05,9.16757472121791e-06,25050,8,0,8.88744828510343e-05,1.21831315858465e-08,2.28635647036076e-08,9.44641678513778e-08,3.94444846054266e-08,5.77179148430397e-08,0.00103551196699203,59.6572380330495,0.00381541335714353,0.94360120881306,1.15016105950705,0.00857393673363283,2.03720887085576e-05,2.03720887085576e-05,3.78130795588568e-07,3.78130795588568e-07,0,0,0,0,0,0,0,0.000202995349985183,4.5663070101895,4.56651000553948,5.03000069225313e-09
7,-0.00245727864772439,0.391092146418396,-4.84009937438198e-11,0.00348705876700285,2.1909705386429e-05,1.05562766887932e-05,25050,10,0,8.88747559973915e-05,2.15912288636797e-08,3.99953673482252e-08,1.48980268496329e-07,7.00738056534593e-08,8.87758754238469e-08,0.00103551197039498,158.023822135251,0.00618028810725813,0.909114430558491,1.1508892594399,0.012362949532732,1.96287409760783e-05,1.96287409760783e-05,4.53081928563901e-07,4.53081928563901e-07,0,0,0,0,0,0,0,0.000272938283724064,4.56630807853671,4.56658101682044,-5.9809022815331e-09
8,-0.00245726488588146,0.391091620938563,-6.8084383195178e-11,0.00398521032706758,2.50395941517889e-05,1.18810772673075e-05,25050,12,0,8.88750699028215e-05,3.59908226579104e-08,6.39801713286718e-08,2.27005761275306e-07,1.12449418121392e-07,1.28884089775749e-07,0.00103551197430329,334.330834425822,0.00924753633686137,0.937692626888178,1.15172424233137,0.0169707405419337,1.88029700775224e-05,1.88029700775224e-05,5.30214913969421e-07,5.30214913969421e-07,0,0,0,0,0,0,0,0.000353645440899344,4.56630945876192,4.56666310420281,-1.4896277292059e-10
9,-0.00245724937943244,0.391091028686291,-9.29524636648618e-11,0.00448336199771898,2.81694559403902e-05,1.313289685323e-05,25050,14,0.1,8.88754240332488e-05,5.68257651990476e-08,9.59162790941811e-08,3.3253413274639e-07,1.73895437331483e-07,1.78979419504699e-07,0.00103551197870366,595.165623631696,0.0130693771880479,0.91944506062125,1.15266581607822,0.0246694740945201,1.7903988075485e-05,1.7903988075485e-05,6.09024831766279e-07,6.09024831766279e-07,0,0,0,0,0,0,0,0.000445116006951531,4.56631115197916,4.56675626798611,3.38054944662599e-09
