T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,0.34458698802735,0.0715248896164744,0,0,0,0,0,0,nan,6.56240718435677e-06,0,4.62366445821362e-12,0,0,0,6.47661550601253e-05,0,1.04227337871521e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77729472249217,5.77729472249217,1.77816784719046e-16
1,0.34458698802735,0.0715248896164744,0,4.47058551073951e-05,-0.000215380352786957,2.97355481947908e-06,50025,6,0,6.56240718435677e-06,2.35143611905558e-11,4.62366300647608e-12,1.09721312253184e-09,4.42301586031419e-17,6.74007009088788e-10,6.47661550601253e-05,6.54522726395667,1.04227337871521e-09,0.82139209039867,1.26148647083824e-09,0.000162302776574919,-0.000191153593551656,-0.000191153593551656,-3.29750563330905e-06,-3.29750563330905e-06,0,0,0,0,0,0,0,2.46873090659162e-05,5.77723737111195,5.77726205842101,2.36480301349624e-15
2,0.344586953998294,0.0715248030243587,2.76285326863207e-09,8.94116582785354e-05,-0.000430760694956634,5.94865950380085e-06,50025,12,0,6.5624075336289e-06,2.75688845537769e-10,3.35742161099033e-10,6.49067917300004e-09,5.69460646891241e-10,3.99237991352154e-09,6.47661550597922e-05,133.981768534664,8.10408574607457e-05,0.863222291797708,4.48549252709453,0.000717942255511472,6.18226250028678e-06,6.18226250028678e-06,-3.18897724425537e-06,-3.18897724425537e-06,0,0,0,0,0,0,0,4.22309662243944e-05,5.77723988479637,5.77728211576259,3.59571752046125e-12
3,0.344586897265313,0.0715246586977082,7.36828172121953e-09,0.000134117296804326,-0.000646141016183193,8.92409723038675e-06,50025,18,0,6.56240811404014e-06,1.17908345849176e-09,2.13373615785451e-09,1.93953201087854e-08,3.50408258650861e-09,1.18843229511804e-08,6.47661550599032e-05,122.921694420145,0.000398739595367736,0.88619324393298,4.48467443364676,0.00177829810118491,2.59578164502297e-06,2.59578164502297e-06,-3.11838647755513e-06,-3.11838647755513e-06,0,0,0,0,0,0,0,7.15305954756051e-05,5.77724473005271,5.77731626064818,3.53419134159649e-12
4,0.344586817844385,0.0715244567807624,1.38113502309642e-08,0.000178822730455836,-0.000861521307751315,1.19012083815851e-05,50025,24,0,6.5624089262151e-06,3.54497179515153e-09,6.92615186255228e-09,4.33756934640771e-08,1.12916401866783e-08,2.62552401410009e-08,6.47661550600143e-05,118.860397692754,0.00108679022167291,0.902407386417593,4.4836149651533,0.00343835131440007,4.18865156398532e-06,4.18865156398532e-06,-3.04771602920473e-06,-3.04771602920473e-06,0,0,0,0,0,0,0,0.000112585239173805,5.77725175945858,5.77736434469775,-1.84499263284263e-11
5,0.344586715717013,0.0715241973049776,2.2091559176905e-08,0.000223527891388899,-0.00107690156081068,1.48801012930209e-05,50025,30,0.1,6.56240996958848e-06,8.50764698486225e-09,1.64264795262257e-08,8.22682461593863e-08,2.70614955329053e-08,4.89428761276224e-08,6.47661550595702e-05,701.139783305727,0.00225913919902143,0.922033828553551,4.48229359450233,0.0057747095245082,4.13440328558219e-06,4.13440328558219e-06,-2.97779407856159e-06,-2.97779407856159e-06,0,0,0,0,0,0,0,0.00016539373324662,5.77726101533995,5.7774264090732,1.64152429080624e-10
6,0.344586590882156,0.0715238803990876,3.2204907304165e-08,0.000268232711876388,-0.00129228176552948,1.78612214446257e-05,50025,36,0.1,6.56241124358945e-06,1.74605748077011e-08,3.24095892346883e-08,1.40063127702249e-07,5.43753484441033e-08,8.16403127216805e-08,6.47661550613465e-05,1778.58312569478,0.00401062876915415,0.934612123902345,4.48070170978234,0.0088480787318026,4.0976735466666e-06,4.0976735466666e-06,-2.90833775282481e-06,-2.90833775282481e-06,0,0,0,0,0,0,0,0.000229954846258608,5.77727250048701,5.77750245533327,-4.14585911925531e-10
7,0.344586443331497,0.0715235061960261,4.41474494287035e-08,0.000312937124430971,-0.00150766191183275,2.0845015143237e-05,50025,42,0.1,6.56241274767438e-06,3.19712336686414e-08,5.66102100151646e-08,2.20754554602982e-07,9.70891243417342e-08,1.25825158256904e-07,6.47661550673417e-05,3506.57104940786,0.00641842750395183,0.933514386501142,4.47883564957091,0.012705049136577,4.05767275060028e-06,4.05767275060028e-06,-2.8395928259573e-06,-2.8395928259573e-06,0,0,0,0,0,0,0,0.000306267275509134,5.77728621486517,5.77759248214068,6.27596456472244e-10
8,0.344586273056378,0.0715230748557606,5.79144039272016e-08,0.000357641061903521,-0.00172304198946421,2.38319288678804e-05,50025,46,0.1,6.56241448110246e-06,5.3893063980406e-08,9.0636970636436e-08,3.2154682531907e-07,1.59206242920819e-07,1.82649025241991e-07,6.47661550703393e-05,5888.51286053014,0.00954357898040525,0.959305761106307,4.47669387676839,0.0173757788360054,4.01736694499347e-06,4.01736694499347e-06,-2.77112072928462e-06,-2.77112072928462e-06,0,0,0,0,0,0,0,0.00039432965783089,5.77730215894745,5.77769648860528,-8.52879744995715e-10
9,0.34458608004683,0.0715225865628088,7.3500252829482e-08,0.000402344457529086,-0.0019384219879225,2.68224095696193e-05,50025,52,0.1,6.56241644305393e-06,8.37286235985058e-08,1.35875596920987e-07,4.52096396465965e-07,2.42428978741796e-07,2.52974245687352e-07,6.47661550750023e-05,9154.14467485921,0.01343058566402,0.924276749151545,4.47427603257543,0.0247572121533928,3.9768822883457e-06,3.9768822883457e-06,-2.70366816672191e-06,-2.70366816672191e-06,0,0,0,0,0,0,0,0.000494140592394677,5.77732033334499,5.77781447393738,2.62853506088423e-10
