T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,-0.00117212554013424,0.186548959912723,0,0,0,0,0,0,nan,0.00010635622833806,0,1.1590302970104e-09,0,0,0,0.00103551195774676,0,2.61001283030637e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77727690392941,5.77727690392941,-3.43097885065029e-17
1,-0.00117212554013424,0.186548959912723,0,0.00030411348480592,1.9108076657571e-06,7.93537269242871e-06,12525,2,0,0.00010635622833806,2.8649091670733e-11,1.15902993311425e-09,1.49437561738429e-09,1.10610155675462e-14,5.75049610925001e-10,0.00103551195774676,0.599492457965646,2.61001283030637e-07,0.829345822634783,3.15085041058261e-07,0.000281494011955319,-0.000498560854579289,-0.000498560854579289,2.92547530936431e-08,2.92547530936431e-08,0,0,0,0,0,0,0,2.46871790529761e-05,5.77721955290325,5.77724424008231,3.49281272635528e-16
2,-0.00117212460241686,0.186548732326811,-2.45112387685943e-11,0.000608227037441369,3.82161656121623e-06,1.5868145604762e-05,12525,2,0,0.00010635625734057,2.24856834650465e-10,1.19388837569276e-09,3.75975477986107e-09,7.78876901256596e-10,4.01663441891028e-09,0.00103551195833629,9.78869551231081,4.36666522714013e-05,0.859985436188629,4.77831797042685,0.000612729976421145,1.61007655890015e-05,1.61007655890015e-05,9.064308659319e-08,9.064308659319e-08,0,0,0,0,0,0,0,4.22308293070901e-05,5.77722206757663,5.77726429840593,3.37011895889031e-10
3,-0.00117212303977268,0.186548353028157,-6.55556857215374e-11,0.000912340782507909,5.73242925736484e-06,2.37796129502114e-05,12525,4,0,0.000106356305650704,9.98679181036331e-10,2.43547361245639e-09,1.49622106375527e-08,2.35224392449838e-09,1.18409229827434e-08,0.00103551195932061,10.9290797009708,0.000327503767763027,0.876066119056178,4.77598865110949,0.00163087867748146,6.61717101527962e-06,6.61717101527962e-06,1.5370120119461e-07,1.5370120119461e-07,0,0,0,0,0,0,0,7.15303808669481e-05,5.7772269144905,5.77729844487136,2.55168352334102e-09
4,-0.00117212085658714,0.186547822482108,-1.23619739500091e-10,0.00121645477259843,7.64324671746007e-06,3.16681275287532e-05,12525,6,0,0.00010635637316822,3.2805555948064e-09,6.97221096319398e-09,3.99388039104923e-08,8.36797445098507e-09,2.61165742443624e-08,0.00103551196069496,6.0928363191318,0.000977554444047346,0.910932485545201,4.77297409624302,0.00324568715606421,1.05554963633871e-05,1.05554963633871e-05,2.17473621154774e-07,2.17473621154774e-07,0,0,0,0,0,0,0,0.000112584919209981,5.77723394619548,5.77734653111469,-4.03336542811488e-10
5,-0.00117211805434705,0.186547140831129,-1.99082688623473e-10,0.00152056908560362,9.55407051407458e-06,3.95247966960499e-05,12525,8,0.1,0.000106356459853066,8.38078606170026e-09,1.63700037027686e-08,8.39231191995944e-08,2.36750171463707e-08,4.88451527208626e-08,0.00103551196245832,49.0456414123828,0.00210838190391094,0.926238080292479,4.76922256001384,0.00554493555414459,1.01128402672388e-05,1.01128402672388e-05,2.82105509972084e-07,2.82105509972084e-07,0,0,0,0,0,0,0,0.000165393326351327,5.77724320502282,5.77740859834917,2.12961565589899e-09
6,-0.00117211463732536,0.186546308518993,-2.92568658388742e-10,0.00182468380036291,1.14649022349736e-05,4.73416616883599e-05,12525,8,0.1,0.00010635656559423,1.75455625080453e-08,3.23443641029848e-08,1.31191520708094e-07,5.31237238660587e-08,8.1656065152135e-08,0.00103551196460838,104.15079133363,0.00382064224113066,0.954162450662162,4.7647117687323,0.00858360315523199,9.63280111045811e-06,9.63280111045811e-06,3.47566588713069e-07,3.47566588713069e-07,0,0,0,0,0,0,0,0.000229954346995794,5.7772546937914,5.7774846481384,9.72737295109137e-09
7,-0.00117211061011056,0.186545326017428,-4.0481075071544e-10,0.00212879899435011,1.33757434688037e-05,5.51107708359249e-05,12525,10,0.1,0.000106356690274148,3.10538414545115e-08,5.6584870758411e-08,2.0634905759136e-07,9.39411118191082e-08,1.25591761892535e-07,0.00103551196714113,201.009933956918,0.00619153126649263,0.916447066128579,4.75943718296589,0.0123814355585672,9.06427476822985e-06,9.06427476822985e-06,4.12835697631467e-07,4.12835697631467e-07,0,0,0,0,0,0,0,0.000306266545213961,5.77726841245626,5.77757467900147,-1.1182853092102e-08
8,-0.00117210597817964,0.186544193891483,-5.36673716586739e-10,0.00243291474354255,1.528659580657e-05,6.282417547884e-05,12525,12,0.1,0.000106356833752511,5.16329324604679e-08,9.0506773734155e-08,3.13741310492381e-07,1.50090306886173e-07,1.82305846345569e-07,0.00103551197005203,365.798620668652,0.00926919087450351,0.947000221021274,4.7534004128903,0.0170022934571019,8.419501044082e-06,8.419501044082e-06,4.78027321543356e-07,4.78027321543356e-07,0,0,0,0,0,0,0,0.000394328696588552,5.77728436143023,5.77767869012682,-5.0512573557389e-10
9,-0.00117210074784293,0.186542912792806,-6.89153168792823e-10,0.00273703112212855,1.71974608416702e-05,7.0473932195106e-05,12525,14,0.1,0.000106356995867847,8.12158999826385e-08,1.35646577650705e-07,4.58642120514496e-07,2.31530944884167e-07,2.53083918685697e-07,0.00103551197333762,598.39516118088,0.0131080697693162,0.926913937826759,4.74660740861608,0.0247496939081726,7.70549720056945e-06,7.70549720056945e-06,5.42662890294311e-07,5.42662890294311e-07,0,0,0,0,0,0,0,0.000494139508719919,5.77730254138664,5.77779668089536,6.85104289196549e-09
10,-0.00117209492623505,0.186541483459332,-8.63374631283581e-10,0.00304114820225992,1.91083401701497e-05,7.80521032290254e-05,12525,14,0.1,0.000106357176437872,1.25436945814987e-07,1.93391634498249e-07,6.15396579382445e-07,3.45224866635274e-07,3.37416352898139e-07,0.0010355119769927,868.576969481501,0.0184029555502323,0.949953348479113,4.73906693441366,0.0351881684359436,6.9293507848174e-06,6.9293507848174e-06,6.04840546271367e-07,6.04840546271367e-07,0,0,0,0,0,0,0,0.000605697374447073,5.77732295320526,5.77792865057971,-2.83433278614268e-08
11,-0.00117208852130987,0.186539906715104,-1.06059250088611e-09,0.00334526605379981,2.10192353909093e-05,8.55507572174872e-05,12525,16,0.1,0.000106357375259776,1.75435638372711e-07,2.64210838585595e-07,8.14253523535142e-07,4.87511475444159e-07,4.35667995155642e-07,0.00103551198101093,1193.18293806516,0.0268221951917949,0.921962929006447,4.73078987085064,0.0482596851772383,6.09959050736075e-06,6.09959050736075e-06,6.66241319295791e-07,6.66241319295791e-07,0,0,0,0,0,0,0,0.000729000942990859,5.77734559769836,5.77807459864135,9.26400225663769e-09
12,-0.00117208154183362,0.186538183470036,-1.2821888821508e-09,0.00364938474407125,2.29301481058626e-05,9.29619698939759e-05,12525,18,0.1,0.000106357592110461,2.34831258054053e-07,3.4854594047904e-07,1.05576081708737e-06,6.56563137191205e-07,5.48717767310316e-07,0.00103551198538521,1635.7553039016,0.0376364850291273,0.930815278462551,4.72178881256683,0.0641742621919661,5.22722089150844e-06,5.22722089150844e-06,7.24167892507613e-07,7.24167892507613e-07,0,0,0,0,0,0,0,0.000864049114251479,5.7773704760736,5.77823452518786,-1.06478189589155e-08
13,-0.00117207399737761,0.186536314719651,-1.52967230703835e-09,0.00395350433760664,2.48410799200437e-05,0.000100277824789159,12525,18,0.1,0.000106357826746885,3.18445336829292e-07,4.47001265364471e-07,1.3159331753106e-06,8.62249854940868e-07,6.75466129731865e-07,0.00103551199010976,2113.63373966818,0.0510968201935795,0.946136541018245,4.71207781152894,0.0828852571694625,4.32301506551495e-06,4.32301506551495e-06,7.77847761613068e-07,7.77847761613068e-07,0,0,0,0,0,0,0,0.0010108406761555,5.77739758994639,5.77840843062254,-8.25706981134394e-08
14,-0.00117206589831017,0.186534301544799,-1.80467634099625e-09,0.00425762489589831,2.67520324416602e-05,0.000107490413929155,12525,20,0.2,0.000106358078906439,4.01733221794765e-07,5.5935530577662e-07,1.61643850380374e-06,1.10500994696028e-06,8.13845771798661e-07,0.00103551199517737,2602.40025346672,0.0673091206362033,0.891531279400476,4.70167219824241,0.105005218974958,3.39859749663127e-06,3.39859749663127e-06,8.29585399485595e-07,8.29585399485595e-07,0,0,0,0,0,0,0,0.00116937400058302,5.77742694080738,5.77859631480796,-4.41360505488336e-08
