Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

It seemed before that the sponge layer had no effect Try it again and see if it at least attenuates the outer boundary. Remember that I'm fixing r_sponge at 0.9 r_max but perhaps I should fix r_sponge on the outer boundary instead, i.e. closer to 1.0 * r_max.

Time start:	Thu May 30 13:45:54 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[2], theta[5] ) = ( 1.181884765625, 0.0172787595947439 ) = ( 1.181884765625, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240530_g_fiducial_100_change_sponge_4_profiles.csv
CSV file saved:	CSV/20240530_g_fiducial_100_change_sponge_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240530_g_fiducial_100_change_sponge_7_BCs.csv
Log file saved:	Logs/20240530_g_fiducial_100_change_sponge.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	1.21127       0.0104656     0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	1.21127       0.0104656     0             |	1.99071e-07   -2.304e-05    4.83482e-07   |	0             |	0             0.4           0:24:15
2             0.00610352    |	1.21127       0.0104656     4.53337e-13   |	3.98142e-07   -4.608e-05    9.67161e-07   |	0             |	0             0.6           0:19:13
3             0.00915527    |	1.21127       0.0104656     1.11904e-12   |	5.97213e-07   -6.912e-05    1.44905e-06   |	0             |	0             0.8           0:16:59
4             0.012207      |	1.21127       0.0104656     1.74559e-12   |	7.96283e-07   -9.21599e-05  1.92936e-06   |	0             |	0             1             0:15:29
5             0.0152588     |	1.21126       0.0104656     2.15037e-12   |	9.95352e-07   -0.0001152    2.40736e-06   |	0             |	0             1.2           0:14:34
6             0.0183105     |	1.21126       0.0104656     2.02094e-12   |	1.19442e-06   -0.00013824   2.88246e-06   |	0             |	0             1.4           0:13:55
7             0.0213623     |	1.21126       0.0104655     9.95043e-13   |	1.39349e-06   -0.00016128   3.35411e-06   |	0             |	0             1.6           0:13:31
8             0.0244141     |	1.21126       0.0104655     -1.35339e-12  |	1.59255e-06   -0.00018432   3.82174e-06   |	0             |	0             1.8           0:13:10
9             0.0274658     |	1.21126       0.0104655     -5.51232e-12  |	1.79162e-06   -0.000207359  4.28479e-06   |	0             |	0             2             0:12:52
10            0.0305176     |	1.21126       0.0104654     -1.20301e-11  |	1.99068e-06   -0.000230399  4.74273e-06   |	0             |	0             2.2           0:12:44
11            0.0335693     |	1.21126       0.0104654     -2.15139e-11  |	2.18975e-06   -0.000253439  5.19501e-06   |	0             |	0             2.4           0:12:31
12            0.0366211     |	1.21126       0.0104653     -3.46276e-11  |	2.38881e-06   -0.000276478  5.64112e-06   |	0             |	0             2.6           0:12:20
13            0.0396729     |	1.21125       0.0104653     -5.209e-11    |	2.58787e-06   -0.000299518  6.08053e-06   |	0             |	0             2.8           0:12:12
14            0.0427246     |	1.21125       0.0104652     -7.46726e-11  |	2.78692e-06   -0.000322558  6.51275e-06   |	0             |	0             3             0:12:06
15            0.0457764     |	1.21125       0.0104652     -1.03197e-10  |	2.98598e-06   -0.000345597  6.9373e-06    |	0             |	0             3.2           0:12:00
16            0.0488281     |	1.21125       0.0104651     -1.38533e-10  |	3.18503e-06   -0.000368636  7.3537e-06    |	0             |	0             3.4           0:11:53
17            0.0518799     |	1.21125       0.010465      -1.81595e-10  |	3.38408e-06   -0.000391676  7.76149e-06   |	0             |	0             3.6           0:11:47
18            0.0549316     |	1.21124       0.010465      -2.33341e-10  |	3.58313e-06   -0.000414715  8.16024e-06   |	0             |	0             3.8           0:11:43
19            0.0579834     |	1.21124       0.0104649     -2.94767e-10  |	3.78218e-06   -0.000437754  8.54954e-06   |	0.1           |	0             4             0:11:41
20            0.0610352     |	1.21124       0.0104649     -3.66906e-10  |	3.98123e-06   -0.000460793  8.92897e-06   |	0.1           |	0             4.2           0:11:39
21            0.0640869     |	1.21124       0.0104648     -4.50827e-10  |	4.18027e-06   -0.000483832  9.29816e-06   |	0.1           |	0             4.4           0:11:36
22            0.0671387     |	1.21123       0.0104647     -5.47627e-10  |	4.37932e-06   -0.000506871  9.65676e-06   |	0.1           |	0             4.6           0:11:34
23            0.0701904     |	1.21123       0.0104646     -6.58431e-10  |	4.57836e-06   -0.000529909  1.00044e-05   |	0.1           |	0             4.8           0:11:33
24            0.0732422     |	1.21123       0.0104646     -7.84388e-10  |	4.7774e-06    -0.000552948  1.03409e-05   |	0.1           |	0             5             0:11:31
25            0.0762939     |	1.21122       0.0104645     -9.26668e-10  |	4.97644e-06   -0.000575987  1.06658e-05   |	0.1           |	0             5.2           0:11:27
26            0.0793457     |	1.21122       0.0104644     -1.08646e-09  |	5.17547e-06   -0.000599025  1.0979e-05    |	0.1           |	0             5.4           0:11:24
27            0.0823975     |	1.21122       0.0104644     -1.26496e-09  |	5.37451e-06   -0.000622063  1.12801e-05   |	0.1           |	0             5.6           0:11:22
28            0.0854492     |	1.21121       0.0104643     -1.46339e-09  |	5.57354e-06   -0.000645101  1.15691e-05   |	0.1           |	0             5.8           0:11:19
29            0.088501      |	1.21121       0.0104642     -1.68295e-09  |	5.77258e-06   -0.000668139  1.18457e-05   |	0.1           |	0             6             0:11:16
30            0.0915527     |	1.21121       0.0104642     -1.92489e-09  |	5.97161e-06   -0.000691177  1.21098e-05   |	0.1           |	0             6.2           0:11:15
31            0.0946045     |	1.2112        0.0104641     -2.19041e-09  |	6.17065e-06   -0.000714215  1.23613e-05   |	0.1           |	0             6.4           0:11:12
32            0.0976562     |	1.2112        0.0104641     -2.48074e-09  |	6.36968e-06   -0.000737253  1.26002e-05   |	0.1           |	0             6.6           0:11:10
33            0.100708      |	1.2112        0.010464      -2.79709e-09  |	6.56872e-06   -0.000760291  1.28263e-05   |	0.1           |	0             6.8           0:11:08
34            0.10376       |	1.21119       0.0104639     -3.14066e-09  |	6.76776e-06   -0.000783328  1.30398e-05   |	0.1           |	0             7             0:11:05
35            0.106812      |	1.21119       0.0104639     -3.51265e-09  |	6.96679e-06   -0.000806365  1.32406e-05   |	0.1           |	0             7.2           0:11:04
36            0.109863      |	1.21119       0.0104638     -3.91422e-09  |	7.16583e-06   -0.000829403  1.34289e-05   |	0.1           |	0             7.4           0:11:02
37            0.112915      |	1.21118       0.0104638     -4.34652e-09  |	7.36487e-06   -0.00085244   1.36047e-05   |	0.1           |	0             7.6           0:11:01
38            0.115967      |	1.21118       0.0104638     -4.81069e-09  |	7.56391e-06   -0.000875477  1.37682e-05   |	0.1           |	0             7.8           0:10:58
39            0.119019      |	1.21117       0.0104637     -5.30782e-09  |	7.76296e-06   -0.000898514  1.39196e-05   |	0.1           |	0             8             0:10:56
40            0.12207       |	1.21117       0.0104637     -5.83898e-09  |	7.96201e-06   -0.000921551  1.40592e-05   |	0.1           |	0             8.2           0:10:57
41            0.125122      |	1.21116       0.0104637     -6.4052e-09   |	8.16106e-06   -0.000944587  1.41872e-05   |	0.1           |	0             8.4           0:10:58
42            0.128174      |	1.21116       0.0104636     -7.00749e-09  |	8.36011e-06   -0.000967624  1.4304e-05    |	0.1           |	0             8.6           0:10:56
43            0.131226      |	1.21116       0.0104636     -7.6468e-09   |	8.55917e-06   -0.000990661  1.44099e-05   |	0.1           |	0             8.8           0:10:53
44            0.134277      |	1.21115       0.0104636     -8.32404e-09  |	8.75823e-06   -0.0010137    1.45053e-05   |	0.1           |	0             9             0:10:52
45            0.137329      |	1.21115       0.0104636     -9.04009e-09  |	8.9573e-06    -0.00103673   1.45908e-05   |	0.1           |	0             9.2           0:10:49
46            0.140381      |	1.21114       0.0104636     -9.79574e-09  |	9.15637e-06   -0.00105977   1.46667e-05   |	0.1           |	0             9.4           0:10:50
47            0.143433      |	1.21114       0.0104636     -1.05918e-08  |	9.35545e-06   -0.00108281   1.47337e-05   |	0.1           |	0             9.6           0:10:48
48            0.146484      |	1.21113       0.0104636     -1.14289e-08  |	9.55453e-06   -0.00110584   1.47923e-05   |	0.1           |	0             9.8           0:10:47
49            0.149536      |	1.21113       0.0104637     -1.23077e-08  |	9.75362e-06   -0.00112888   1.48432e-05   |	0.1           |	0             10            0:10:45
50            0.152588      |	1.21113       0.0104637     -1.32289e-08  |	9.95272e-06   -0.00115191   1.4887e-05    |	0.1           |	0             10.2          0:10:43
