Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

It seemed before that the sponge layer had no effect Try it again and see if it at least attenuates the outer boundary. Remember that I'm fixing r_sponge at 0.9 r_max but perhaps I should fix r_sponge on the outer boundary instead, i.e. closer to 1.0 * r_max. Note that cout_i changed here to be on the outer boundary.

Time start:	Thu May 30 14:22:58 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	1.01	6	4

CSV file saved:	CSV/20240530_j_fiducial_100_change_sponge_4_profiles.csv
CSV file saved:	CSV/20240530_j_fiducial_100_change_sponge_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240530_j_fiducial_100_change_sponge_7_BCs.csv
Log file saved:	Logs/20240530_j_fiducial_100_change_sponge.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00199773    1.72608e-05   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.00199773    8.60383e-06   -1.60811e-07  |	2.7789e-09    -1.60811e-07  -8.60383e-06  |	0             |	0             0.4           0:23:30
2             0.00610352    |	0.00199818    8.57733e-06   -3.20882e-07  |	5.1641e-09    -3.20882e-07  -8.57733e-06  |	0             |	0             0.6           0:17:12
3             0.00915527    |	0.00199836    8.55079e-06   -4.8065e-07   |	7.3152e-09    -4.8065e-07   -8.55079e-06  |	0             |	0             0.8           0:15:10
4             0.012207      |	0.00199866    8.52402e-06   -6.40143e-07  |	9.22512e-09   -6.40143e-07  -8.52402e-06  |	0             |	0             1             0:14:07
5             0.0152588     |	0.00199896    8.49671e-06   -7.9971e-07   |	1.0913e-08    -7.9971e-07   -8.49671e-06  |	0             |	0             1.2           0:13:37
6             0.0183105     |	0.00199926    8.46838e-06   -9.59571e-07  |	1.2387e-08    -9.59571e-07  -8.46838e-06  |	0             |	0             1.4           0:13:10
7             0.0213623     |	0.00199956    8.43841e-06   -1.12079e-06  |	1.36515e-08   -1.12079e-06  -8.43841e-06  |	0             |	0             1.6           0:12:51
8             0.0244141     |	0.00199986    8.40601e-06   -1.28375e-06  |	1.47223e-08   -1.28375e-06  -8.40601e-06  |	0             |	0             1.8           0:12:35
9             0.0274658     |	0.00200016    8.37022e-06   -1.45093e-06  |	1.55938e-08   -1.45093e-06  -8.37022e-06  |	0             |	0             2             0:12:23
10            0.0305176     |	0.00200047    8.32991e-06   -1.62281e-06  |	1.62905e-08   -1.62281e-06  -8.32991e-06  |	0             |	0             2.2           0:12:17
11            0.0335693     |	0.00200077    8.28386e-06   -1.80146e-06  |	1.68122e-08   -1.80146e-06  -8.28386e-06  |	0             |	0             2.4           0:12:08
12            0.0366211     |	0.00200108    8.23067e-06   -1.99182e-06  |	1.71429e-08   -1.99182e-06  -8.23067e-06  |	0             |	0             2.6           0:12:01
13            0.0396729     |	0.00200139    8.1689e-06    -2.19422e-06  |	1.73281e-08   -2.19422e-06  -8.1689e-06   |	0             |	0             2.8           0:11:55
14            0.0427246     |	0.0020017     8.09701e-06   -2.41694e-06  |	1.73168e-08   -2.41694e-06  -8.09701e-06  |	0             |	0             3             0:11:49
15            0.0457764     |	0.00200202    8.0134e-06    -2.65935e-06  |	1.71803e-08   -2.65935e-06  -8.0134e-06   |	0             |	0             3.2           0:11:45
16            0.0488281     |	0.00200235    7.91646e-06   -2.92621e-06  |	1.68952e-08   -2.92621e-06  -7.91646e-06  |	0             |	0             3.4           0:11:41
17            0.0518799     |	0.00200267    7.80459e-06   -3.2275e-06   |	1.64209e-08   -3.2275e-06   -7.80459e-06  |	0             |	0             3.6           0:11:37
18            0.0549316     |	0.00200301    7.67615e-06   -3.55373e-06  |	1.59155e-08   -3.55373e-06  -7.67615e-06  |	0             |	0             3.8           0:11:33
19            0.0579834     |	0.00200335    7.52965e-06   -3.91617e-06  |	1.52511e-08   -3.91617e-06  -7.52965e-06  |	0.1           |	0             4             0:11:29
20            0.0610352     |	0.0020037     7.3636e-06    -4.32386e-06  |	1.44311e-08   -4.32386e-06  -7.3636e-06   |	0.1           |	0             4.2           0:11:28
21            0.0640869     |	0.00200405    7.17656e-06   -4.77169e-06  |	1.35847e-08   -4.77169e-06  -7.17656e-06  |	0.1           |	0             4.4           0:11:25
22            0.0671387     |	0.00200441    6.96733e-06   -5.2566e-06   |	1.27245e-08   -5.2566e-06   -6.96733e-06  |	0.1           |	0             4.6           0:11:22
23            0.0701904     |	0.00200478    6.73508e-06   -5.77516e-06  |	1.18659e-08   -5.77516e-06  -6.73508e-06  |	0.1           |	0             4.8           0:11:20
24            0.0732422     |	0.00200516    6.47841e-06   -6.3391e-06   |	1.09301e-08   -6.3391e-06   -6.47841e-06  |	0.1           |	0             5             0:11:17
25            0.0762939     |	0.00200555    6.19707e-06   -6.94252e-06  |	1.00596e-08   -6.94252e-06  -6.19707e-06  |	0.1           |	0             5.2           0:11:13
26            0.0793457     |	0.00200594    5.89053e-06   -7.58817e-06  |	9.24268e-09   -7.58817e-06  -5.89053e-06  |	0.1           |	0             5.4           0:11:10
27            0.0823975     |	0.00200635    5.55815e-06   -8.27026e-06  |	8.54669e-09   -8.27026e-06  -5.55815e-06  |	0.1           |	0             5.6           0:11:11
28            0.0854492     |	0.00200676    5.20014e-06   -8.97935e-06  |	8.04209e-09   -8.97935e-06  -5.20014e-06  |	0.1           |	0             5.8           0:11:12
29            0.088501      |	0.00200718    4.81735e-06   -9.73431e-06  |	7.62909e-09   -9.73431e-06  -4.81735e-06  |	0.1           |	0             6             0:11:17
30            0.0915527     |	0.00200761    4.40926e-06   -1.05086e-05  |	7.54348e-09   -1.05086e-05  -4.40926e-06  |	0.1           |	0             6.2           0:11:15
31            0.0946045     |	0.00200804    3.97629e-06   -1.12988e-05  |	7.75753e-09   -1.12988e-05  -3.97629e-06  |	0.1           |	0             6.4           0:11:14
32            0.0976562     |	0.00200848    3.52159e-06   -1.21256e-05  |	8.21352e-09   -1.21256e-05  -3.52159e-06  |	0.1           |	0             6.6           0:11:18
33            0.100708      |	0.00200893    3.04426e-06   -1.29682e-05  |	9.08582e-09   -1.29682e-05  -3.04426e-06  |	0.1           |	0             6.8           0:11:15
34            0.10376       |	0.00200939    2.54795e-06   -1.38445e-05  |	1.03504e-08   -1.38445e-05  -2.54795e-06  |	0.1           |	0             7             0:11:13
35            0.106812      |	0.00200985    2.02658e-06   -1.46788e-05  |	1.21883e-08   -1.46788e-05  -2.02658e-06  |	0.1           |	0             7.2           0:11:10
36            0.109863      |	0.00201032    1.49316e-06   -1.55741e-05  |	1.44396e-08   -1.55741e-05  -1.49316e-06  |	0.1           |	0             7.4           0:11:08
37            0.112915      |	0.00201078    9.44985e-07   -1.64555e-05  |	1.73475e-08   -1.64555e-05  -9.44985e-07  |	0.1           |	0             7.6           0:11:16
38            0.115967      |	0.00201126    3.80102e-07   -1.735e-05    |	2.07542e-08   -1.735e-05    -3.80102e-07  |	0.1           |	0             7.8           0:11:24
39            0.119019      |	0.00201174    -1.99072e-07  -1.82261e-05  |	2.48124e-08   -1.82261e-05  1.99072e-07   |	0.1           |	0             8             0:11:26
40            0.12207       |	0.00201221    -7.83143e-07  -1.91219e-05  |	2.96745e-08   -1.91219e-05  7.83143e-07   |	0.1           |	0             8.2           0:11:26
41            0.125122      |	0.00201269    -1.37798e-06  -1.99962e-05  |	3.51448e-08   -1.99962e-05  1.37798e-06   |	0.1           |	0             8.4           0:11:25
42            0.128174      |	0.00201318    -1.97803e-06  -2.08814e-05  |	4.13693e-08   -2.08814e-05  1.97803e-06   |	0.1           |	0             8.6           0:11:23
