Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

It seemed before that the sponge layer had no effect Try it again and see if it at least attenuates the outer boundary. Remember that I'm fixing r_sponge at 0.9 r_max but perhaps I should fix r_sponge on the outer boundary instead, i.e. closer to 1.0 * r_max. Note that cout_i changed here to be on the outer boundary.

Time start:	Thu May 30 14:34:38 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	1	6	4

CSV file saved:	CSV/20240530_k_fiducial_100_change_sponge_4_profiles.csv
CSV file saved:	CSV/20240530_k_fiducial_100_change_sponge_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240530_k_fiducial_100_change_sponge_7_BCs.csv
Log file saved:	Logs/20240530_k_fiducial_100_change_sponge.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00199773    1.72608e-05   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.00199773    8.60409e-06   -1.60811e-07  |	2.7789e-09    -1.60811e-07  -8.60409e-06  |	0             |	0             0.4           0:30:02
2             0.00610352    |	0.00199818    8.57786e-06   -3.20889e-07  |	5.16421e-09   -3.20889e-07  -8.57786e-06  |	0             |	0             0.6           0:23:34
3             0.00915527    |	0.00199836    8.55157e-06   -4.80669e-07  |	7.31544e-09   -4.80669e-07  -8.55157e-06  |	0             |	0             0.8           0:20:44
4             0.012207      |	0.00199866    8.52506e-06   -6.40179e-07  |	9.22548e-09   -6.40179e-07  -8.52506e-06  |	0             |	0             1             0:19:24
5             0.0152588     |	0.00199896    8.498e-06     -7.99768e-07  |	1.09134e-08   -7.99768e-07  -8.498e-06    |	0             |	0             1.2           0:18:42
6             0.0183105     |	0.00199926    8.46993e-06   -9.59656e-07  |	1.23875e-08   -9.59656e-07  -8.46993e-06  |	0             |	0             1.4           0:18:31
7             0.0213623     |	0.00199956    8.44022e-06   -1.1209e-06   |	1.36519e-08   -1.1209e-06   -8.44022e-06  |	0             |	0             1.6           0:18:17
8             0.0244141     |	0.00199986    8.40806e-06   -1.2839e-06   |	1.47227e-08   -1.2839e-06   -8.40806e-06  |	0             |	0             1.8           0:17:40
9             0.0274658     |	0.00200016    8.37252e-06   -1.45112e-06  |	1.55939e-08   -1.45112e-06  -8.37252e-06  |	0             |	0             2             0:17:12
10            0.0305176     |	0.00200047    8.33246e-06   -1.62305e-06  |	1.62902e-08   -1.62305e-06  -8.33246e-06  |	0             |	0             2.2           0:16:53
11            0.0335693     |	0.00200077    8.28665e-06   -1.80174e-06  |	1.68114e-08   -1.80174e-06  -8.28665e-06  |	0             |	0             2.4           0:16:34
12            0.0366211     |	0.00200108    8.2337e-06    -1.99215e-06  |	1.71414e-08   -1.99215e-06  -8.2337e-06   |	0             |	0             2.6           0:16:15
13            0.0396729     |	0.00200139    8.17216e-06   -2.19461e-06  |	1.73257e-08   -2.19461e-06  -8.17216e-06  |	0             |	0             2.8           0:16:00
14            0.0427246     |	0.00200171    8.10049e-06   -2.4174e-06   |	1.73134e-08   -2.4174e-06   -8.10049e-06  |	0             |	0             3             0:15:47
15            0.0457764     |	0.00200202    8.01711e-06   -2.65987e-06  |	1.71756e-08   -2.65987e-06  -8.01711e-06  |	0             |	0             3.2           0:15:33
16            0.0488281     |	0.00200235    7.92038e-06   -2.92681e-06  |	1.6889e-08    -2.92681e-06  -7.92038e-06  |	0             |	0             3.4           0:15:21
17            0.0518799     |	0.00200268    7.80871e-06   -3.22817e-06  |	1.6413e-08    -3.22817e-06  -7.80871e-06  |	0             |	0             3.6           0:15:10
18            0.0549316     |	0.00200301    7.68047e-06   -3.5545e-06   |	1.59058e-08   -3.5545e-06   -7.68047e-06  |	0             |	0             3.8           0:14:55
19            0.0579834     |	0.00200335    7.53416e-06   -3.91703e-06  |	1.52393e-08   -3.91703e-06  -7.53416e-06  |	0.1           |	0             4             0:14:41
20            0.0610352     |	0.0020037     7.36828e-06   -4.32483e-06  |	1.44169e-08   -4.32483e-06  -7.36828e-06  |	0.1           |	0             4.2           0:14:30
21            0.0640869     |	0.00200405    7.1814e-06    -4.77278e-06  |	1.35679e-08   -4.77278e-06  -7.1814e-06   |	0.1           |	0             4.4           0:14:17
22            0.0671387     |	0.00200441    6.97231e-06   -5.25784e-06  |	1.2705e-08    -5.25784e-06  -6.97231e-06  |	0.1           |	0             4.6           0:14:07
23            0.0701904     |	0.00200478    6.74019e-06   -5.77656e-06  |	1.18435e-08   -5.77656e-06  -6.74019e-06  |	0.1           |	0             4.8           0:13:56
