Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

It seemed before that the sponge layer had no effect Try it again and see if it at least attenuates the outer boundary. Remember that I'm fixing r_sponge at 0.9 r_max but perhaps I should fix r_sponge on the outer boundary instead, i.e. closer to 1.0 * r_max. Note that cout_i changed here to be on the outer boundary.

Time start:	Thu May 30 14:54:16 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.99	6	4

CSV file saved:	CSV/20240530_l_fiducial_100_change_sponge_4_profiles.csv
CSV file saved:	CSV/20240530_l_fiducial_100_change_sponge_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240530_l_fiducial_100_change_sponge_7_BCs.csv
Log file saved:	Logs/20240530_l_fiducial_100_change_sponge.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00199773    1.72608e-05   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.00199773    8.60436e-06   -1.60811e-07  |	2.7789e-09    -1.60811e-07  -8.60436e-06  |	0             |	0             0.4           0:23:30
2             0.00610352    |	0.00199818    8.57838e-06   -3.20897e-07  |	5.16433e-09   -3.20897e-07  -8.57838e-06  |	0             |	0             0.6           0:19:18
3             0.00915527    |	0.00199836    8.55235e-06   -4.80688e-07  |	7.31567e-09   -4.80688e-07  -8.55235e-06  |	0             |	0             0.8           0:16:47
4             0.012207      |	0.00199866    8.5261e-06    -6.40216e-07  |	9.22583e-09   -6.40216e-07  -8.5261e-06   |	0             |	0             1             0:15:33
5             0.0152588     |	0.00199896    8.4993e-06    -7.99827e-07  |	1.09139e-08   -7.99827e-07  -8.4993e-06   |	0             |	0             1.2           0:14:32
6             0.0183105     |	0.00199926    8.47148e-06   -9.5974e-07   |	1.23879e-08   -9.5974e-07   -8.47148e-06  |	0             |	0             1.4           0:13:53
7             0.0213623     |	0.00199956    8.44202e-06   -1.12102e-06  |	1.36524e-08   -1.12102e-06  -8.44202e-06  |	0             |	0             1.6           0:13:38
8             0.0244141     |	0.00199986    8.41012e-06   -1.28405e-06  |	1.4723e-08    -1.28405e-06  -8.41012e-06  |	0             |	0             1.8           0:13:14
9             0.0274658     |	0.00200017    8.37482e-06   -1.45131e-06  |	1.55939e-08   -1.45131e-06  -8.37482e-06  |	0             |	0             2             0:12:53
10            0.0305176     |	0.00200047    8.33501e-06   -1.62328e-06  |	1.62899e-08   -1.62328e-06  -8.33501e-06  |	0             |	0             2.2           0:12:42
11            0.0335693     |	0.00200077    8.28944e-06   -1.80203e-06  |	1.68105e-08   -1.80203e-06  -8.28944e-06  |	0             |	0             2.4           0:12:30
12            0.0366211     |	0.00200108    8.23673e-06   -1.99249e-06  |	1.71399e-08   -1.99249e-06  -8.23673e-06  |	0             |	0             2.6           0:12:20
13            0.0396729     |	0.00200139    8.17542e-06   -2.19501e-06  |	1.73233e-08   -2.19501e-06  -8.17542e-06  |	0             |	0             2.8           0:12:12
14            0.0427246     |	0.00200171    8.10398e-06   -2.41785e-06  |	1.73099e-08   -2.41785e-06  -8.10398e-06  |	0             |	0             3             0:12:04
15            0.0457764     |	0.00200203    8.02082e-06   -2.66039e-06  |	1.71709e-08   -2.66039e-06  -8.02082e-06  |	0             |	0             3.2           0:11:57
16            0.0488281     |	0.00200235    7.92431e-06   -2.9274e-06   |	1.68829e-08   -2.9274e-06   -7.92431e-06  |	0             |	0             3.4           0:12:03
17            0.0518799     |	0.00200268    7.81284e-06   -3.22885e-06  |	1.64052e-08   -3.22885e-06  -7.81284e-06  |	0             |	0             3.6           0:11:57
18            0.0549316     |	0.00200301    7.6848e-06    -3.55526e-06  |	1.5896e-08    -3.55526e-06  -7.6848e-06   |	0             |	0             3.8           0:11:53
19            0.0579834     |	0.00200335    7.53866e-06   -3.9179e-06   |	1.52274e-08   -3.9179e-06   -7.53866e-06  |	0.1           |	0             4             0:11:48
20            0.0610352     |	0.0020037     7.37296e-06   -4.32581e-06  |	1.44027e-08   -4.32581e-06  -7.37296e-06  |	0.1           |	0             4.2           0:11:48
21            0.0640869     |	0.00200405    7.18623e-06   -4.77388e-06  |	1.35511e-08   -4.77388e-06  -7.18623e-06  |	0.1           |	0             4.4           0:11:42
22            0.0671387     |	0.00200442    6.97729e-06   -5.25908e-06  |	1.26854e-08   -5.25908e-06  -6.97729e-06  |	0.1           |	0             4.6           0:11:37
23            0.0701904     |	0.00200479    6.7453e-06    -5.77796e-06  |	1.1821e-08    -5.77796e-06  -6.7453e-06   |	0.1           |	0             4.8           0:11:33
24            0.0732422     |	0.00200517    6.48886e-06   -6.34226e-06  |	1.08789e-08   -6.34226e-06  -6.48886e-06  |	0.1           |	0             5             0:11:32
25            0.0762939     |	0.00200555    6.20771e-06   -6.9461e-06   |	1.00019e-08   -6.9461e-06   -6.20771e-06  |	0.1           |	0             5.2           0:11:31
26            0.0793457     |	0.00200595    5.90132e-06   -7.5922e-06   |	9.17832e-09   -7.5922e-06   -5.90132e-06  |	0.1           |	0             5.4           0:11:28
27            0.0823975     |	0.00200635    5.56908e-06   -8.27481e-06  |	8.47564e-09   -8.27481e-06  -5.56908e-06  |	0.1           |	0             5.6           0:11:27
28            0.0854492     |	0.00200676    5.21114e-06   -8.98448e-06  |	7.96426e-09   -8.98448e-06  -5.21114e-06  |	0.1           |	0             5.8           0:11:25
29            0.088501      |	0.00200719    4.8284e-06    -9.74008e-06  |	7.54455e-09   -9.74008e-06  -4.8284e-06   |	0.1           |	0             6             0:11:21
30            0.0915527     |	0.00200761    4.4203e-06    -1.0515e-05   |	7.45259e-09   -1.0515e-05   -4.4203e-06   |	0.1           |	0             6.2           0:11:20
31            0.0946045     |	0.00200805    3.98729e-06   -1.1306e-05   |	7.66081e-09   -1.1306e-05   -3.98729e-06  |	0.1           |	0             6.4           0:11:16
32            0.0976562     |	0.00200849    3.53251e-06   -1.21337e-05  |	8.11146e-09   -1.21337e-05  -3.53251e-06  |	0.1           |	0             6.6           0:11:14
33            0.100708      |	0.00200894    3.05504e-06   -1.29772e-05  |	8.97926e-09   -1.29772e-05  -3.05504e-06  |	0.1           |	0             6.8           0:11:11
34            0.10376       |	0.0020094     2.55859e-06   -1.38545e-05  |	1.02404e-08   -1.38545e-05  -2.55859e-06  |	0.1           |	0             7             0:11:09
35            0.106812      |	0.00200986    2.03697e-06   -1.46898e-05  |	1.20759e-08   -1.46898e-05  -2.03697e-06  |	0.1           |	0             7.2           0:11:07
36            0.109863      |	0.00201033    1.50331e-06   -1.55862e-05  |	1.43264e-08   -1.55862e-05  -1.50331e-06  |	0.1           |	0             7.4           0:11:05
37            0.112915      |	0.0020108     9.54808e-07   -1.64687e-05  |	1.72348e-08   -1.64687e-05  -9.54808e-07  |	0.1           |	0             7.6           0:11:03
38            0.115967      |	0.00201127    3.8961e-07    -1.73645e-05  |	2.0645e-08    -1.73645e-05  -3.8961e-07   |	0.1           |	0             7.8           0:11:01
39            0.119019      |	0.00201175    -1.89936e-07  -1.82418e-05  |	2.4708e-08    -1.82418e-05  1.89936e-07   |	0.1           |	0             8             0:10:59
40            0.12207       |	0.00201223    -7.74422e-07  -1.91389e-05  |	2.95772e-08   -1.91389e-05  7.74422e-07   |	0.1           |	0             8.2           0:10:58
41            0.125122      |	0.00201271    -1.36972e-06  -2.00145e-05  |	3.50573e-08   -2.00145e-05  1.36972e-06   |	0.1           |	0             8.4           0:10:56
42            0.128174      |	0.00201319    -1.97018e-06  -2.0901e-05   |	4.12962e-08   -2.0901e-05   1.97018e-06   |	0.1           |	0             8.6           0:10:54
43            0.131226      |	0.00201368    -2.57872e-06  -2.17475e-05  |	4.8247e-08    -2.17475e-05  2.57872e-06   |	0.1           |	0             8.8           0:10:53
44            0.134277      |	0.00201415    -3.18139e-06  -2.26183e-05  |	5.62393e-08   -2.26183e-05  3.18139e-06   |	0.1           |	0             9             0:10:51
45            0.137329      |	0.00201464    -3.79212e-06  -2.3444e-05   |	6.46898e-08   -2.3444e-05   3.79212e-06   |	0.1           |	0             9.2           0:10:49
46            0.140381      |	0.00201511    -4.38826e-06  -2.42915e-05  |	7.4481e-08    -2.42915e-05  4.38826e-06   |	0.1           |	0             9.4           0:10:47
47            0.143433      |	0.00201558    -4.98969e-06  -2.50962e-05  |	8.45132e-08   -2.50962e-05  4.98969e-06   |	0.1           |	0             9.6           0:10:45
48            0.146484      |	0.00201605    -5.58172e-06  -2.58914e-05  |	9.57451e-08   -2.58914e-05  5.58172e-06   |	0.1           |	0             9.8           0:10:43
49            0.149536      |	0.00201651    -6.15645e-06  -2.66863e-05  |	1.07917e-07   -2.66863e-05  6.15645e-06   |	0.1           |	0             10            0:10:41
50            0.152588      |	0.00201697    -6.73051e-06  -2.74401e-05  |	1.20513e-07   -2.74401e-05  6.73051e-06   |	0.1           |	0             10.2          0:10:40
51            0.15564       |	0.00201742    -7.27556e-06  -2.82054e-05  |	1.34473e-07   -2.82054e-05  7.27556e-06   |	0.1           |	0             10.4          0:10:38
52            0.158691      |	0.00201787    -7.76601e-06  -2.87532e-05  |	1.485e-07     -2.87532e-05  7.76601e-06   |	0.2           |	0             10.6          0:10:38
53            0.161743      |	0.0020183     -8.14647e-06  -2.92548e-05  |	1.6524e-07    -2.92548e-05  8.14647e-06   |	0.2           |	0             10.8          0:10:37
54            0.164795      |	0.00201875    -8.54693e-06  -2.9818e-05   |	1.82037e-07   -2.9818e-05   8.54693e-06   |	0.2           |	0             11            0:10:38
55            0.167847      |	0.00201916    -8.9254e-06   -3.04977e-05  |	2.01768e-07   -3.04977e-05  8.9254e-06    |	0.2           |	0             11.2          0:10:36
56            0.170898      |	0.00201958    -9.33484e-06  -3.12243e-05  |	2.20764e-07   -3.12243e-05  9.33484e-06   |	0.2           |	0             11.4          0:10:35
57            0.17395       |	0.00201999    -9.77895e-06  -3.20472e-05  |	2.40306e-07   -3.20472e-05  9.77895e-06   |	0.2           |	0             11.6          0:10:33
58            0.177002      |	0.00202039    -1.02574e-05  -3.29599e-05  |	2.60212e-07   -3.29599e-05  1.02574e-05   |	0.2           |	0             11.8          0:10:30
59            0.180054      |	0.0020208     -1.07902e-05  -3.387e-05    |	2.78686e-07   -3.387e-05    1.07902e-05   |	0.2           |	0             12            0:10:30
60            0.183105      |	0.00202119    -1.13414e-05  -3.47571e-05  |	2.96779e-07   -3.47571e-05  1.13414e-05   |	0.2           |	0             12.2          0:10:32
61            0.186157      |	0.00202158    -1.19264e-05  -3.56954e-05  |	3.13764e-07   -3.56954e-05  1.19264e-05   |	0.2           |	0             12.4          0:10:33
62            0.189209      |	0.00202195    -1.25106e-05  -3.65616e-05  |	3.29837e-07   -3.65616e-05  1.25106e-05   |	0.2           |	0             12.6          0:10:32
63            0.192261      |	0.00202231    -1.3094e-05   -3.73943e-05  |	3.43909e-07   -3.73943e-05  1.3094e-05    |	0.2           |	0             12.8          0:10:30
64            0.195312      |	0.00202265    -1.36642e-05  -3.81535e-05  |	3.56547e-07   -3.81535e-05  1.36642e-05   |	0.2           |	0             13            0:10:28
65            0.198364      |	0.00202298    -1.41996e-05  -3.88675e-05  |	3.67463e-07   -3.88675e-05  1.41996e-05   |	0.2           |	0             13.2          0:10:27
66            0.201416      |	0.00202329    -1.46941e-05  -3.94991e-05  |	3.76614e-07   -3.94991e-05  1.46941e-05   |	0.2           |	0             13.4          0:10:27
67            0.204468      |	0.00202359    -1.51517e-05  -4.00766e-05  |	3.8368e-07    -4.00766e-05  1.51517e-05   |	0.2           |	0             13.6          0:10:27
68            0.20752       |	0.00202386    -1.55444e-05  -4.05785e-05  |	3.89308e-07   -4.05785e-05  1.55444e-05   |	0.2           |	0             13.8          0:10:25
69            0.210571      |	0.00202412    -1.58844e-05  -4.10142e-05  |	3.92575e-07   -4.10142e-05  1.58844e-05   |	0.2           |	0             14            0:10:23
70            0.213623      |	0.00202436    -1.61567e-05  -4.13779e-05  |	3.94174e-07   -4.13779e-05  1.61567e-05   |	0.2           |	0             14.2          0:10:22
71            0.216675      |	0.00202459    -1.63663e-05  -4.16683e-05  |	3.93596e-07   -4.16683e-05  1.63663e-05   |	0.2           |	0             14.4          0:10:21
72            0.219727      |	0.0020248     -1.65083e-05  -4.19178e-05  |	3.92379e-07   -4.19178e-05  1.65083e-05   |	0.2           |	0             14.6          0:10:19
73            0.222778      |	0.002025      -1.65964e-05  -4.20664e-05  |	3.88113e-07   -4.20664e-05  1.65964e-05   |	0.2           |	0             14.8          0:10:17
74            0.22583       |	0.00202519    -1.66103e-05  -4.2184e-05   |	3.83756e-07   -4.2184e-05   1.66103e-05   |	0.3           |	0             15            0:10:15
75            0.228882      |	0.00202536    -1.6618e-05   -4.27191e-05  |	3.85024e-07   -4.27191e-05  1.6618e-05    |	0.3           |	0             15.2          0:10:13
76            0.231934      |	0.00202553    -1.66051e-05  -4.30313e-05  |	3.81494e-07   -4.30313e-05  1.66051e-05   |	0.4           |	0             15.4          0:10:11
77            0.234985      |	0.00202569    -1.64674e-05  -4.28694e-05  |	3.7114e-07    -4.28694e-05  1.64674e-05   |	0.4           |	0             15.6          0:10:10
78            0.238037      |	0.0020258     -1.61626e-05  -4.23569e-05  |	3.56663e-07   -4.23569e-05  1.61626e-05   |	0.4           |	0             15.8          0:10:08
79            0.241089      |	0.0020259     -1.57011e-05  -4.15769e-05  |	3.38448e-07   -4.15769e-05  1.57011e-05   |	0.4           |	0             16            0:10:06
80            0.244141      |	0.00202604    -1.52436e-05  -4.07473e-05  |	3.22539e-07   -4.07473e-05  1.52436e-05   |	0.4           |	0             16.2          0:10:04
81            0.247192      |	0.00202614    -1.46276e-05  -3.97183e-05  |	3.07421e-07   -3.97183e-05  1.46276e-05   |	0.4           |	0             16.4          0:10:02
82            0.250244      |	0.00202624    -1.39325e-05  -3.88219e-05  |	2.95219e-07   -3.88219e-05  1.39325e-05   |	0.4           |	0             16.6          0:10:00
