Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

original friction with output to profiles csv so that I can characterise how much the effect is of the sponge layer.

Time start:	Mon Jun 03 10:53:18 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	1.1	6	4

CSV file saved:	CSV/20240603_a_increase_sponge_4_profiles.csv
CSV file saved:	CSV/20240603_a_increase_sponge_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_a_increase_sponge_7_BCs.csv
Log file saved:	Logs/20240603_a_increase_sponge.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00199773    1.72608e-05   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.00199773    8.60147e-06   -1.60811e-07  |	2.7789e-09    -1.60811e-07  -8.60147e-06  |	0             |	0             0.4           0:22:37
2             0.00610352    |	0.00199818    8.57262e-06   -3.20816e-07  |	5.16306e-09   -3.20816e-07  -8.57262e-06  |	0             |	0             0.6           0:16:46
3             0.00915527    |	0.00199836    8.54375e-06   -4.80474e-07  |	7.3131e-09    -4.80474e-07  -8.54375e-06  |	0             |	0             0.8           0:15:10
4             0.012207      |	0.00199866    8.51467e-06   -6.39815e-07  |	9.22195e-09   -6.39815e-07  -8.51467e-06  |	0             |	0             1             0:14:32
5             0.0152588     |	0.00199896    8.48505e-06   -7.99188e-07  |	1.0909e-08    -7.99188e-07  -8.48505e-06  |	0             |	0             1.2           0:13:55
6             0.0183105     |	0.00199926    8.45444e-06   -9.58812e-07  |	1.23826e-08   -9.58812e-07  -8.45444e-06  |	0             |	0             1.4           0:13:36
7             0.0213623     |	0.00199956    8.4222e-06    -1.11975e-06  |	1.36475e-08   -1.11975e-06  -8.4222e-06   |	0             |	0             1.6           0:13:13
8             0.0244141     |	0.00199986    8.38755e-06   -1.2824e-06   |	1.47195e-08   -1.2824e-06   -8.38755e-06  |	0             |	0             1.8           0:12:53
9             0.0274658     |	0.00200016    8.34952e-06   -1.44921e-06  |	1.55932e-08   -1.44921e-06  -8.34952e-06  |	0             |	0             2             0:12:45
10            0.0305176     |	0.00200046    8.30701e-06   -1.6207e-06   |	1.62933e-08   -1.6207e-06   -8.30701e-06  |	0             |	0             2.2           0:12:36
