Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Make sigma_0 smaller.

Time start:	Mon Jun 03 12:36:28 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	2.1                 7.00484599916119e-05	steps: 700
Est. CSV size (MB)     :	70.8480834960938
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.1	6	4

CSV file saved:	CSV/20240603_d_sponge_in_terms_of_time_derivative_4_profiles.csv
CSV file saved:	CSV/20240603_d_sponge_in_terms_of_time_derivative_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_d_sponge_in_terms_of_time_derivative_7_BCs.csv
Log file saved:	Logs/20240603_d_sponge_in_terms_of_time_derivative.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00199773    1.72608e-05   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	0.00199773    8.63037e-06   -1.60811e-07  |	2.7789e-09    -1.60811e-07  -8.63037e-06  |	0             |	0             0.3           0:32:01
2             0.00610352    |	0.00199818    8.63032e-06   -3.21624e-07  |	5.21384e-09   -3.21624e-07  -8.63032e-06  |	0             |	0             0.4           0:23:38
3             0.00915527    |	0.00199836    8.63016e-06   -4.82588e-07  |	7.43656e-09   -4.82588e-07  -8.63016e-06  |	0             |	0             0.6           0:20:56
4             0.012207      |	0.00199867    8.62975e-06   -6.43734e-07  |	9.44089e-09   -6.43734e-07  -8.62975e-06  |	0             |	0             0.7           0:20:13
5             0.0152588     |	0.00199897    8.62876e-06   -8.05363e-07  |	1.12397e-08   -8.05363e-07  -8.62876e-06  |	0             |	0             0.9           0:19:39
6             0.0183105     |	0.00199928    8.62677e-06   -9.67669e-07  |	1.28376e-08   -9.67669e-07  -8.62677e-06  |	0             |	0             1             0:19:03
7             0.0213623     |	0.00199958    8.62319e-06   -1.1316e-06   |	1.42355e-08   -1.1316e-06   -8.62319e-06  |	0             |	0             1.1           0:18:29
8             0.0244141     |	0.00199989    8.61726e-06   -1.2975e-06   |	1.54448e-08   -1.2975e-06   -8.61726e-06  |	0             |	0             1.3           0:18:15
9             0.0274658     |	0.0020002     8.60807e-06   -1.46759e-06  |	1.64573e-08   -1.46759e-06  -8.60807e-06  |	0             |	0             1.4           0:18:04
10            0.0305176     |	0.00200051    8.59455e-06   -1.64234e-06  |	1.72926e-08   -1.64234e-06  -8.59455e-06  |	0             |	0             1.6           0:17:54
