Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Changed cout_j from 5 to 250.Make sigma_0 larger. Longer evolution as it seems more stable now. 1001->501 theta points.

Time start:	Mon Jun 03 13:32:09 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	501                 0.00628318530717959 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00628318530717959 2.09584502195168e-07
Length of simulation   :	4.5                 0.000150103842839168	steps: 1500
Est. CSV size (MB)     :	15.6561613082886
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 1.57393791944849 ) = ( 10.0032958984375, 0.501 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240603_f_sponge_in_terms_of_time_derivative_4_profiles.csv
CSV file saved:	CSV/20240603_f_sponge_in_terms_of_time_derivative_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_f_sponge_in_terms_of_time_derivative_7_BCs.csv
Log file saved:	Logs/20240603_f_sponge_in_terms_of_time_derivative.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	-6.27697e-06  0.000999007   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	-6.27697e-06  0.000499503   2.9244e-08    |	9.30629e-06   1.46188e-07   -0.000499456  |	0             |	0             0.1           0:36:15
2             0.00610352    |	-6.2784e-06   0.00049948    1.20204e-07   |	1.86005e-05   3.53936e-07   -0.000499173  |	0             |	0             0.2           0:27:10
3             0.00915527    |	-6.27895e-06  0.000499327   2.73794e-07   |	2.78633e-05   6.23765e-07   -0.000498588  |	0             |	0             0.3           0:23:42
4             0.012207      |	-6.27989e-06  0.000498959   4.90422e-07   |	3.70664e-05   9.55623e-07   -0.00049762   |	0             |	0             0.3           0:21:57
5             0.0152588     |	-6.28079e-06  0.000498294   7.70584e-07   |	4.61728e-05   1.34932e-06   -0.000496189  |	0             |	0             0.4           0:20:56
6             0.0183105     |	-6.28164e-06  0.000497251   1.11446e-06   |	5.51381e-05   1.80422e-06   -0.000494223  |	0             |	0             0.5           0:20:16
7             0.0213623     |	-6.28241e-06  0.000495755   1.52197e-06   |	6.39101e-05   2.31928e-06   -0.000491655  |	0             |	0             0.5           0:19:48
8             0.0244141     |	-6.28306e-06  0.000493735   1.99213e-06   |	7.24336e-05   2.89248e-06   -0.000488429  |	0             |	0             0.6           0:19:25
9             0.0274658     |	-6.28354e-06  0.000491129   2.5236e-06    |	8.06502e-05   3.52137e-06   -0.000484496  |	0             |	0             0.7           0:19:09
10            0.0305176     |	-6.28381e-06  0.000487881   3.11431e-06   |	8.85011e-05   4.20272e-06   -0.00047982   |	0             |	0             0.7           0:18:54
11            0.0335693     |	-6.28381e-06  0.000483949   3.76248e-06   |	9.59227e-05   4.93358e-06   -0.000474378  |	0             |	0             0.8           0:18:42
12            0.0366211     |	-6.28347e-06  0.000479297   4.46375e-06   |	0.000102864   5.70854e-06   -0.000468158  |	0             |	0             0.9           0:18:31
13            0.0396729     |	-6.28273e-06  0.000473905   5.21453e-06   |	0.000109278   6.52303e-06   -0.00046116   |	0             |	0             0.9           0:18:24
14            0.0427246     |	-6.28153e-06  0.000467759   6.0101e-06    |	0.000115121   7.3715e-06    -0.000453395  |	0             |	0             1             0:18:21
15            0.0457764     |	-6.27978e-06  0.000460864   6.8476e-06    |	0.000120351   8.25022e-06   -0.000444893  |	0             |	0             1.1           0:18:09
16            0.0488281     |	-6.27742e-06  0.000453232   7.71879e-06   |	0.000124953   9.15059e-06   -0.000435685  |	0             |	0             1.1           0:18:00
17            0.0518799     |	-6.27439e-06  0.000444885   8.61886e-06   |	0.000128912   1.00675e-05   -0.000425813  |	0             |	0             1.2           0:17:56
18            0.0549316     |	-6.2706e-06   0.00043586    9.54499e-06   |	0.00013221    1.09976e-05   -0.000415336  |	0             |	0             1.3           0:17:53
19            0.0579834     |	-6.26602e-06  0.000426198   1.04895e-05   |	0.000134852   1.19334e-05   -0.00040431   |	0.1           |	0             1.3           0:17:48
20            0.0610352     |	-6.26053e-06  0.000415951   1.14409e-05   |	0.000136877   1.28641e-05   -0.00039279   |	0.1           |	0             1.4           0:17:44
21            0.0640869     |	-6.25415e-06  0.000405171   1.24062e-05   |	0.000138264   1.37959e-05   -0.000380853  |	0.1           |	0             1.5           0:17:39
22            0.0671387     |	-6.24671e-06  0.00039393    1.33686e-05   |	0.000139069   1.47132e-05   -0.000368567  |	0.1           |	0             1.5           0:17:36
23            0.0701904     |	-6.23828e-06  0.000382281   1.43292e-05   |	0.000139309   1.56173e-05   -0.000355995  |	0.1           |	0             1.6           0:17:36
24            0.0732422     |	-6.22882e-06  0.000370288   1.52792e-05   |	0.000139028   1.65001e-05   -0.000343197  |	0.1           |	0             1.7           0:17:30
25            0.0762939     |	-6.21811e-06  0.000358036   1.62268e-05   |	0.000138239   1.73694e-05   -0.000330273  |	0.1           |	0             1.7           0:17:26
26            0.0793457     |	-6.2062e-06   0.000345586   1.7133e-05    |	0.000137067   1.81894e-05   -0.000317244  |	0.1           |	0             1.8           0:17:23
27            0.0823975     |	-6.19326e-06  0.000332973   1.8041e-05    |	0.000135452   1.90004e-05   -0.000304182  |	0.1           |	0             1.9           0:17:19
28            0.0854492     |	-6.17879e-06  0.000320311   1.89101e-05   |	0.000133516   1.9765e-05    -0.000291166  |	0.1           |	0             1.9           0:17:16
29            0.088501      |	-6.1632e-06   0.000307612   1.97532e-05   |	0.000131255   2.04955e-05   -0.000278218  |	0.1           |	0             2             0:17:12
30            0.0915527     |	-6.14634e-06  0.000294942   2.05697e-05   |	0.000128712   2.11915e-05   -0.000265398  |	0.1           |	0             2.1           0:17:11
31            0.0946045     |	-6.12799e-06  0.000282377   2.13481e-05   |	0.000125951   2.18426e-05   -0.000252763  |	0.1           |	0             2.1           0:17:08
32            0.0976562     |	-6.10836e-06  0.000269935   2.20986e-05   |	0.000122966   2.24587e-05   -0.000240345  |	0.1           |	0             2.2           0:17:08
33            0.100708      |	-6.08749e-06  0.00025768    2.28028e-05   |	0.000119845   2.30229e-05   -0.000228173  |	0.1           |	0             2.3           0:17:06
34            0.10376       |	-6.06511e-06  0.000245638   2.34702e-05   |	0.000116572   2.35445e-05   -0.000216292  |	0.1           |	0             2.3           0:17:04
35            0.106812      |	-6.04138e-06  0.000233848   2.41033e-05   |	0.000113186   2.4026e-05    -0.000204729  |	0.1           |	0             2.4           0:17:02
36            0.109863      |	-6.01615e-06  0.000222392   2.46666e-05   |	0.000109791   2.44349e-05   -0.000193525  |	0.1           |	0             2.5           0:17:00
37            0.112915      |	-5.98958e-06  0.000211198   2.52303e-05   |	0.000106268   2.48357e-05   -0.000182667  |	0.1           |	0             2.5           0:16:57
38            0.115967      |	-5.96154e-06  0.000200408   2.57054e-05   |	0.000102784   2.51485e-05   -0.000172229  |	0.1           |	0             2.6           0:16:55
39            0.119019      |	-5.93232e-06  0.00018995    2.61561e-05   |	9.92665e-05   2.54312e-05   -0.000162172  |	0.1           |	0             2.7           0:16:52
40            0.12207       |	-5.90132e-06  0.000179888   2.65697e-05   |	9.5781e-05    2.5672e-05    -0.000152536  |	0.1           |	0             2.7           0:16:50
41            0.125122      |	-5.8693e-06   0.000170243   2.69102e-05   |	9.23028e-05   2.58439e-05   -0.000143365  |	0.1           |	0             2.8           0:16:48
42            0.128174      |	-5.83543e-06  0.000161028   2.72215e-05   |	8.89357e-05   2.5979e-05    -0.000134613  |	0.1           |	0             2.9           0:16:47
43            0.131226      |	-5.8007e-06   0.00015225    2.74668e-05   |	8.55869e-05   2.6055e-05    -0.000126349  |	0.1           |	0             2.9           0:16:46
44            0.134277      |	-5.76447e-06  0.000143879   2.7689e-05    |	8.23579e-05   2.61003e-05   -0.000118478  |	0.1           |	0             3             0:16:45
45            0.137329      |	-5.72654e-06  0.000135982   2.78487e-05   |	7.91903e-05   2.60918e-05   -0.000111119  |	0.1           |	0             3.1           0:16:42
46            0.140381      |	-5.68798e-06  0.000128558   2.79398e-05   |	7.6186e-05    2.60181e-05   -0.000104206  |	0.1           |	0             3.1           0:16:41
