Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Remove the specific expressions for the inner boundary in void calculate_time_derivatives_of_vector_components().

Time start:	Mon Jun 03 13:49:51 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	501                 0.00628318530717959 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00628318530717959 2.09584502195168e-07
Length of simulation   :	4.5                 0.000150103842839168	steps: 1500
Est. CSV size (MB)     :	15.6561613082886
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 1.57393791944849 ) = ( 10.0032958984375, 0.501 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240603_g_sponge_in_terms_of_time_derivative_4_profiles.csv
CSV file saved:	CSV/20240603_g_sponge_in_terms_of_time_derivative_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_g_sponge_in_terms_of_time_derivative_7_BCs.csv
Log file saved:	Logs/20240603_g_sponge_in_terms_of_time_derivative.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	-6.27697e-06  0.000999007   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	-6.27697e-06  0.000499503   2.9244e-08    |	9.30629e-06   1.46188e-07   -0.000499456  |	0             |	0             0.1           0:47:16
2             0.00610352    |	-6.2784e-06   0.00049948    1.20204e-07   |	1.86005e-05   3.53936e-07   -0.000499173  |	0             |	0             0.2           0:36:41
3             0.00915527    |	-6.27895e-06  0.000499327   2.73794e-07   |	2.78633e-05   6.23765e-07   -0.000498588  |	0             |	0             0.3           0:33:04
4             0.012207      |	-6.27989e-06  0.000498959   4.90422e-07   |	3.70664e-05   9.55623e-07   -0.00049762   |	0             |	0             0.3           0:30:56
5             0.0152588     |	-6.28079e-06  0.000498294   7.70584e-07   |	4.61728e-05   1.34932e-06   -0.000496189  |	0             |	0             0.4           0:28:48
6             0.0183105     |	-6.28164e-06  0.000497251   1.11446e-06   |	5.51381e-05   1.80422e-06   -0.000494223  |	0             |	0             0.5           0:27:24
7             0.0213623     |	-6.28241e-06  0.000495755   1.52197e-06   |	6.39101e-05   2.31928e-06   -0.000491655  |	0             |	0             0.5           0:26:23
8             0.0244141     |	-6.28306e-06  0.000493735   1.99213e-06   |	7.24336e-05   2.89248e-06   -0.000488429  |	0             |	0             0.6           0:25:46
9             0.0274658     |	-6.28354e-06  0.000491129   2.5236e-06    |	8.06502e-05   3.52137e-06   -0.000484496  |	0             |	0             0.7           0:25:20
10            0.0305176     |	-6.28381e-06  0.000487881   3.11431e-06   |	8.85011e-05   4.20272e-06   -0.00047982   |	0             |	0             0.7           0:24:53
11            0.0335693     |	-6.28381e-06  0.000483949   3.76248e-06   |	9.59227e-05   4.93358e-06   -0.000474378  |	0             |	0             0.8           0:24:36
12            0.0366211     |	-6.28347e-06  0.000479297   4.46375e-06   |	0.000102864   5.70854e-06   -0.000468158  |	0             |	0             0.9           0:24:17
13            0.0396729     |	-6.28273e-06  0.000473905   5.21453e-06   |	0.000109278   6.52303e-06   -0.00046116   |	0             |	0             0.9           0:24:10
14            0.0427246     |	-6.28153e-06  0.000467759   6.0101e-06    |	0.000115121   7.3715e-06    -0.000453395  |	0             |	0             1             0:24:06
15            0.0457764     |	-6.27978e-06  0.000460864   6.8476e-06    |	0.000120351   8.25022e-06   -0.000444893  |	0             |	0             1.1           0:23:54
16            0.0488281     |	-6.27742e-06  0.000453232   7.71879e-06   |	0.000124953   9.15059e-06   -0.000435685  |	0             |	0             1.1           0:23:30
17            0.0518799     |	-6.27439e-06  0.000444885   8.61886e-06   |	0.000128912   1.00675e-05   -0.000425813  |	0             |	0             1.2           0:23:04
18            0.0549316     |	-6.2706e-06   0.00043586    9.54499e-06   |	0.00013221    1.09976e-05   -0.000415336  |	0             |	0             1.3           0:22:45
19            0.0579834     |	-6.26602e-06  0.000426198   1.04895e-05   |	0.000134852   1.19334e-05   -0.00040431   |	0.1           |	0             1.3           0:22:30
20            0.0610352     |	-6.26053e-06  0.000415951   1.14409e-05   |	0.000136877   1.28641e-05   -0.00039279   |	0.1           |	0             1.4           0:22:23
21            0.0640869     |	-6.25415e-06  0.000405171   1.24062e-05   |	0.000138264   1.37959e-05   -0.000380853  |	0.1           |	0             1.5           0:22:09
22            0.0671387     |	-6.24671e-06  0.00039393    1.33686e-05   |	0.000139069   1.47132e-05   -0.000368567  |	0.1           |	0             1.5           0:21:52
23            0.0701904     |	-6.23828e-06  0.000382281   1.43292e-05   |	0.000139309   1.56173e-05   -0.000355995  |	0.1           |	0             1.6           0:21:37
24            0.0732422     |	-6.22882e-06  0.000370288   1.52792e-05   |	0.000139028   1.65001e-05   -0.000343197  |	0.1           |	0             1.7           0:21:25
25            0.0762939     |	-6.21811e-06  0.000358036   1.62268e-05   |	0.000138239   1.73694e-05   -0.000330273  |	0.1           |	0             1.7           0:21:16
26            0.0793457     |	-6.2062e-06   0.000345586   1.7133e-05    |	0.000137067   1.81894e-05   -0.000317244  |	0.1           |	0             1.8           0:21:08
27            0.0823975     |	-6.19326e-06  0.000332973   1.8041e-05    |	0.000135452   1.90004e-05   -0.000304182  |	0.1           |	0             1.9           0:20:58
28            0.0854492     |	-6.17879e-06  0.000320311   1.89101e-05   |	0.000133516   1.9765e-05    -0.000291166  |	0.1           |	0             1.9           0:20:47
29            0.088501      |	-6.1632e-06   0.000307612   1.97532e-05   |	0.000131255   2.04955e-05   -0.000278218  |	0.1           |	0             2             0:20:38
30            0.0915527     |	-6.14634e-06  0.000294942   2.05697e-05   |	0.000128712   2.11915e-05   -0.000265398  |	0.1           |	0             2.1           0:20:39
