Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Following Parfrey's outer boundary conditions more carefully (PhD thesis, section 3.9), there is a sin(theta) term between the theta- and phi-components which had not been accounted for previously.

Time start:	Mon Jun 03 16:16:57 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	5.06057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240603_h_corrected_Parfrey_outer_BCs_4_profiles.csv
CSV file saved:	CSV/20240603_h_corrected_Parfrey_outer_BCs_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_h_corrected_Parfrey_outer_BCs_7_BCs.csv
Log file saved:	Logs/20240603_h_corrected_Parfrey_outer_BCs.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.0014106     0.000352897   -6.57192e-06  |	4.66899e-06   -4.65434e-06  -0.000498289  |	0             |	0             0.4           0:24:26
2             0.00610352    |	0.00141085    0.000334543   -1.29431e-05  |	8.46429e-06   -9.1665e-06   -0.000472374  |	0             |	0             0.6           0:17:51
3             0.00915527    |	0.00141094    0.000330735   -1.92224e-05  |	1.18115e-05   -1.36136e-05  -0.000466997  |	0             |	0             0.8           0:15:45
4             0.012207      |	0.00141113    0.000319957   -2.54148e-05  |	1.46308e-05   -1.79992e-05  -0.000451778  |	0             |	0             1             0:14:35
5             0.0152588     |	0.00141129    0.000311959   -3.15097e-05  |	1.7054e-05    -2.23157e-05  -0.000440485  |	0             |	0             1.2           0:14:12
6             0.0183105     |	0.00141148    0.00030394    -3.75304e-05  |	1.90522e-05   -2.65796e-05  -0.000429163  |	0             |	0             1.4           0:13:57
7             0.0213623     |	0.00141166    0.000297145   -4.34755e-05  |	2.06922e-05   -3.07901e-05  -0.000419568  |	0             |	0             1.6           0:13:41
8             0.0244141     |	0.00141186    0.000290796   -4.93546e-05  |	2.1978e-05    -3.49537e-05  -0.000410603  |	0             |	0             1.8           0:13:22
9             0.0274658     |	0.00141204    0.000285286   -5.51702e-05  |	2.2956e-05    -3.90725e-05  -0.000402823  |	0             |	0             2             0:13:06
10            0.0305176     |	0.00141224    0.000280257   -6.09291e-05  |	2.36378e-05   -4.3151e-05   -0.000395723  |	0             |	0             2.2           0:12:53
11            0.0335693     |	0.00141244    0.000275862   -6.66314e-05  |	2.40607e-05   -4.71895e-05  -0.000389517  |	0             |	0             2.4           0:12:42
12            0.0366211     |	0.00141264    0.000271918   -7.22828e-05  |	2.42394e-05   -5.11919e-05  -0.000383947  |	0             |	0             2.6           0:12:33
13            0.0396729     |	0.00141283    0.000268471   -7.7881e-05   |	2.4206e-05    -5.51567e-05  -0.000379081  |	0             |	0             2.8           0:12:25
14            0.0427246     |	0.00141303    0.000265423   -8.34306e-05  |	2.39769e-05   -5.90869e-05  -0.000374777  |	0             |	0             3             0:12:18
15            0.0457764     |	0.00141323    0.000262776   -8.89267e-05  |	2.35809e-05   -6.29794e-05  -0.00037104   |	0             |	0             3.2           0:12:11
16            0.0488281     |	0.00141343    0.00026047    -9.43731e-05  |	2.30347e-05   -6.68366e-05  -0.000367783  |	0             |	0             3.4           0:12:05
17            0.0518799     |	0.00141362    0.000258491   -9.97678e-05  |	2.2363e-05    -7.06572e-05  -0.000364988  |	0             |	0             3.6           0:12:00
18            0.0549316     |	0.00141382    0.000256797   -0.000105106  |	2.15888e-05   -7.44377e-05  -0.000362596  |	0             |	0             3.8           0:11:55
19            0.0579834     |	0.00141401    0.000255368   -0.000110395  |	2.07262e-05   -7.81834e-05  -0.000360579  |	0             |	0             4             0:11:50
20            0.0610352     |	0.0014142     0.000254175   -0.000115631  |	1.98014e-05   -8.18919e-05  -0.000358894  |	0.1           |	0             4.2           0:11:46
21            0.0640869     |	0.00141438    0.000253196   -0.000120817  |	1.88319e-05   -8.55645e-05  -0.000357512  |	0.1           |	0             4.4           0:11:42
22            0.0671387     |	0.00141456    0.000252408   -0.000125943  |	1.78426e-05   -8.91947e-05  -0.0003564    |	0.1           |	0             4.6           0:11:38
23            0.0701904     |	0.00141474    0.000251792   -0.000131012  |	1.68475e-05   -9.2785e-05   -0.00035553   |	0.1           |	0             4.8           0:11:43
24            0.0732422     |	0.00141492    0.000251329   -0.00013603   |	1.58628e-05   -9.63386e-05  -0.000354875  |	0.1           |	0             5             0:11:43
25            0.0762939     |	0.00141509    0.000251001   -0.000140996  |	1.49113e-05   -9.98559e-05  -0.000354412  |	0.1           |	0             5.2           0:11:40
