Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Now convinced that my original conversion from spherical polar to Cartesian vector components was correct. Remove the function call of void calculate_Cartesian_vector_components() and just write the expressions again since they are only simple.

Time start:	Mon Jun 10 14:04:39 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240610_b_rewrite_outer_BCs_4_profiles.csv
CSV file saved:	CSV/20240610_b_rewrite_outer_BCs_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240610_b_rewrite_outer_BCs_7_BCs.csv
Log file saved:	Logs/20240610_b_rewrite_outer_BCs.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.0014106     -4.94279e-07  3.50073e-05   |	4.66899e-06   2.47928e-05   6.97921e-07   |	0             |	0             0.4           0:24:24
2             0.00610352    |	0.00141059    1.32755e-06   6.34733e-05   |	1.17231e-05   4.49528e-05   -1.8745e-06   |	0             |	0             0.6           0:19:06
3             0.00915527    |	0.00141066    3.03748e-06   6.75573e-05   |	1.97438e-05   4.78452e-05   -4.28892e-06  |	0             |	0             0.8           0:19:34
4             0.012207      |	0.00141067    3.25503e-06   6.53229e-05   |	2.69659e-05   4.62628e-05   -4.59609e-06  |	0             |	0             1             0:18:13
5             0.0152588     |	0.00141068    2.66601e-06   6.51143e-05   |	3.41669e-05   4.61151e-05   -3.7644e-06   |	0             |	0             1.2           0:17:03
6             0.0183105     |	0.00141069    2.25992e-06   6.52586e-05   |	4.1539e-05    4.62173e-05   -3.191e-06    |	0             |	0             1.4           0:16:21
7             0.0213623     |	0.00141074    2.01517e-06   6.53337e-05   |	4.88245e-05   4.62704e-05   -2.84541e-06  |	0             |	0             1.6           0:15:46
8             0.0244141     |	0.00141075    1.76996e-06   6.52758e-05   |	5.59969e-05   4.62294e-05   -2.49917e-06  |	0             |	0             1.8           0:15:27
9             0.0274658     |	0.00141076    1.4005e-06    6.52554e-05   |	6.30629e-05   4.6215e-05    -1.9775e-06   |	0             |	0             2             0:15:08
10            0.0305176     |	0.00141078    1.06224e-06   6.53427e-05   |	7.00877e-05   4.62768e-05   -1.49988e-06  |	0             |	0             2.2           0:14:48
11            0.0335693     |	0.00141082    8.24414e-07   6.5396e-05    |	7.70403e-05   4.63145e-05   -1.16407e-06  |	0             |	0             2.4           0:14:31
