Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Code seems stable so run for more timesteps.

Time start:	Mon Jun 10 15:32:23 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	6                   0.000200138457118891	steps: 2000
Est. CSV size (MB)     :	40.484619140625
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240610_d_longer_4_profiles.csv
CSV file saved:	CSV/20240610_d_longer_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240610_d_longer_7_BCs.csv
Log file saved:	Logs/20240610_d_longer.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	0.0014106     -4.94442e-06  0.000248009   |	4.66899e-06   0.000248009   4.94442e-06   |	0             |	0             0.1           1:37:19
2             0.00610352    |	0.00141059    0.000167347   0.000454272   |	2.58472e-05   0.000454272   -0.000167347  |	0             |	0             0.2           1:11:30
3             0.00915527    |	0.00141014    0.000322685   0.000366986   |	4.97114e-05   0.000366986   -0.000322685  |	0             |	0             0.2           1:03:20
4             0.012207      |	0.00141023    0.000270285   0.000222567   |	6.1194e-05    0.000222567   -0.000270285  |	0             |	0             0.3           0:58:56
5             0.0152588     |	0.00141036    0.000147603   0.000247878   |	7.07391e-05   0.000247878   -0.000147603  |	0             |	0             0.3           0:56:31
6             0.0183105     |	0.00141023    0.000146306   0.000346111   |	8.7867e-05    0.000346111   -0.000146306  |	0             |	0             0.4           0:56:11
7             0.0213623     |	0.00141001    0.000215382   0.000359213   |	0.000106877   0.000359213   -0.000215382  |	0             |	0             0.4           0:56:10
8             0.0244141     |	0.00140999    0.000228691   0.000306163   |	0.000121331   0.000306163   -0.000228691  |	0             |	0             0.5           0:55:41
9             0.0274658     |	0.00141002    0.000184245   0.000288825   |	0.000133426   0.000288825   -0.000184245  |	0             |	0             0.5           0:55:03
10            0.0305176     |	0.00140994    0.000160403   0.000321171   |	0.000146933   0.000321171   -0.000160403  |	0             |	0             0.6           0:54:58
11            0.0335693     |	0.0014098     0.000176826   0.000343589   |	0.000161652   0.000343589   -0.000176826  |	0             |	0             0.6           0:54:27
12            0.0366211     |	0.00140974    0.000191539   0.000333395   |	0.000175119   0.000333395   -0.000191539  |	0             |	0             0.7           0:53:44
13            0.0396729     |	0.00140973    0.000180712   0.000320033   |	0.000187097   0.000320033   -0.000180712  |	0             |	0             0.7           0:53:09
14            0.0427246     |	0.00140965    0.000164533   0.000326677   |	0.000198852   0.000326677   -0.000164533  |	0             |	0             0.8           0:53:59
15            0.0457764     |	0.00140955    0.000162903   0.000339754   |	0.000210767   0.000339754   -0.000162903  |	0             |	0             0.8           0:54:06
16            0.0488281     |	0.00140948    0.00016851    0.000342889   |	0.000222188   0.000342889   -0.00016851   |	0             |	0             0.9           0:54:01
17            0.0518799     |	0.00140943    0.000167974   0.000338337   |	0.000232788   0.000338337   -0.000167974  |	0             |	0             0.9           0:53:34
18            0.0549316     |	0.00140935    0.000160155   0.000337946   |	0.000242773   0.000337946   -0.000160155  |	0             |	0             1             0:54:03
19            0.0579834     |	0.00140925    0.00015509    0.000343731   |	0.000252437   0.000343731   -0.00015509   |	0             |	0             1             0:53:57
20            0.0610352     |	0.00140919    0.000155116   0.000348459   |	0.0002617     0.000348459   -0.000155116  |	0             |	0             1.1           0:53:30
21            0.0640869     |	0.00140914    0.000155766   0.000348943   |	0.000270349   0.000348943   -0.000155766  |	0             |	0             1.1           0:53:06
22            0.0671387     |	0.00140905    0.000152861   0.000348098   |	0.00027839    0.000348098   -0.000152861  |	0             |	0             1.2           0:52:49
23            0.0701904     |	0.00140896    0.000148818   0.000350121   |	0.000285931   0.000350121   -0.000148818  |	0             |	0             1.2           0:52:43
24            0.0732422     |	0.00140888    0.000146787   0.00035335    |	0.000293006   0.00035335    -0.000146787  |	0             |	0             1.3           0:52:36
25            0.0762939     |	0.00140882    0.000146372   0.000355456   |	0.000299507   0.000355456   -0.000146372  |	0             |	0             1.3           0:52:20
26            0.0793457     |	0.00140875    0.00014561    0.000355882   |	0.000305468   0.000355882   -0.00014561   |	0             |	0             1.4           0:52:02
27            0.0823975     |	0.00140866    0.000143549   0.000356298   |	0.000310883   0.000356298   -0.000143549  |	0             |	0             1.4           0:51:52
28            0.0854492     |	0.00140858    0.000141313   0.000357812   |	0.000315774   0.000357812   -0.000141313  |	0             |	0             1.5           0:51:53
29            0.088501      |	0.00140851    0.000140142   0.000359829   |	0.000320137   0.000359829   -0.000140142  |	0             |	0             1.5           0:51:57
30            0.0915527     |	0.00140844    0.000139883   0.000361047   |	0.00032395    0.000361047   -0.000139883  |	0             |	0             1.6           0:51:51
31            0.0946045     |	0.00140835    0.000139381   0.000361248   |	0.000327233   0.000361248   -0.000139381  |	0             |	0             1.6           0:51:38
32            0.0976562     |	0.00140825    0.000137902   0.000361441   |	0.000329993   0.000361441   -0.000137902  |	0             |	0             1.7           0:51:26
33            0.100708      |	0.00140818    0.00013645    0.000362737   |	0.000332241   0.000362737   -0.00013645   |	0             |	0             1.7           0:51:13
34            0.10376       |	0.00140811    0.000136283   0.000364169   |	0.000333969   0.000364169   -0.000136283  |	0             |	0             1.8           0:51:02
35            0.106812      |	0.00140802    0.000136647   0.000364441   |	0.000335184   0.000364441   -0.000136647  |	0             |	0             1.8           0:50:49
36            0.109863      |	0.00140793    0.000136119   0.000364047   |	0.000335903   0.000364047   -0.000136119  |	0             |	0             1.9           0:50:46
37            0.112915      |	0.00140784    0.000135046   0.000364499   |	0.000336143   0.000364499   -0.000135046  |	0             |	0             1.9           0:50:42
38            0.115967      |	0.00140776    0.000134876   0.000365584   |	0.000335893   0.000365584   -0.000134876  |	0             |	0             2             0:50:32
39            0.119019      |	0.00140767    0.000135618   0.000365922   |	0.000335176   0.000365922   -0.000135618  |	0             |	0             2             0:50:28
40            0.12207       |	0.00140758    0.00013591    0.000365276   |	0.00033399    0.000365276   -0.00013591   |	0             |	0             2.1           0:50:22
41            0.125122      |	0.00140749    0.000135317   0.000365076   |	0.000332381   0.000365076   -0.000135317  |	0             |	0             2.1           0:50:11
42            0.128174      |	0.00140739    0.000135318   0.000365795   |	0.000330357   0.000365795   -0.000135318  |	0             |	0             2.2           0:50:01
43            0.131226      |	0.0014073     0.000136452   0.000366039   |	0.00032789    0.000366039   -0.000136452  |	0             |	0             2.2           0:49:59
44            0.134277      |	0.00140721    0.000137318   0.000365052   |	0.00032501    0.000365052   -0.000137318  |	0             |	0             2.3           0:49:51
45            0.137329      |	0.0014071     0.000136988   0.000364412   |	0.00032179    0.000364412   -0.000136988  |	0             |	0             2.3           0:49:43
46            0.140381      |	0.001407      0.000137244   0.000364911   |	0.000318189   0.000364911   -0.000137244  |	0             |	0             2.4           0:49:35
47            0.143433      |	0.00140692    0.000138682   0.000365034   |	0.000314262   0.000365034   -0.000138682  |	0             |	0             2.4           0:49:27
48            0.146484      |	0.00140681    0.00014006    0.000363859   |	0.00030997    0.000363859   -0.00014006   |	0             |	0             2.5           0:49:27
49            0.149536      |	0.0014067     0.000140198   0.000362726   |	0.000305442   0.000362726   -0.000140198  |	0             |	0             2.5           0:49:19
50            0.152588      |	0.00140659    0.000140448   0.000362935   |	0.000300629   0.000362935   -0.000140448  |	0             |	0             2.6           0:49:14
51            0.15564       |	0.00140649    0.000142032   0.000362896   |	0.000295518   0.000362896   -0.000142032  |	0.1           |	0             2.6           0:49:06
52            0.158691      |	0.00140639    0.000143541   0.000361786   |	0.000290151   0.000361786   -0.000143541  |	0.1           |	0             2.7           0:48:59
53            0.161743      |	0.00140628    0.000144113   0.000360593   |	0.000284611   0.000360593   -0.000144113  |	0.1           |	0             2.7           0:49:05
54            0.164795      |	0.00140617    0.000144802   0.000360265   |	0.000278867   0.000360265   -0.000144802  |	0.1           |	0             2.8           0:49:10
55            0.167847      |	0.00140605    0.000146232   0.000359964   |	0.000272945   0.000359964   -0.000146232  |	0.2           |	0             2.8           0:49:49
56            0.170898      |	0.00140596    0.000147848   0.000359057   |	0.000266881   0.000359057   -0.000147848  |	0.2           |	0             2.9           0:50:06
57            0.17395       |	0.00140586    0.000148982   0.000358024   |	0.000260783   0.000358024   -0.000148982  |	0.2           |	0             2.9           0:50:23
58            0.177002      |	0.00140574    0.000150216   0.000357279   |	0.000254593   0.000357279   -0.000150216  |	0.2           |	0             3             0:50:22
59            0.180054      |	0.00140562    0.000151474   0.000356322   |	0.000248359   0.000356322   -0.000151474  |	0.2           |	0             3             0:50:15
60            0.183105      |	0.00140554    0.000152484   0.000355549   |	0.000242153   0.000355549   -0.000152484  |	0.2           |	0             3.1           0:50:07
61            0.186157      |	0.00140542    0.000153699   0.000354966   |	0.000235964   0.000354966   -0.000153699  |	0.2           |	0             3.1           0:49:59
62            0.189209      |	0.00140531    0.000155331   0.000354242   |	0.000229812   0.000354242   -0.000155331  |	0.2           |	0             3.2           0:49:51
63            0.192261      |	0.00140519    0.00015663    0.00035285    |	0.00022374    0.00035285    -0.00015663   |	0.2           |	0             3.2           0:49:43
64            0.195312      |	0.00140508    0.000157133   0.000351793   |	0.000217755   0.000351793   -0.000157133  |	0.2           |	0             3.3           0:49:36
65            0.198364      |	0.00140497    0.000157745   0.000351674   |	0.000211909   0.000351674   -0.000157745  |	0.2           |	0             3.3           0:49:28
66            0.201416      |	0.00140485    0.000159638   0.000351498   |	0.000206171   0.000351498   -0.000159638  |	0.2           |	0             3.4           0:49:21
67            0.204468      |	0.00140474    0.000161408   0.000349858   |	0.000200566   0.000349858   -0.000161408  |	0.2           |	0             3.4           0:49:14
68            0.20752       |	0.00140461    0.000161417   0.000348201   |	0.00019516    0.000348201   -0.000161417  |	0.2           |	0             3.5           0:49:07
69            0.210571      |	0.00140451    0.00016122    0.00034852    |	0.000189952   0.00034852    -0.00016122   |	0.2           |	0             3.5           0:49:02
70            0.213623      |	0.00140438    0.000163071   0.000349085   |	0.000184891   0.000349085   -0.000163071  |	0.2           |	0             3.6           0:48:56
71            0.216675      |	0.00140426    0.00016534    0.000347548   |	0.00018004    0.000347548   -0.00016534   |	0.2           |	0             3.6           0:49:05
72            0.219727      |	0.00140415    0.00016532    0.000345383   |	0.000175544   0.000345383   -0.00016532   |	0.2           |	0             3.7           0:49:01
73            0.222778      |	0.00140403    0.000164117   0.000345468   |	0.000171299   0.000345468   -0.000164117  |	0.2           |	0             3.7           0:48:57
74            0.22583       |	0.00140391    0.0001654     0.000347044   |	0.000167237   0.000347044   -0.0001654    |	0.2           |	0             3.8           0:48:51
75            0.228882      |	0.0014038     0.000168197   0.00034605    |	0.000163477   0.00034605    -0.000168197  |	0.3           |	0             3.8           0:48:46
76            0.231934      |	0.00140368    0.000168654   0.000343355   |	0.000160146   0.000343355   -0.000168654  |	0.3           |	0             3.9           0:48:44
77            0.234985      |	0.00140359    0.000166476   0.000342965   |	0.000157258   0.000342965   -0.000166476  |	0.4           |	0             3.9           0:48:44
78            0.238037      |	0.00140345    0.000166531   0.000345204   |	0.000154601   0.000345204   -0.000166531  |	0.4           |	0             4             0:48:44
79            0.241089      |	0.00140334    0.000169025   0.000345163   |	0.000152124   0.000345163   -0.000169025  |	0.4           |	0             4             0:48:39
80            0.244141      |	0.00140323    0.000169521   0.000342742   |	0.000150125   0.000342742   -0.000169521  |	0.4           |	0             4.1           0:48:34
81            0.247192      |	0.00140311    0.000167151   0.000342137   |	0.00014836    0.000342137   -0.000167151  |	0.4           |	0             4.1           0:48:35
82            0.250244      |	0.00140301    0.000166533   0.000344612   |	0.000146858   0.000344612   -0.000166533  |	0.5           |	0             4.2           0:48:33
83            0.253296      |	0.00140288    0.00016922    0.000345443   |	0.000145566   0.000345443   -0.00016922   |	0.5           |	0             4.2           0:48:31
84            0.256348      |	0.00140274    0.000170177   0.00034303    |	0.000144838   0.00034303    -0.000170177  |	0.5           |	0             4.3           0:48:25
85            0.259399      |	0.00140264    0.000167819   0.000341897   |	0.00014454    0.000341897   -0.000167819  |	0.5           |	0             4.3           0:48:20
86            0.262451      |	0.00140258    0.000166304   0.000344215   |	0.000144569   0.000344215   -0.000166304  |	0.5           |	0             4.4           0:48:15
87            0.265503      |	0.00140245    0.000168189   0.000345846   |	0.000144986   0.000345846   -0.000168189  |	0.5           |	0             4.4           0:48:10
88            0.268555      |	0.00140227    0.000169389   0.000344063   |	0.00014598    0.000344063   -0.000169389  |	0.5           |	0             4.5           0:48:05
89            0.271606      |	0.00140218    0.000166905   0.000342712   |	0.000147513   0.000342712   -0.000166905  |	0.5           |	0             4.5           0:48:02
90            0.274658      |	0.00140212    0.000164584   0.00034482    |	0.00014943    0.00034482    -0.000164584  |	0.6           |	0             4.6           0:48:02
91            0.27771       |	0.00140203    0.000164865   0.000346861   |	0.000151638   0.000346861   -0.000164865  |	0.6           |	0             4.6           0:48:00
92            0.280762      |	0.00140185    0.000165968   0.00034659    |	0.000154376   0.00034659    -0.000165968  |	0.6           |	0             4.7           0:47:56
93            0.283813      |	0.00140173    0.000164281   0.000345249   |	0.00015768    0.000345249   -0.000164281  |	0.7           |	0             4.7           0:47:51
94            0.286865      |	0.00140166    0.000161858   0.000346865   |	0.000161607   0.000346865   -0.000161858  |	0.7           |	0             4.8           0:47:48
95            0.289917      |	0.00140161    0.000161518   0.000348657   |	0.000165859   0.000348657   -0.000161518  |	0.7           |	0             4.8           0:47:53
96            0.292969      |	0.00140147    0.000161207   0.000348596   |	0.000170802   0.000348596   -0.000161207  |	0.7           |	0             4.9           0:48:07
97            0.296021      |	0.00140133    0.000158698   0.000348394   |	0.000176319   0.000348394   -0.000158698  |	0.7           |	0             4.9           0:48:08
98            0.299072      |	0.00140121    0.000155853   0.000350308   |	0.000182185   0.000350308   -0.000155853  |	0.7           |	0             5             0:48:04
99            0.302124      |	0.00140114    0.000154791   0.00035219    |	0.000188516   0.00035219    -0.000154791  |	0.7           |	0             5             0:48:01
100           0.305176      |	0.00140104    0.000153276   0.000352701   |	0.000195236   0.000352701   -0.000153276  |	0.7           |	0             5.1           0:48:08
101           0.308228      |	0.00140087    0.00015037    0.000353465   |	0.000202314   0.000353465   -0.00015037   |	0.8           |	0             5.1           0:48:16
102           0.311279      |	0.00140075    0.000148066   0.000355771   |	0.000209618   0.000355771   -0.000148066  |	0.9           |	0             5.2           0:48:16
103           0.314331      |	0.00140065    0.000146673   0.000357338   |	0.000217228   0.000357338   -0.000146673  |	0.9           |	0             5.2           0:48:14
104           0.317383      |	0.00140057    0.000144323   0.000357979   |	0.000225148   0.000357979   -0.000144323  |	0.9           |	0             5.3           0:48:16
105           0.320435      |	0.00140041    0.000141137   0.000359634   |	0.000233209   0.000359634   -0.000141137  |	1             |	0             5.3           0:48:17
106           0.323486      |	0.00140029    0.000138679   0.00036204    |	0.000241341   0.00036204    -0.000138679  |	1             |	0             5.4           0:48:18
107           0.326538      |	0.00140016    0.000137279   0.00036395    |	0.000249722   0.00036395    -0.000137279  |	1.1           |	0             5.4           0:48:14
108           0.32959       |	0.00140006    0.000135033   0.000364813   |	0.000258151   0.000364813   -0.000135033  |	1.1           |	0             5.5           0:48:10
109           0.332642      |	0.00139995    0.000132284   0.000366501   |	0.000266736   0.000366501   -0.000132284  |	1.1           |	0             5.5           0:48:05
110           0.335693      |	0.00139986    0.000130305   0.000368884   |	0.000275523   0.000368884   -0.000130305  |	1.1           |	0             5.6           0:48:00
111           0.338745      |	0.00139976    0.00012925    0.000370461   |	0.000284557   0.000370461   -0.00012925   |	1             |	0             5.6           0:47:56
112           0.341797      |	0.00139953    0.000127635   0.000371221   |	0.00029376    0.000371221   -0.000127635  |	1             |	0             5.7           0:47:51
113           0.344849      |	0.00139948    0.000124377   0.000372221   |	0.000303278   0.000372221   -0.000124377  |	0.9           |	0             5.7           0:47:46
114           0.3479        |	0.00139943    0.000121432   0.00037518    |	0.000313313   0.00037518    -0.000121432  |	0.8           |	0             5.8           0:47:42
115           0.350952      |	0.00139936    0.000120317   0.000377296   |	0.000323694   0.000377296   -0.000120317  |	0.7           |	0             5.8           0:47:43
116           0.354004      |	0.00139926    0.000118267   0.000377345   |	0.000334553   0.000377345   -0.000118267  |	0.6           |	0             5.9           0:47:41
117           0.357056      |	0.00139916    0.00011326    0.000378375   |	0.000345735   0.000378375   -0.00011326   |	0.5           |	0             5.9           0:47:42
118           0.360107      |	0.00139914    0.000109249   0.000382151   |	0.000357198   0.000382151   -0.000109249  |	0.5           |	0             6             0:47:42
119           0.363159      |	0.00139905    0.000107801   0.000385567   |	0.000369013   0.000385567   -0.000107801  |	0.4           |	0             6             0:47:39
120           0.366211      |	0.00139896    0.000105785   0.000385834   |	0.000381137   0.000385834   -0.000105785  |	0.3           |	0             6.1           0:47:35
121           0.369263      |	0.00139887    0.000100728   0.000386771   |	0.000393316   0.000386771   -0.000100728  |	0.3           |	0             6.1           0:47:31
122           0.372314      |	0.0013988     9.56503e-05   0.000390493   |	0.000405703   0.000390493   -9.56503e-05  |	0.3           |	0             6.2           0:47:27
123           0.375366      |	0.00139877    9.36038e-05   0.000394676   |	0.000418126   0.000394676   -9.36038e-05  |	0.2           |	0             6.2           0:47:23
124           0.378418      |	0.00139864    9.19596e-05   0.000396053   |	0.000430774   0.000396053   -9.19596e-05  |	0.2           |	0             6.3           0:47:18
125           0.38147       |	0.00139857    8.79192e-05   0.000396493   |	0.000443533   0.000396493   -8.79192e-05  |	0.2           |	0             6.3           0:47:14
126           0.384521      |	0.00139849    8.25481e-05   0.000399606   |	0.000456202   0.000399606   -8.25481e-05  |	0.2           |	0             6.4           0:47:10
127           0.387573      |	0.00139845    7.98667e-05   0.000404083   |	0.000468986   0.000404083   -7.98667e-05  |	0.1           |	0             6.4           0:47:06
128           0.390625      |	0.00139836    7.8601e-05    0.000406082   |	0.0004819     0.000406082   -7.8601e-05   |	0.1           |	0             6.5           0:47:02
129           0.393677      |	0.00139825    7.49655e-05   0.000406901   |	0.000494745   0.000406901   -7.49655e-05  |	0.1           |	0             6.5           0:46:58
130           0.396729      |	0.00139823    7.02998e-05   0.000409217   |	0.000507705   0.000409217   -7.02998e-05  |	0.1           |	0             6.6           0:46:54
131           0.39978       |	0.00139814    6.7072e-05    0.000413254   |	0.000520862   0.000413254   -6.7072e-05   |	0.1           |	0             6.6           0:46:50
132           0.402832      |	0.00139809    6.50353e-05   0.000415871   |	0.00053403    0.000415871   -6.50353e-05  |	0.1           |	0             6.7           0:46:46
133           0.405884      |	0.00139797    6.22806e-05   0.000417157   |	0.000547348   0.000417157   -6.22806e-05  |	0.1           |	0             6.7           0:46:42
134           0.408936      |	0.00139794    5.7574e-05    0.000418913   |	0.000560722   0.000418913   -5.7574e-05   |	0             |	0             6.8           0:46:42
135           0.411987      |	0.00139786    5.34776e-05   0.000422914   |	0.000574163   0.000422914   -5.34776e-05  |	0             |	0             6.8           0:46:43
136           0.415039      |	0.00139778    5.15629e-05   0.000426329   |	0.000587793   0.000426329   -5.15629e-05  |	0             |	0             6.9           0:46:43
137           0.418091      |	0.00139775    4.87188e-05   0.000427216   |	0.000601506   0.000427216   -4.87188e-05  |	0             |	0             6.9           0:46:41
138           0.421143      |	0.00139764    4.38189e-05   0.000429528   |	0.000615289   0.000429528   -4.38189e-05  |	0             |	0             7             0:46:39
139           0.424194      |	0.00139756    3.99967e-05   0.000433408   |	0.000629248   0.000433408   -3.99967e-05  |	0             |	0             7             0:46:41
140           0.427246      |	0.00139752    3.76909e-05   0.000436115   |	0.000643354   0.000436115   -3.76909e-05  |	0             |	0             7.1           0:46:42
141           0.430298      |	0.0013974     3.41717e-05   0.000438034   |	0.000657571   0.000438034   -3.41717e-05  |	0             |	0             7.1           0:46:39
142           0.43335       |	0.00139736    2.9885e-05    0.000440434   |	0.000671851   0.000440434   -2.9885e-05   |	0             |	0             7.2           0:46:35
143           0.436401      |	0.00139727    2.59729e-05   0.000443852   |	0.000686305   0.000443852   -2.59729e-05  |	0             |	0             7.2           0:46:32
144           0.439453      |	0.00139721    2.28563e-05   0.000446885   |	0.000700878   0.000446885   -2.28563e-05  |	0             |	0             7.3           0:46:28
145           0.442505      |	0.00139709    1.94472e-05   0.000449315   |	0.000715589   0.000449315   -1.94472e-05  |	0             |	0             7.3           0:46:24
146           0.445557      |	0.00139701    1.57049e-05   0.000451658   |	0.000730397   0.000451658   -1.57049e-05  |	0             |	0             7.4           0:46:21
147           0.448608      |	0.00139695    1.12724e-05   0.000454503   |	0.000745285   0.000454503   -1.12724e-05  |	0             |	0             7.4           0:46:17
148           0.45166       |	0.00139687    7.53772e-06   0.000458133   |	0.000760331   0.000458133   -7.53772e-06  |	0             |	0             7.5           0:46:15
149           0.454712      |	0.00139679    4.60358e-06   0.000461119   |	0.000775528   0.000461119   -4.60358e-06  |	0             |	0             7.5           0:46:12
150           0.457764      |	0.00139665    1.09211e-06   0.000463142   |	0.00079079    0.000463142   -1.09211e-06  |	0             |	0             7.6           0:46:11
