Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Same as 20240610_e but with the 1/r and 1/rsintheta not included, to enable a direct comparison.

Time start:	Tue Jun 11 10:06:33 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	10.1211547851562
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240611_a_without_rsintheta_4_profiles.csv
CSV file saved:	CSV/20240611_a_without_rsintheta_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240611_a_without_rsintheta_7_BCs.csv
Log file saved:	Logs/20240611_a_without_rsintheta.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.0014106     -4.94442e-06  0.000248009   |	4.66899e-06   0.000248009   4.94442e-06   |	0             |	0             0.4           0:23:46
2             0.00610352    |	0.00141059    0.000167347   0.000454272   |	2.58472e-05   0.000454272   -0.000167347  |	0             |	0             0.6           0:22:29
3             0.00915527    |	0.00141014    0.000322685   0.000366986   |	4.97114e-05   0.000366986   -0.000322685  |	0             |	0             0.8           0:19:51
4             0.012207      |	0.00141023    0.000270285   0.000222567   |	6.1194e-05    0.000222567   -0.000270285  |	0             |	0             1             0:19:44
5             0.0152588     |	0.00141036    0.000147603   0.000247878   |	7.07391e-05   0.000247878   -0.000147603  |	0             |	0             1.2           0:20:18
6             0.0183105     |	0.00141023    0.000146306   0.000346111   |	8.7867e-05    0.000346111   -0.000146306  |	0             |	0             1.4           0:20:45
7             0.0213623     |	0.00141001    0.000215382   0.000359213   |	0.000106877   0.000359213   -0.000215382  |	0             |	0             1.6           0:20:45
8             0.0244141     |	0.00140999    0.000228691   0.000306163   |	0.000121331   0.000306163   -0.000228691  |	0             |	0             1.8           0:20:32
9             0.0274658     |	0.00141002    0.000184245   0.000288825   |	0.000133426   0.000288825   -0.000184245  |	0             |	0             2             0:20:27
10            0.0305176     |	0.00140994    0.000160403   0.000321171   |	0.000146933   0.000321171   -0.000160403  |	0             |	0             2.2           0:20:11
11            0.0335693     |	0.0014098     0.000176826   0.000343589   |	0.000161652   0.000343589   -0.000176826  |	0             |	0             2.4           0:19:43
12            0.0366211     |	0.00140974    0.000191539   0.000333395   |	0.000175119   0.000333395   -0.000191539  |	0             |	0             2.6           0:19:08
