Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Same as 20240610_e and 20240611_a but with Petri's boundary conditions, to enable a direct comparison.

Time start:	Tue Jun 11 12:54:05 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	10.1211547851562
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240611_b_Petri_BCs_4_profiles.csv
CSV file saved:	CSV/20240611_b_Petri_BCs_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240611_b_Petri_BCs_7_BCs.csv
Log file saved:	Logs/20240611_b_Petri_BCs.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.0014106     0.000352897   -4.65434e-06  |	4.66899e-06   -4.65434e-06  -0.000352897  |	0             |	0             0.4           0:37:48
2             0.00610352    |	0.00141092    0.000352037   -9.36707e-06  |	8.71827e-06   -9.36707e-06  -0.000352037  |	0             |	0             0.6           0:27:24
3             0.00915527    |	0.00141104    0.000351174   -1.41159e-05  |	1.23939e-05   -1.41159e-05  -0.000351174  |	0             |	0             0.8           0:24:03
4             0.012207      |	0.00141125    0.00035031    -1.89009e-05  |	1.5685e-05    -1.89009e-05  -0.00035031   |	0             |	0             1             0:22:22
5             0.0152588     |	0.00141147    0.000349441   -2.37186e-05  |	1.86234e-05   -2.37186e-05  -0.000349441  |	0             |	0             1.2           0:21:44
6             0.0183105     |	0.00141168    0.000348567   -2.85673e-05  |	2.12197e-05   -2.85673e-05  -0.000348567  |	0             |	0             1.4           0:21:17
7             0.0213623     |	0.00141189    0.000347686   -3.34442e-05  |	2.34912e-05   -3.34442e-05  -0.000347686  |	0             |	0             1.6           0:20:59
8             0.0244141     |	0.0014121     0.000346796   -3.83465e-05  |	2.54551e-05   -3.83465e-05  -0.000346796  |	0             |	0             1.8           0:20:44
9             0.0274658     |	0.00141231    0.000345896   -4.327e-05    |	2.71295e-05   -4.327e-05    -0.000345896  |	0             |	0             2             0:20:33
10            0.0305176     |	0.00141252    0.000344985   -4.82119e-05  |	2.85317e-05   -4.82119e-05  -0.000344985  |	0             |	0             2.2           0:20:21
11            0.0335693     |	0.00141272    0.00034406    -5.31681e-05  |	2.96806e-05   -5.31681e-05  -0.00034406   |	0             |	0             2.4           0:20:12
12            0.0366211     |	0.00141293    0.000343121   -5.81322e-05  |	3.05957e-05   -5.81322e-05  -0.000343121  |	0             |	0             2.6           0:20:05
13            0.0396729     |	0.00141313    0.000342166   -6.31013e-05  |	3.12949e-05   -6.31013e-05  -0.000342166  |	0             |	0             2.8           0:19:57
14            0.0427246     |	0.00141333    0.000341194   -6.80668e-05  |	3.17997e-05   -6.80668e-05  -0.000341194  |	0             |	0             3             0:19:50
15            0.0457764     |	0.00141353    0.000340204   -7.30262e-05  |	3.21274e-05   -7.30262e-05  -0.000340204  |	0             |	0             3.2           0:19:44
16            0.0488281     |	0.00141373    0.000339195   -7.79732e-05  |	3.22992e-05   -7.79732e-05  -0.000339195  |	0             |	0             3.4           0:19:39
17            0.0518799     |	0.00141392    0.000338167   -8.2898e-05   |	3.23371e-05   -8.2898e-05   -0.000338167  |	0             |	0             3.6           0:19:45
18            0.0549316     |	0.00141412    0.000337118   -8.78042e-05  |	3.22554e-05   -8.78042e-05  -0.000337118  |	0             |	0             3.8           0:19:57
19            0.0579834     |	0.00141431    0.000336049   -9.26758e-05  |	3.20825e-05   -9.26758e-05  -0.000336049  |	0.1           |	0             4             0:20:45
20            0.0610352     |	0.00141449    0.000334959   -9.75131e-05  |	3.18326e-05   -9.75131e-05  -0.000334959  |	0.1           |	0             4.2           0:21:10
21            0.0640869     |	0.00141467    0.000333849   -0.000102317  |	3.15241e-05   -0.000102317  -0.000333849  |	0.1           |	0             4.4           0:21:36
22            0.0671387     |	0.00141485    0.000332718   -0.000107078  |	3.11822e-05   -0.000107078  -0.000332718  |	0.1           |	0             4.6           0:21:51
23            0.0701904     |	0.00141503    0.000331567   -0.000111786  |	3.08275e-05   -0.000111786  -0.000331567  |	0.1           |	0             4.8           0:22:04
