Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Use Petri boundary conditions, Booles rule for integration, and change the radial derivatives. Now we have an order-h for the endpoints and then increasing-order symmetric methods until reaching order 6. That is, we only use purely forward/backward at the endpoints. Note that I have an order-8 ready to go but wasn't using it before, at least not for a while.

Time start:	Wed Jun 12 13:02:06 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	6                   0.000200138457118891	steps: 2000
Est. CSV size (MB)     :	202.423095703125
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240612_a_symmetric_radial_derivatives_near_endpoints_4_profiles.csv
CSV file saved:	CSV/20240612_a_symmetric_radial_derivatives_near_endpoints_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240612_a_symmetric_radial_derivatives_near_endpoints_7_BCs.csv
Log file saved:	Logs/20240612_a_symmetric_radial_derivatives_near_endpoints.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	0.0014106     0.000352903   -4.65434e-06  |	4.66899e-06   -4.65434e-06  -0.000352903  |	0             |	0             0.1           1:45:26
2             0.00610352    |	0.00141092    0.00035205    -9.31973e-06  |	9.0972e-06    -9.31973e-06  -0.00035205   |	0             |	0             0.2           1:14:55
3             0.00915527    |	0.00141104    0.000351197   -1.39916e-05  |	1.3378e-05    -1.39916e-05  -0.000351197  |	0             |	0             0.2           1:04:58
4             0.012207      |	0.00141125    0.000350345   -1.86703e-05  |	1.75072e-05   -1.86703e-05  -0.000350345  |	0             |	0             0.3           1:00:28
5             0.0152588     |	0.00141147    0.000349492   -2.33546e-05  |	2.14952e-05   -2.33546e-05  -0.000349492  |	0             |	0             0.3           0:57:36
6             0.0183105     |	0.00141168    0.000348639   -2.80445e-05  |	2.53444e-05   -2.80445e-05  -0.000348639  |	0             |	0             0.4           0:55:29
7             0.0213623     |	0.00141189    0.000347785   -3.2739e-05   |	2.90601e-05   -3.2739e-05   -0.000347785  |	0             |	0             0.4           0:54:03
8             0.0244141     |	0.0014121     0.000346929   -3.74375e-05  |	3.26468e-05   -3.74375e-05  -0.000346929  |	0             |	0             0.5           0:52:54
9             0.0274658     |	0.00141231    0.00034607    -4.2139e-05   |	3.61092e-05   -4.2139e-05   -0.00034607   |	0             |	0             0.5           0:52:00
10            0.0305176     |	0.00141252    0.000345209   -4.68428e-05  |	3.94517e-05   -4.68428e-05  -0.000345209  |	0             |	0             0.6           0:51:35
11            0.0335693     |	0.00141272    0.000344345   -5.15472e-05  |	4.26792e-05   -5.15472e-05  -0.000344345  |	0             |	0             0.6           0:51:00
12            0.0366211     |	0.00141293    0.000343476   -5.62514e-05  |	4.57959e-05   -5.62514e-05  -0.000343476  |	0             |	0             0.7           0:50:29
13            0.0396729     |	0.00141313    0.000342603   -6.09542e-05  |	4.88063e-05   -6.09542e-05  -0.000342603  |	0             |	0             0.7           0:50:04
14            0.0427246     |	0.00141333    0.000341725   -6.5653e-05   |	5.17154e-05   -6.5653e-05   -0.000341725  |	0             |	0             0.8           0:49:42
15            0.0457764     |	0.00141353    0.000340842   -7.03469e-05  |	5.45266e-05   -7.03469e-05  -0.000340842  |	0             |	0             0.8           0:49:21
16            0.0488281     |	0.00141373    0.000339952   -7.50328e-05  |	5.72456e-05   -7.50328e-05  -0.000339952  |	0             |	0             0.9           0:49:06
17            0.0518799     |	0.00141392    0.000339056   -7.97117e-05  |	5.98746e-05   -7.97117e-05  -0.000339056  |	0             |	0             0.9           0:48:49
18            0.0549316     |	0.00141411    0.000338153   -8.43785e-05  |	6.24205e-05   -8.43785e-05  -0.000338153  |	0             |	0             1             0:48:33
19            0.0579834     |	0.0014143     0.000337242   -8.90326e-05  |	6.48855e-05   -8.90326e-05  -0.000337242  |	0             |	0             1             0:48:18
20            0.0610352     |	0.00141449    0.000336324   -9.36746e-05  |	6.72737e-05   -9.36746e-05  -0.000336324  |	0.1           |	0             1.1           0:48:27
21            0.0640869     |	0.00141467    0.000335398   -9.83012e-05  |	6.95897e-05   -9.83012e-05  -0.000335398  |	0.1           |	0             1.1           0:48:24
22            0.0671387     |	0.00141485    0.000334464   -0.000102908  |	7.18401e-05   -0.000102908  -0.000334464  |	0.1           |	0             1.2           0:48:12
23            0.0701904     |	0.00141502    0.000333522   -0.000107502  |	7.40214e-05   -0.000107502  -0.000333522  |	0.1           |	0             1.2           0:48:01
24            0.0732422     |	0.00141519    0.000332571   -0.000112077  |	7.61454e-05   -0.000112077  -0.000332571  |	0.1           |	0             1.3           0:47:52
25            0.0762939     |	0.00141536    0.000331611   -0.000116628  |	7.82145e-05   -0.000116628  -0.000331611  |	0.1           |	0             1.3           0:47:43
26            0.0793457     |	0.00141553    0.000330643   -0.00012116   |	8.02288e-05   -0.00012116   -0.000330643  |	0.1           |	0             1.4           0:47:36
27            0.0823975     |	0.00141569    0.000329666   -0.000125675  |	8.21912e-05   -0.000125675  -0.000329666  |	0.1           |	0             1.4           0:47:29
28            0.0854492     |	0.00141584    0.000328681   -0.000130165  |	8.41126e-05   -0.000130165  -0.000328681  |	0.1           |	0             1.5           0:47:21
29            0.088501      |	0.001416      0.000327686   -0.000134639  |	8.59872e-05   -0.000134639  -0.000327686  |	0.1           |	0             1.5           0:47:16
30            0.0915527     |	0.00141615    0.000326683   -0.000139083  |	8.78311e-05   -0.000139083  -0.000326683  |	0.1           |	0             1.6           0:47:17
31            0.0946045     |	0.00141629    0.000325673   -0.000143503  |	8.96365e-05   -0.000143503  -0.000325673  |	0.1           |	0             1.6           0:47:12
32            0.0976562     |	0.00141643    0.000324653   -0.00014791   |	9.14035e-05   -0.00014791   -0.000324653  |	0.1           |	0             1.7           0:47:07
33            0.100708      |	0.00141657    0.000323626   -0.00015229   |	9.31479e-05   -0.00015229   -0.000323626  |	0.1           |	0             1.7           0:47:02
34            0.10376       |	0.00141671    0.000322591   -0.000156648  |	9.48665e-05   -0.000156648  -0.000322591  |	0.1           |	0             1.8           0:46:58
35            0.106812      |	0.00141684    0.000321548   -0.000160983  |	9.6561e-05    -0.000160983  -0.000321548  |	0.1           |	0             1.8           0:46:53
36            0.109863      |	0.00141696    0.000320498   -0.000165301  |	9.82345e-05   -0.000165301  -0.000320498  |	0.1           |	0             1.9           0:46:49
37            0.112915      |	0.00141709    0.000319443   -0.000169584  |	9.98982e-05   -0.000169584  -0.000319443  |	0.1           |	0             1.9           0:46:45
38            0.115967      |	0.00141721    0.000318379   -0.00017386   |	0.000101536   -0.00017386   -0.000318379  |	0.1           |	0             2             0:46:43
39            0.119019      |	0.00141733    0.000317311   -0.000178111  |	0.000103168   -0.000178111  -0.000317311  |	0.1           |	0             2             0:46:39
40            0.12207       |	0.00141744    0.00031624    -0.000182331  |	0.000104797   -0.000182331  -0.00031624   |	0.1           |	0             2.1           0:46:39
41            0.125122      |	0.00141755    0.000315158   -0.000186551  |	0.000106402   -0.000186551  -0.000315158  |	0.1           |	0             2.1           0:46:36
42            0.128174      |	0.00141766    0.000314077   -0.000190732  |	0.000108022   -0.000190732  -0.000314077  |	0.1           |	0             2.2           0:46:32
43            0.131226      |	0.00141777    0.000312989   -0.000194909  |	0.000109624   -0.000194909  -0.000312989  |	0.1           |	0             2.2           0:46:27
44            0.134277      |	0.00141787    0.000311899   -0.000199057  |	0.000111238   -0.000199057  -0.000311899  |	0.1           |	0             2.3           0:46:24
45            0.137329      |	0.00141797    0.000310805   -0.000203198  |	0.00011284    -0.000203198  -0.000310805  |	0.1           |	0             2.3           0:46:21
46            0.140381      |	0.00141807    0.000309711   -0.000207313  |	0.000114459   -0.000207313  -0.000309711  |	0.1           |	0             2.4           0:46:29
47            0.143433      |	0.00141817    0.000308613   -0.000211416  |	0.000116076   -0.000211416  -0.000308613  |	0.1           |	0             2.4           0:46:42
48            0.146484      |	0.00141827    0.000307514   -0.000215509  |	0.000117699   -0.000215509  -0.000307514  |	0.1           |	0             2.5           0:46:39
49            0.149536      |	0.00141836    0.000306415   -0.000219581  |	0.000119334   -0.000219581  -0.000306415  |	0.1           |	0             2.5           0:46:35
50            0.152588      |	0.00141846    0.000305318   -0.000223639  |	0.000120977   -0.000223639  -0.000305318  |	0.1           |	0             2.6           0:46:51
51            0.15564       |	0.00141855    0.000304217   -0.000227695  |	0.00012263    -0.000227695  -0.000304217  |	0.1           |	0             2.6           0:46:45
52            0.158691      |	0.00141864    0.000303123   -0.000231733  |	0.000124296   -0.000231733  -0.000303123  |	0.1           |	0             2.7           0:46:39
53            0.161743      |	0.00141874    0.000302028   -0.000235755  |	0.000125981   -0.000235755  -0.000302028  |	0.1           |	0             2.7           0:46:33
54            0.164795      |	0.00141882    0.000300937   -0.000239777  |	0.000127671   -0.000239777  -0.000300937  |	0.1           |	0             2.8           0:46:29
55            0.167847      |	0.00141892    0.000299849   -0.000243788  |	0.000129386   -0.000243788  -0.000299849  |	0.1           |	0             2.8           0:46:23
56            0.170898      |	0.00141901    0.000298765   -0.00024779   |	0.000131111   -0.00024779   -0.000298765  |	0.1           |	0             2.9           0:46:20
57            0.17395       |	0.0014191     0.000297688   -0.000251797  |	0.000132862   -0.000251797  -0.000297688  |	0.1           |	0             2.9           0:46:16
58            0.177002      |	0.00141919    0.000296615   -0.000255819  |	0.000134611   -0.000255819  -0.000296615  |	0.2           |	0             3             0:46:11
59            0.180054      |	0.00141928    0.00029555    -0.000259834  |	0.000136388   -0.000259834  -0.00029555   |	0.2           |	0             3             0:46:05
60            0.183105      |	0.00141938    0.000294499   -0.00026384   |	0.000138184   -0.00026384   -0.000294499  |	0.3           |	0             3.1           0:46:04
61            0.186157      |	0.00141948    0.000293457   -0.000267836  |	0.000139999   -0.000267836  -0.000293457  |	0.4           |	0             3.1           0:46:02
62            0.189209      |	0.00141958    0.000292419   -0.000271838  |	0.000141826   -0.000271838  -0.000292419  |	0.4           |	0             3.2           0:46:23
63            0.192261      |	0.00141968    0.000291392   -0.000275829  |	0.00014368    -0.000275829  -0.000291392  |	0.5           |	0             3.2           0:46:38
64            0.195312      |	0.00141979    0.00029038    -0.00027981   |	0.000145557   -0.00027981   -0.00029038   |	0.5           |	0             3.3           0:46:39
