Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Sme as 20240612_a but with original radial derivative expression near boundaries, and the same profiles frequency to enable direct comparison.

Time start:	Wed Jun 12 13:11:22 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	6                   0.000200138457118891	steps: 2000
Est. CSV size (MB)     :	202.423095703125
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240612_b_original_radial_derivatives_near_endpoints_4_profiles.csv
CSV file saved:	CSV/20240612_b_original_radial_derivatives_near_endpoints_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240612_b_original_radial_derivatives_near_endpoints_7_BCs.csv
Log file saved:	Logs/20240612_b_original_radial_derivatives_near_endpoints.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	0.0014106     0.000352897   -4.65434e-06  |	4.66899e-06   -4.65434e-06  -0.000352897  |	0             |	0             0.1           2:23:42
2             0.00610352    |	0.00141092    0.000352037   -9.36707e-06  |	8.71827e-06   -9.36707e-06  -0.000352037  |	0             |	0             0.2           1:42:25
3             0.00915527    |	0.00141104    0.000351175   -1.41159e-05  |	1.23939e-05   -1.41159e-05  -0.000351175  |	0             |	0             0.2           1:29:17
4             0.012207      |	0.00141125    0.00035031    -1.89009e-05  |	1.5685e-05    -1.89009e-05  -0.00035031   |	0             |	0             0.3           1:20:55
5             0.0152588     |	0.00141147    0.000349442   -2.37185e-05  |	1.86234e-05   -2.37185e-05  -0.000349442  |	0             |	0             0.3           1:15:56
6             0.0183105     |	0.00141168    0.000348567   -2.85673e-05  |	2.12196e-05   -2.85673e-05  -0.000348567  |	0             |	0             0.4           1:13:11
7             0.0213623     |	0.00141189    0.000347686   -3.34443e-05  |	2.34911e-05   -3.34443e-05  -0.000347686  |	0             |	0             0.4           1:13:14
8             0.0244141     |	0.0014121     0.000346796   -3.83464e-05  |	2.54551e-05   -3.83464e-05  -0.000346796  |	0             |	0             0.5           1:12:37
9             0.0274658     |	0.00141231    0.000345897   -4.32699e-05  |	2.71295e-05   -4.32699e-05  -0.000345897  |	0             |	0             0.5           1:10:49
10            0.0305176     |	0.00141252    0.000344985   -4.82119e-05  |	2.85316e-05   -4.82119e-05  -0.000344985  |	0             |	0             0.6           1:09:41
11            0.0335693     |	0.00141272    0.00034406    -5.31677e-05  |	2.96806e-05   -5.31677e-05  -0.00034406   |	0             |	0             0.6           1:08:25
12            0.0366211     |	0.00141293    0.000343121   -5.81317e-05  |	3.05958e-05   -5.81317e-05  -0.000343121  |	0             |	0             0.7           1:07:21
13            0.0396729     |	0.00141313    0.000342166   -6.31008e-05  |	3.12949e-05   -6.31008e-05  -0.000342166  |	0             |	0             0.7           1:06:20
14            0.0427246     |	0.00141333    0.000341195   -6.80664e-05  |	3.17996e-05   -6.80664e-05  -0.000341195  |	0             |	0             0.8           1:05:31
15            0.0457764     |	0.00141353    0.000340205   -7.30255e-05  |	3.21274e-05   -7.30255e-05  -0.000340205  |	0             |	0             0.8           1:04:41
16            0.0488281     |	0.00141373    0.000339196   -7.79726e-05  |	3.22993e-05   -7.79726e-05  -0.000339196  |	0             |	0             0.9           1:03:57
17            0.0518799     |	0.00141392    0.000338168   -8.28975e-05  |	3.23372e-05   -8.28975e-05  -0.000338168  |	0             |	0             0.9           1:03:19
18            0.0549316     |	0.00141412    0.000337119   -8.78033e-05  |	3.22553e-05   -8.78033e-05  -0.000337119  |	0             |	0             1             1:02:30
19            0.0579834     |	0.00141431    0.00033605    -9.26748e-05  |	3.20828e-05   -9.26748e-05  -0.00033605   |	0.1           |	0             1             1:01:34
20            0.0610352     |	0.00141449    0.00033496    -9.7512e-05   |	3.18331e-05   -9.7512e-05   -0.00033496   |	0.1           |	0             1.1           1:00:56
21            0.0640869     |	0.00141467    0.00033385    -0.000102316  |	3.15232e-05   -0.000102316  -0.00033385   |	0.1           |	0             1.1           1:00:12
22            0.0671387     |	0.00141485    0.000332719   -0.000107076  |	3.11837e-05   -0.000107076  -0.000332719  |	0.1           |	0             1.2           0:59:30
23            0.0701904     |	0.00141503    0.000331567   -0.000111784  |	3.0827e-05    -0.000111784  -0.000331567  |	0.1           |	0             1.2           0:58:55
24            0.0732422     |	0.0014152     0.000330397   -0.000116466  |	3.04621e-05   -0.000116466  -0.000330397  |	0.1           |	0             1.3           0:58:32
25            0.0762939     |	0.00141537    0.000329207   -0.00012109   |	3.01287e-05   -0.00012109   -0.000329207  |	0.1           |	0             1.3           0:58:03
26            0.0793457     |	0.00141554    0.000327999   -0.000125652  |	2.98416e-05   -0.000125652  -0.000327999  |	0.1           |	0             1.4           0:57:32
27            0.0823975     |	0.0014157     0.000326775   -0.000130175  |	2.95959e-05   -0.000130175  -0.000326775  |	0.1           |	0             1.4           0:57:06
28            0.0854492     |	0.00141586    0.000325536   -0.000134638  |	2.94375e-05   -0.000134638  -0.000325536  |	0.1           |	0             1.5           0:56:42
29            0.088501      |	0.00141602    0.000324283   -0.000139062  |	2.93565e-05   -0.000139062  -0.000324283  |	0.1           |	0             1.5           0:56:16
30            0.0915527     |	0.00141617    0.000323019   -0.000143405  |	2.94063e-05   -0.000143405  -0.000323019  |	0.1           |	0             1.6           0:56:01
31            0.0946045     |	0.00141632    0.000321743   -0.000147722  |	2.9551e-05    -0.000147722  -0.000321743  |	0.1           |	0             1.6           0:55:42
32            0.0976562     |	0.00141646    0.000320459   -0.000151981  |	2.98462e-05   -0.000151981  -0.000320459  |	0.1           |	0             1.7           0:55:22
33            0.100708      |	0.00141661    0.00031917    -0.000156183  |	3.02954e-05   -0.000156183  -0.00031917   |	0.1           |	0             1.7           0:55:03
34            0.10376       |	0.00141674    0.000317875   -0.00016033   |	3.09061e-05   -0.00016033   -0.000317875  |	0.1           |	0             1.8           0:54:46
35            0.106812      |	0.00141688    0.00031658    -0.00016442   |	3.16977e-05   -0.00016442   -0.00031658   |	0.1           |	0             1.8           0:54:33
36            0.109863      |	0.00141702    0.000315279   -0.00016848   |	3.26598e-05   -0.00016848   -0.000315279  |	0.1           |	0             1.9           0:54:18
37            0.112915      |	0.00141715    0.000313988   -0.000172492  |	3.38293e-05   -0.000172492  -0.000313988  |	0.1           |	0             1.9           0:54:06
38            0.115967      |	0.00141728    0.000312698   -0.000176435  |	3.52183e-05   -0.000176435  -0.000312698  |	0.1           |	0             2             0:53:58
