Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Rotation-free model to enable direct comparison with 20241014_a (the test with rotation but no twist).

Time start:	Wed Oct 16 17:42:14 2024

Parameter values (given in code units, then in SI units)
P_final                      :	0                   0                   
Omega_final                  :	0                   0                   
R_LC_max                     :	0                   0                   
r_min, r_max                 :	1                   10.0032958984375    
n_r, delta_r                 :	100                 0.0909423828125     
n_t, delta_t                 :	1001                0.00314159265358979 
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.00314159265358979 1.04792251097584e-07
Length of simulation         :	6                   0.000200138457118891	steps: 2000
Est. CSV size (MB)           :	48.8805770874023
ell_max                      :	20
dOmega_by_dT_index           :	inf	dOmega_by_dT:	inf
Ramp start                   :	9999	30.5145263671875
Ramp stop                    :	9999	30.5145263671875

Twist start                :	9999	30.5145263671875
Twist stop                   :	9999	30.5145263671875
Twist magnitude              :	0
Twist min radius             :	9999
Twist ramp    99% radius     :	9999
Twist de-ramp 99% radius     :	9999
Twist max radius             :	9999
Twist min angle (rad)        :	9999
Twist ramp    99% angle (rad):	9999
Twist de-ramp 99% angle (rad):	9999
Twist max angle (rad)        :	9999

Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20241016_a_no_rotation_4_profiles.csv
CSV file saved:	CSV/20241016_a_no_rotation_5_history.csv
CSV file saved:	CSV/20241016_a_no_rotation_6_VSH_coeffs.csv
CSV _4_BCs not saved.
Log file saved:	Logs/20241016_a_no_rotation.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.1           1:31:55
2             0.00610352    |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.2           1:07:29
3             0.00915527    |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.2           0:59:27
4             0.012207      |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.3           0:55:30
5             0.0152588     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.3           0:53:07
6             0.0183105     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.4           0:51:38
7             0.0213623     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.4           0:50:18
8             0.0244141     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.5           0:49:50
9             0.0274658     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.5           0:49:42
10            0.0305176     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.6           0:49:33
11            0.0335693     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.6           0:49:16
12            0.0366211     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.7           0:48:50
13            0.0396729     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.7           0:48:24
14            0.0427246     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.8           0:48:06
15            0.0457764     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.8           0:47:52
16            0.0488281     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.9           0:47:39
17            0.0518799     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             0.9           0:47:53
18            0.0549316     |	0.0014106     0.000707517   0             |	0             0             0             |	nan           |	0             1             0:47:47
