Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Redo the models with cout_i = 90 from 99, as it was just taking the hardcoded field values at the outer boundary.

Time start:	Thu Oct 17 14:11:31 2024

Parameter values (given in code units, then in SI units)
P_final                      :	0                   0                   
Omega_final                  :	0                   0                   
R_LC_max                     :	0                   0                   
r_min, r_max                 :	1                   10.0032958984375    
n_r, delta_r                 :	100                 0.0909423828125     
n_t, delta_t                 :	1001                0.00314159265358979 
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.00314159265358979 1.04792251097584e-07
Length of simulation         :	6                   0.000200138457118891	steps: 2000
Est. CSV size (MB)           :	48.8805770874023
ell_max                      :	20
dOmega_by_dT_index           :	inf	dOmega_by_dT:	inf
Ramp start                   :	9999	30.5145263671875
Ramp stop                    :	9999	30.5145263671875

Twist start                :	9999	30.5145263671875
Twist stop                   :	9999	30.5145263671875
Twist magnitude              :	0
Twist min radius             :	9999
Twist ramp    99% radius     :	9999
Twist de-ramp 99% radius     :	9999
Twist max radius             :	9999
Twist min angle (rad)        :	9999
Twist ramp    99% angle (rad):	9999
Twist de-ramp 99% angle (rad):	9999
Twist max angle (rad)        :	9999

Printing values at ( r[90], theta[250] ) = ( 9.184814453125, 0.786968959724243 ) = ( 9.184814453125, 0.2505 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20241017_a_no_rotation_4_profiles.csv
CSV file saved:	CSV/20241017_a_no_rotation_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	Logs/20241017_a_no_rotation.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0018223     0.000914018   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	0.0018223     0.000914003   0             |	0             0             -1.26906e-10  |	nan           |	0             0.1           1:29:00
2             0.00610352    |	0.0018223     0.000913988   0             |	0             0             -1.75384e-09  |	nan           |	0             0.2           1:07:35
3             0.00915527    |	0.0018223     0.000913972   0             |	0             0             -4.38065e-09  |	nan           |	0             0.2           0:59:43
4             0.012207      |	0.0018223     0.000913957   0             |	0             0             -8.01561e-09  |	nan           |	0             0.3           0:55:34
5             0.0152588     |	0.0018223     0.000913941   0             |	0             0             -1.26609e-08  |	nan           |	0             0.3           0:54:25
6             0.0183105     |	0.0018223     0.000913925   0             |	0             0             -1.83243e-08  |	nan           |	0             0.4           0:54:22
7             0.0213623     |	0.0018223     0.000913908   0             |	0             0             -2.50137e-08  |	nan           |	0             0.4           0:54:10
8             0.0244141     |	0.0018223     0.000913892   0             |	0             0             -3.27388e-08  |	nan           |	0             0.5           0:54:50
9             0.0274658     |	0.0018223     0.000913875   0             |	0             0             -4.15109e-08  |	nan           |	0             0.5           0:54:22
10            0.0305176     |	0.0018223     0.000913857   0             |	0             0             -5.13424e-08  |	nan           |	0             0.6           0:54:11
11            0.0335693     |	0.0018223     0.000913839   0             |	0             0             -6.22476e-08  |	nan           |	0             0.6           0:54:02
12            0.0366211     |	0.0018223     0.000913821   0             |	0             0             -7.42419e-08  |	nan           |	0             0.7           0:54:13
13            0.0396729     |	0.0018223     0.000913801   0             |	0             0             -8.73424e-08  |	nan           |	0             0.7           0:54:22
14            0.0427246     |	0.0018223     0.000913782   0             |	0             0             -1.01568e-07  |	nan           |	0             0.8           0:54:24
15            0.0457764     |	0.0018223     0.000913761   0             |	0             0             -1.16937e-07  |	nan           |	0             0.8           0:54:31
16            0.0488281     |	0.0018223     0.00091374    0             |	0             0             -1.33473e-07  |	nan           |	0             0.9           0:54:16
