Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.04522705078125 from 0.0452261306532663
New r_max = 10.0001831054688 from 10

Just check the code runs and can output to an offline folder to avoid filling up my OneDrive.

Time start:	Wed Jan 22 10:46:21 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0.139723001463446   4188.79020478639    
R_LC_max                     :	7.15701773885541    71570.1773885541    
r_min, r_max                 :	1                   10.0001831054688    
n_r, delta_r                 :	200                 0.04522705078125    
n_t, delta_t                 :	1001                0.00314159265358979 
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.00314159265358979 1.04792251097584e-07
Length of simulation         :	2.1                 7.00484599916119e-05	steps: 700
Est. CSV size (MB)           :	171.082019805908
ell_max                      :	20
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	201	0.6134033203125
Ramp stop                    :	350	1.068115234375

Twist start                :	5151	15.7196044921875
Twist stop                   :	5200	15.869140625
Twist magnitude              :	1e-08
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[181], theta[250] ) = ( 9.18609619140625, 0.786968959724243 ) = ( 9.18609619140625, 0.2505 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_b_double_r_resolution_4_profiles.csv
CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_b_double_r_resolution_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	../../../../Documents/NS code offline results/Logs/20250122_b_double_r_resolution.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00182154    0.000913636   0             |	0             0             0             |	nan           |	0             0.1           1             0.00305176    |	0.00182154    0.00091362    0             |	0             0             -1.26834e-10  |	nan           |	0             0.3           1:04:50
2             0.00610352    |	0.00182154    0.000913604   0             |	0             0             -1.80458e-09  |	nan           |	0             0.4           0:48:02
3             0.00915527    |	0.00182154    0.000913588   0             |	0             0             -4.51608e-09  |	nan           |	0             0.6           0:51:45
4             0.012207      |	0.00182154    0.000913572   0             |	0             0             -8.2697e-09   |	nan           |	0             0.7           0:49:18
5             0.0152588     |	0.00182154    0.000913555   0             |	0             0             -1.30676e-08  |	nan           |	0             0.9           0:47:40
6             0.0183105     |	0.00182154    0.000913538   0             |	0             0             -1.89176e-08  |	nan           |	0             1             0:46:36
7             0.0213623     |	0.00182154    0.000913521   0             |	0             0             -2.58277e-08  |	nan           |	0             1.1           0:46:08
8             0.0244141     |	0.00182154    0.000913504   0             |	0             0             -3.38077e-08  |	nan           |	0             1.3           0:45:48
9             0.0274658     |	0.00182154    0.000913486   0             |	0             0             -4.28687e-08  |	nan           |	0             1.4           0:45:25
10            0.0305176     |	0.00182154    0.000913468   0             |	0             0             -5.30237e-08  |	nan           |	0             1.6           0:45:11
11            0.0335693     |	0.00182154    0.000913449   0             |	0             0             -6.42866e-08  |	nan           |	0             1.7           0:45:02
12            0.0366211     |	0.00182154    0.00091343    0             |	0             0             -7.66733e-08  |	nan           |	0             1.9           0:44:47
13            0.0396729     |	0.00182154    0.00091341    0             |	0             0             -9.0201e-08   |	nan           |	0             2             0:44:51
14            0.0427246     |	0.00182154    0.00091339    0             |	0             0             -1.04888e-07  |	nan           |	0             2.1           0:43:54
15            0.0457764     |	0.00182154    0.000913369   0             |	0             0             -1.20755e-07  |	nan           |	0             2.3           0:42:57
16            0.0488281     |	0.00182154    0.000913347   0             |	0             0             -1.37823e-07  |	nan           |	0             2.4           0:42:06
17            0.0518799     |	0.00182154    0.000913324   0             |	0             0             -1.56115e-07  |	nan           |	0             2.6           0:41:21
18            0.0549316     |	0.00182154    0.0009133     0             |	0             0             -1.75656e-07  |	nan           |	0             2.7           0:41:02
19            0.0579834     |	0.00182154    0.000913276   0             |	0             0             -1.96472e-07  |	nan           |	0             2.9           0:40:56
20            0.0610352     |	0.00182154    0.00091325    0             |	0             0             -2.18589e-07  |	nan           |	0             3             0:40:29
21            0.0640869     |	0.00182154    0.000913224   0             |	0             0             -2.42036e-07  |	nan           |	0             3.1           0:39:58
22            0.0671387     |	0.00182154    0.000913196   0             |	0             0             -2.66845e-07  |	nan           |	0             3.3           0:39:27
23            0.0701904     |	0.00182154    0.000913168   0             |	0             0             -2.93045e-07  |	nan           |	0             3.4           0:39:01
24            0.0732422     |	0.00182154    0.000913138   0             |	0             0             -3.2067e-07   |	nan           |	0             3.6           0:38:40
25            0.0762939     |	0.00182154    0.000913107   0             |	0             0             -3.49754e-07  |	nan           |	0             3.7           0:38:15
26            0.0793457     |	0.00182154    0.000913075   0             |	0             0             -3.80333e-07  |	nan           |	0             3.9           0:37:51
27            0.0823975     |	0.00182154    0.000913041   0             |	0             0             -4.12443e-07  |	nan           |	0             4             0:37:28
28            0.0854492     |	0.00182154    0.000913006   0             |	0             0             -4.46123e-07  |	nan           |	0             4.1           0:37:08
29            0.088501      |	0.00182154    0.000912969   0             |	0             0             -4.81411e-07  |	nan           |	0             4.3           0:36:49
30            0.0915527     |	0.00182154    0.000912932   0             |	0             0             -5.1835e-07   |	nan           |	0             4.4           0:36:34
31            0.0946045     |	0.00182154    0.000912892   0             |	0             0             -5.5698e-07   |	nan           |	0             4.6           0:36:17
32            0.0976562     |	0.00182154    0.000912851   0             |	0             0             -5.97344e-07  |	nan           |	0             4.7           0:36:00
33            0.100708      |	0.00182154    0.000912808   0             |	0             0             -6.39489e-07  |	nan           |	0             4.9           0:35:45
34            0.10376       |	0.00182155    0.000912764   0             |	0             0             -6.83458e-07  |	nan           |	0             5             0:35:38
35            0.106812      |	0.00182155    0.000912717   0             |	0             0             -7.29298e-07  |	nan           |	0             5.1           0:35:26
36            0.109863      |	0.00182155    0.000912669   0             |	0             0             -7.77059e-07  |	nan           |	0             5.3           0:35:27
37            0.112915      |	0.00182155    0.000912619   0             |	0             0             -8.26788e-07  |	nan           |	0             5.4           0:35:34
38            0.115967      |	0.00182155    0.000912567   0             |	0             0             -8.78536e-07  |	nan           |	0             5.6           0:35:22
39            0.119019      |	0.00182155    0.000912513   0             |	0             0             -9.32354e-07  |	nan           |	0             5.7           0:35:11
40            0.12207       |	0.00182155    0.000912457   0             |	0             0             -9.88294e-07  |	nan           |	0             5.9           0:35:01
41            0.125122      |	0.00182155    0.000912399   0             |	0             0             -1.04641e-06  |	nan           |	0             6             0:34:53
42            0.128174      |	0.00182155    0.000912339   0             |	0             0             -1.10676e-06  |	nan           |	0             6.1           0:34:43
43            0.131226      |	0.00182155    0.000912276   0             |	0             0             -1.16939e-06  |	nan           |	0             6.3           0:34:32
44            0.134277      |	0.00182155    0.000912211   0             |	0             0             -1.23436e-06  |	nan           |	0             6.4           0:34:21
45            0.137329      |	0.00182155    0.000912144   0             |	0             0             -1.30173e-06  |	nan           |	0             6.6           0:34:10
46            0.140381      |	0.00182155    0.000912074   0             |	0             0             -1.37156e-06  |	nan           |	0             6.7           0:34:07
47            0.143433      |	0.00182155    0.000912002   0             |	0             0             -1.4439e-06   |	nan           |	0             6.9           0:34:39
48            0.146484      |	0.00182156    0.000911927   0             |	0             0             -1.51882e-06  |	nan           |	0             7             0:34:46
49            0.149536      |	0.00182156    0.000911849   0             |	0             0             -1.59638e-06  |	nan           |	0             7.1           0:34:44
50            0.152588      |	0.00182156    0.000911769   0             |	0             0             -1.67663e-06  |	nan           |	0             7.3           0:35:21
51            0.15564       |	0.00182156    0.000911686   0             |	0             0             -1.75964e-06  |	nan           |	0             7.4           0:35:16
52            0.158691      |	0.00182156    0.000911601   0             |	0             0             -1.84547e-06  |	nan           |	0             7.6           0:35:08
53            0.161743      |	0.00182156    0.000911512   0             |	0             0             -1.93419e-06  |	nan           |	0             7.7           0:34:59
54            0.164795      |	0.00182156    0.000911421   0             |	0             0             -2.02585e-06  |	nan           |	0             7.9           0:34:50
55            0.167847      |	0.00182156    0.000911326   0             |	0             0             -2.12054e-06  |	nan           |	0             8             0:34:44
56            0.170898      |	0.00182157    0.000911228   0             |	0             0             -2.21829e-06  |	nan           |	0             8.1           0:34:35
57            0.17395       |	0.00182157    0.000911128   0             |	0             0             -2.3192e-06   |	nan           |	0             8.3           0:34:27
58            0.177002      |	0.00182157    0.000911024   0             |	0             0             -2.42331e-06  |	nan           |	0             8.4           0:34:20
59            0.180054      |	0.00182157    0.000910916   0             |	0             0             -2.53071e-06  |	nan           |	0             8.6           0:34:12
60            0.183105      |	0.00182157    0.000910806   0             |	0             0             -2.64144e-06  |	nan           |	0             8.7           0:34:07
61            0.186157      |	0.00182157    0.000910692   0             |	0             0             -2.75559e-06  |	nan           |	0             8.9           0:34:03
62            0.189209      |	0.00182158    0.000910574   0             |	0             0             -2.87322e-06  |	nan           |	0             9             0:33:56
63            0.192261      |	0.00182158    0.000910453   0             |	0             0             -2.9944e-06   |	nan           |	0             9.1           0:33:48
64            0.195312      |	0.00182158    0.000910329   0             |	0             0             -3.11919e-06  |	nan           |	0             9.3           0:33:43
65            0.198364      |	0.00182158    0.000910201   0             |	0             0             -3.24767e-06  |	nan           |	0             9.4           0:33:38
66            0.201416      |	0.00182158    0.000910069   0             |	0             0             -3.3799e-06   |	nan           |	0             9.6           0:33:34
67            0.204468      |	0.00182159    0.000909933   0             |	0             0             -3.51596e-06  |	nan           |	0             9.7           0:33:31
68            0.20752       |	0.00182159    0.000909793   0             |	0             0             -3.65591e-06  |	nan           |	0             9.9           0:33:24
69            0.210571      |	0.00182159    0.00090965    0             |	0             0             -3.79982e-06  |	nan           |	0             10            0:33:17
70            0.213623      |	0.00182159    0.000909502   0             |	0             0             -3.94777e-06  |	nan           |	0             10.1          0:33:13
71            0.216675      |	0.0018216     0.00090935    0             |	0             0             -4.09981e-06  |	nan           |	0             10.3          0:33:06
72            0.219727      |	0.0018216     0.000909195   0             |	0             0             -4.25603e-06  |	nan           |	0             10.4          0:33:00
73            0.222778      |	0.0018216     0.000909035   0             |	0             0             -4.41649e-06  |	nan           |	0             10.6          0:32:56
74            0.22583       |	0.0018216     0.00090887    0             |	0             0             -4.58125e-06  |	nan           |	0             10.7          0:32:51
75            0.228882      |	0.00182161    0.000908702   0             |	0             0             -4.7504e-06   |	nan           |	0             10.9          0:32:47
76            0.231934      |	0.00182161    0.000908529   0             |	0             0             -4.924e-06    |	nan           |	0             11            0:32:42
77            0.234985      |	0.00182161    0.000908351   0             |	0             0             -5.10211e-06  |	nan           |	0             11.1          0:32:38
78            0.238037      |	0.00182162    0.00090817    0             |	0             0             -5.28481e-06  |	nan           |	0             11.3          0:32:34
79            0.241089      |	0.00182162    0.000907983   0             |	0             0             -5.47216e-06  |	nan           |	0             11.4          0:32:29
80            0.244141      |	0.00182162    0.000907792   0             |	0             0             -5.66424e-06  |	nan           |	0             11.6          0:32:26
81            0.247192      |	0.00182163    0.000907596   0             |	0             0             -5.86111e-06  |	nan           |	0             11.7          0:32:22
82            0.250244      |	0.00182163    0.000907396   0             |	0             0             -6.06283e-06  |	nan           |	0             11.9          0:32:18
