Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.1837158203125 from 0.183673469387755
New r_max = 10.0020751953125 from 10

Just check the code runs and can output to an offline folder to avoid filling up my OneDrive.

Time start:	Wed Jan 22 11:53:50 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0.139723001463446   4188.79020478639    
R_LC_max                     :	7.15701773885541    71570.1773885541    
r_min, r_max                 :	1                   10.0020751953125    
n_r, delta_r                 :	50                  0.1837158203125     
n_t, delta_t                 :	1001                0.00314159265358979 
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.00314159265358979 1.04792251097584e-07
Length of simulation         :	12                  0.000400276914237782	steps: 4000
Est. CSV size (MB)           :	958.059310913086
ell_max                      :	20
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	201	0.6134033203125
Ramp stop                    :	350	1.068115234375

Twist start                :	5151	15.7196044921875
Twist stop                   :	5200	15.869140625
Twist magnitude              :	1e-08
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[25], theta[250] ) = ( 5.5928955078125, 0.786968959724243 ) = ( 5.5928955078125, 0.2505 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_c_half_r_resolution_4_profiles.csv
CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_c_half_r_resolution_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	../../../../Documents/NS code offline results/Logs/20250122_c_half_r_resolution.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00807089    0.00404814    0             |	0             0             0             |	nan           |	0             0             1             0.00305176    |	0.00807089    0.00404814    0             |	0             0             -9.26707e-10  |	nan           |	0             0.1           2:06:57
2             0.00610352    |	0.00807089    0.00404814    0             |	0             0             -1.85341e-09  |	nan           |	0             0.1           1:25:11
3             0.00915527    |	0.00807089    0.00404814    0             |	0             0             -2.7798e-09   |	nan           |	0             0.1           1:11:42
4             0.012207      |	0.00807089    0.00404814    0             |	0             0             -3.70586e-09  |	nan           |	0             0.1           1:04:45
5             0.0152588     |	0.00807089    0.00404814    0             |	0             0             -4.63148e-09  |	nan           |	0             0.2           1:00:51
6             0.0183105     |	0.00807089    0.00404814    0             |	0             0             -5.55654e-09  |	nan           |	0             0.2           1:00:19
7             0.0213623     |	0.00807089    0.00404814    0             |	0             0             -6.48092e-09  |	nan           |	0             0.2           0:58:29
8             0.0244141     |	0.00807089    0.00404814    0             |	0             0             -7.40451e-09  |	nan           |	0             0.2           0:56:50
9             0.0274658     |	0.00807089    0.00404814    0             |	0             0             -8.3272e-09   |	nan           |	0             0.3           0:55:36
10            0.0305176     |	0.00807089    0.00404814    0             |	0             0             -9.24888e-09  |	nan           |	0             0.3           0:55:25
11            0.0335693     |	0.00807089    0.00404814    0             |	0             0             -1.01694e-08  |	nan           |	0             0.3           0:54:25
12            0.0366211     |	0.00807089    0.00404814    0             |	0             0             -1.10888e-08  |	nan           |	0             0.3           0:53:34
13            0.0396729     |	0.00807089    0.00404814    0             |	0             0             -1.20067e-08  |	nan           |	0             0.4           0:52:56
14            0.0427246     |	0.00807089    0.00404814    0             |	0             0             -1.29232e-08  |	nan           |	0             0.4           0:52:19
15            0.0457764     |	0.00807089    0.00404814    0             |	0             0             -1.38382e-08  |	nan           |	0             0.4           0:51:47
16            0.0488281     |	0.00807089    0.00404814    0             |	0             0             -1.47514e-08  |	nan           |	0             0.4           0:51:21
17            0.0518799     |	0.00807089    0.00404814    0             |	0             0             -1.56629e-08  |	nan           |	0             0.5           0:50:58
