Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

delta_T = 0.0030517578125 > delta_T_CFL = 0.0015707963267949. The CFL condition has been violated. Recommend decreasing timestep or increasing gridpoint size (decreasing number of gridpoints).
Just check the code runs and can output to an offline folder to avoid filling up my OneDrive.

Time start:	Wed Jan 22 12:42:36 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0.139723001463446   4188.79020478639    
R_LC_max                     :	7.15701773885541    71570.1773885541    
r_min, r_max                 :	1                   10.0032958984375    
n_r, delta_r                 :	100                 0.0909423828125     
n_t, delta_t                 :	2001                0.0015707963267949  
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.0015707963267949  5.2396125548792e-08 
Length of simulation         :	12                  0.000400276914237782	steps: 4000
Est. CSV size (MB)           :	977.611541748047
ell_max                      :	20
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	201	0.6134033203125
Ramp stop                    :	350	1.068115234375

Twist start                :	5151	15.7196044921875
Twist stop                   :	5200	15.869140625
Twist magnitude              :	1e-08
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[25], theta[250] ) = ( 3.2735595703125, 0.393484479862122 ) = ( 3.2735595703125, 0.12525 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_d_double_theta_resolution_4_profiles.csv
CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_d_double_theta_resolution_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	../../../../Documents/NS code offline results/Logs/20250122_d_double_theta_resolution.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0526554     0.0109295     0             |	0             0             0             |	nan           |	0             0             1             0.00305176    |	0.0526554     0.0109295     0             |	0             0             1.78359e-09   |	nan           |	0             0.1           6:53:14
2             0.00610352    |	0.0526554     0.0109295     0             |	0             0             3.56718e-09   |	nan           |	0             0.1           4:53:46
3             0.00915527    |	0.0526554     0.0109295     0             |	0             0             5.35025e-09   |	nan           |	0             0.1           4:15:14
4             0.012207      |	0.0526554     0.0109295     0             |	0             0             7.13283e-09   |	nan           |	0             0.1           3:56:35
5             0.0152588     |	0.0526554     0.0109295     0             |	0             0             8.91469e-09   |	nan           |	0             0.2           3:45:24
6             0.0183105     |	0.0526554     0.0109295     0             |	0             0             1.06957e-08   |	nan           |	0             0.2           3:37:56
7             0.0213623     |	0.0526554     0.0109295     0             |	0             0             1.24755e-08   |	nan           |	0             0.2           3:32:24
8             0.0244141     |	0.0526554     0.0109295     0             |	0             0             1.42542e-08   |	nan           |	0             0.2           3:28:13
9             0.0274658     |	0.0526554     0.0109295     0             |	0             0             1.60314e-08   |	nan           |	0             0.3           3:25:10
10            0.0305176     |	0.0526554     0.0109295     0             |	0             0             1.7807e-08    |	nan           |	0             0.3           3:23:38
11            0.0335693     |	0.0526554     0.0109295     0             |	0             0             1.95807e-08   |	nan           |	0             0.3           3:21:33
12            0.0366211     |	0.0526554     0.0109295     0             |	0             0             2.13526e-08   |	nan           |	0             0.3           3:19:32
13            0.0396729     |	0.0526554     0.0109295     0             |	0             0             2.31222e-08   |	nan           |	0             0.4           3:17:58
14            0.0427246     |	0.0526554     0.0109295     0             |	0             0             2.48895e-08   |	nan           |	0             0.4           3:16:24
15            0.0457764     |	0.0526554     0.0109295     0             |	0             0             2.66542e-08   |	nan           |	0             0.4           3:15:13
16            0.0488281     |	0.0526554     0.0109295     0             |	0             0             2.84163e-08   |	nan           |	0             0.4           3:14:08
17            0.0518799     |	0.0526554     0.0109295     0             |	0             0             3.01754e-08   |	nan           |	0             0.5           3:13:21
18            0.0549316     |	0.0526554     0.0109295     0             |	0             0             3.19315e-08   |	nan           |	0             0.5           3:12:45
19            0.0579834     |	0.0526554     0.0109295     0             |	0             0             3.36842e-08   |	nan           |	0             0.5           3:12:07
20            0.0610352     |	0.0526554     0.0109295     0             |	0             0             3.54335e-08   |	nan           |	0             0.5           3:12:10
