Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.1837158203125 from 0.183673469387755
New r_max = 10.0020751953125 from 10

delta_T = 0.0030517578125 > delta_T_CFL = 0.0015707963267949. The CFL condition has been violated. Recommend decreasing timestep or increasing gridpoint size (decreasing number of gridpoints).
Halving radial resolution seemed to do good. How long does the nonrotating case last?.

Time start:	Wed Jan 22 15:49:09 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0                   0                   
R_LC_max                     :	0                   0                   
r_min, r_max                 :	1                   10.0020751953125    
n_r, delta_r                 :	50                  0.1837158203125     
n_t, delta_t                 :	2001                0.0015707963267949  
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.0015707963267949  5.2396125548792e-08 
Length of simulation         :	15                  0.000500346142797228	steps: 5000
Est. CSV size (MB)           :	119.757413864136
ell_max                      :	20
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	100001	305.178833007812
Ramp stop                    :	100150	305.633544921875

Twist start                :	100151	305.636596679688
Twist stop                   :	100200	305.7861328125
Twist magnitude              :	1e-08
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[25], theta[250] ) = ( 5.5928955078125, 0.393484479862122 ) = ( 5.5928955078125, 0.12525 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_f_no_rotation_4_profiles.csv
CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_f_no_rotation_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	../../../../Documents/NS code offline results/Logs/20250122_f_no_rotation.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0105583     0.00219155    0             |	0             0             0             |	nan           |	0             0             1             0.00305176    |	0.0105583     0.00219155    0             |	0             0             2.08061e-10   |	nan           |	0             0             4:08:19
2             0.00610352    |	0.0105583     0.00219155    0             |	0             0             4.16121e-10   |	nan           |	0             0.1           3:42:43
3             0.00915527    |	0.0105583     0.00219155    0             |	0             0             6.24161e-10   |	nan           |	0             0.1           4:00:01
4             0.012207      |	0.0105583     0.00219155    0             |	0             0             8.32181e-10   |	nan           |	0             0.1           3:40:50
5             0.0152588     |	0.0105583     0.00219155    0             |	0             0             1.04017e-09   |	nan           |	0             0.1           3:25:07
6             0.0183105     |	0.0105583     0.00219155    0             |	0             0             1.24813e-09   |	nan           |	0             0.1           3:13:23
7             0.0213623     |	0.0105583     0.00219155    0             |	0             0             1.45604e-09   |	nan           |	0             0.2           3:05:06
8             0.0244141     |	0.0105583     0.00219155    0             |	0             0             1.6639e-09    |	nan           |	0             0.2           2:59:58
9             0.0274658     |	0.0105583     0.00219155    0             |	0             0             1.8717e-09    |	nan           |	0             0.2           2:57:10
10            0.0305176     |	0.0105583     0.00219155    0             |	0             0             2.07944e-09   |	nan           |	0             0.2           2:54:21
11            0.0335693     |	0.0105583     0.00219155    0             |	0             0             2.2871e-09    |	nan           |	0             0.2           2:51:04
12            0.0366211     |	0.0105583     0.00219155    0             |	0             0             2.49469e-09   |	nan           |	0             0.3           2:48:24
13            0.0396729     |	0.0105583     0.00219155    0             |	0             0             2.70219e-09   |	nan           |	0             0.3           2:46:07
14            0.0427246     |	0.0105583     0.00219155    0             |	0             0             2.90959e-09   |	nan           |	0             0.3           2:44:37
15            0.0457764     |	0.0105583     0.00219155    0             |	0             0             3.1169e-09    |	nan           |	0             0.3           2:43:26
16            0.0488281     |	0.0105583     0.00219155    0             |	0             0             3.32409e-09   |	nan           |	0             0.3           2:42:21
17            0.0518799     |	0.0105583     0.00219155    0             |	0             0             3.53117e-09   |	nan           |	0             0.4           2:40:42
18            0.0549316     |	0.0105583     0.00219155    0             |	0             0             3.73812e-09   |	nan           |	0             0.4           2:39:26
19            0.0579834     |	0.0105583     0.00219155    0             |	0             0             3.94495e-09   |	nan           |	0             0.4           2:38:18
20            0.0610352     |	0.0105583     0.00219155    0             |	0             0             4.15163e-09   |	nan           |	0             0.4           2:37:45
21            0.0640869     |	0.0105583     0.00219155    0             |	0             0             4.35817e-09   |	nan           |	0             0.4           2:37:18
22            0.0671387     |	0.0105583     0.00219155    0             |	0             0             4.56456e-09   |	nan           |	0             0.5           2:37:00
23            0.0701904     |	0.0105583     0.00219155    0             |	0             0             4.77079e-09   |	nan           |	0             0.5           2:36:17
24            0.0732422     |	0.0105583     0.00219155    0             |	0             0             4.97684e-09   |	nan           |	0             0.5           2:35:30
25            0.0762939     |	0.0105583     0.00219155    0             |	0             0             5.18273e-09   |	nan           |	0             0.5           2:34:46
26            0.0793457     |	0.0105583     0.00219155    0             |	0             0             5.38843e-09   |	nan           |	0             0.5           2:34:27
27            0.0823975     |	0.0105583     0.00219155    0             |	0             0             5.59394e-09   |	nan           |	0             0.6           2:33:59
28            0.0854492     |	0.0105583     0.00219155    0             |	0             0             5.79925e-09   |	nan           |	0             0.6           2:33:32
29            0.088501      |	0.0105583     0.00219155    0             |	0             0             6.00435e-09   |	nan           |	0             0.6           2:32:50
30            0.0915527     |	0.0105583     0.00219155    0             |	0             0             6.20925e-09   |	nan           |	0             0.6           2:32:08
31            0.0946045     |	0.0105583     0.00219155    0             |	0             0             6.41392e-09   |	nan           |	0             0.6           2:31:34
32            0.0976562     |	0.0105583     0.00219155    0             |	0             0             6.61836e-09   |	nan           |	0             0.7           2:31:15
33            0.100708      |	0.0105583     0.00219155    0             |	0             0             6.82257e-09   |	nan           |	0             0.7           2:30:58
