Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.1837158203125 from 0.183673469387755
New r_max = 10.0020751953125 from 10

delta_T = 0.0030517578125 > delta_T_CFL = 0.0015707963267949. The CFL condition has been violated. Recommend decreasing timestep or increasing gridpoint size (decreasing number of gridpoints).
Halving radial resolution seemed to do good. How long does the nonrotating case last? Does it do better when ell_max=1 like it should be?.

Time start:	Wed Jan 22 17:30:34 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0                   0                   
R_LC_max                     :	0                   0                   
r_min, r_max                 :	1                   10.0020751953125    
n_r, delta_r                 :	50                  0.1837158203125     
n_t, delta_t                 :	2001                0.0015707963267949  
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.0015707963267949  5.2396125548792e-08 
Length of simulation         :	15                  0.000500346142797228	steps: 5000
Est. CSV size (MB)           :	119.757413864136
ell_max                      :	1
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	100001	305.178833007812
Ramp stop                    :	100150	305.633544921875

Twist start                :	100151	305.636596679688
Twist stop                   :	100200	305.7861328125
Twist magnitude              :	1e-08
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[25], theta[250] ) = ( 5.5928955078125, 0.393484479862122 ) = ( 5.5928955078125, 0.12525 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_g_no_rotation_ellmax_1_4_profiles.csv
CSV file saved:	../../../../Documents/NS code offline results/CSV/20250122_g_no_rotation_ellmax_1_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	../../../../Documents/NS code offline results/Logs/20250122_g_no_rotation_ellmax_1.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0105583     0.00219155    0             |	0             0             0             |	nan           |	0             0             1             0.00305176    |	0.0105583     0.00219155    0             |	0             0             -4.20542e-12  |	nan           |	0             0             1:31:32
2             0.00610352    |	0.0105583     0.00219155    0             |	0             0             -8.41084e-12  |	nan           |	0             0.1           1:03:39
3             0.00915527    |	0.0105583     0.00219155    0             |	0             0             -1.26164e-11  |	nan           |	0             0.1           0:55:54
4             0.012207      |	0.0105583     0.00219155    0             |	0             0             -1.68222e-11  |	nan           |	0             0.1           0:51:27
5             0.0152588     |	0.0105583     0.00219155    0             |	0             0             -2.10282e-11  |	nan           |	0             0.1           0:48:48
6             0.0183105     |	0.0105583     0.00219155    0             |	0             0             -2.52345e-11  |	nan           |	0             0.1           0:46:14
7             0.0213623     |	0.0105583     0.00219155    0             |	0             0             -2.94411e-11  |	nan           |	0             0.2           0:44:38
8             0.0244141     |	0.0105583     0.00219155    0             |	0             0             -3.36482e-11  |	nan           |	0             0.2           0:43:53
9             0.0274658     |	0.0105583     0.00219155    0             |	0             0             -3.78557e-11  |	nan           |	0             0.2           0:42:56
10            0.0305176     |	0.0105583     0.00219155    0             |	0             0             -4.20638e-11  |	nan           |	0             0.2           0:42:02
11            0.0335693     |	0.0105583     0.00219155    0             |	0             0             -4.62725e-11  |	nan           |	0             0.2           0:41:21
12            0.0366211     |	0.0105583     0.00219155    0             |	0             0             -5.04818e-11  |	nan           |	0             0.3           0:41:04
13            0.0396729     |	0.0105583     0.00219155    0             |	0             0             -5.46918e-11  |	nan           |	0             0.3           0:40:34
14            0.0427246     |	0.0105583     0.00219155    0             |	0             0             -5.89027e-11  |	nan           |	0             0.3           0:40:18
15            0.0457764     |	0.0105583     0.00219155    0             |	0             0             -6.31143e-11  |	nan           |	0             0.3           0:40:01
16            0.0488281     |	0.0105583     0.00219155    0             |	0             0             -6.73268e-11  |	nan           |	0             0.3           0:39:54
17            0.0518799     |	0.0105583     0.00219155    0             |	0             0             -7.15403e-11  |	nan           |	0             0.4           0:39:38
18            0.0549316     |	0.0105583     0.00219155    0             |	0             0             -7.57548e-11  |	nan           |	0             0.4           0:39:21
19            0.0579834     |	0.0105583     0.00219155    0             |	0             0             -7.99704e-11  |	nan           |	0             0.4           0:39:08
20            0.0610352     |	0.0105583     0.00219155    0             |	0             0             -8.41871e-11  |	nan           |	0             0.4           0:38:57
21            0.0640869     |	0.0105583     0.00219155    0             |	0             0             -8.8405e-11   |	nan           |	0             0.4           0:38:45
22            0.0671387     |	0.0105583     0.00219155    0             |	0             0             -9.26241e-11  |	nan           |	0             0.5           0:38:31
23            0.0701904     |	0.0105583     0.00219155    0             |	0             0             -9.68445e-11  |	nan           |	0             0.5           0:38:18
24            0.0732422     |	0.0105583     0.00219155    0             |	0             0             -1.01066e-10  |	nan           |	0             0.5           0:38:11
25            0.0762939     |	0.0105583     0.00219155    0             |	0             0             -1.0529e-10   |	nan           |	0             0.5           0:38:01
26            0.0793457     |	0.0105583     0.00219155    0             |	0             0             -1.09514e-10  |	nan           |	0             0.5           0:37:56
27            0.0823975     |	0.0105583     0.00219155    0             |	0             0             -1.13741e-10  |	nan           |	0             0.6           0:37:54
28            0.0854492     |	0.0105583     0.00219155    0             |	0             0             -1.17969e-10  |	nan           |	0             0.6           0:37:56
29            0.088501      |	0.0105583     0.00219155    0             |	0             0             -1.22198e-10  |	nan           |	0             0.6           0:37:47
30            0.0915527     |	0.0105583     0.00219155    0             |	0             0             -1.26429e-10  |	nan           |	0             0.6           0:37:34
31            0.0946045     |	0.0105583     0.00219155    0             |	0             0             -1.30663e-10  |	nan           |	0             0.6           0:37:24
32            0.0976562     |	0.0105583     0.00219155    0             |	0             0             -1.34897e-10  |	nan           |	0             0.7           0:37:15
33            0.100708      |	0.0105583     0.00219155    0             |	0             0             -1.39134e-10  |	nan           |	0             0.7           0:37:12
34            0.10376       |	0.0105583     0.00219155    0             |	0             0             -1.43373e-10  |	nan           |	0             0.7           0:37:04
35            0.106812      |	0.0105583     0.00219155    0             |	0             0             -1.47614e-10  |	nan           |	0             0.7           0:36:55
36            0.109863      |	0.0105583     0.00219155    0             |	0             0             -1.51857e-10  |	nan           |	0             0.7           0:36:50
37            0.112915      |	0.0105583     0.00219155    0             |	0             0             -1.56102e-10  |	nan           |	0             0.8           0:36:43
38            0.115967      |	0.0105583     0.00219155    0             |	0             0             -1.60349e-10  |	nan           |	0             0.8           0:36:40
39            0.119019      |	0.0105583     0.00219155    0             |	0             0             -1.64599e-10  |	nan           |	0             0.8           0:36:33
40            0.12207       |	0.0105583     0.00219155    0             |	0             0             -1.68851e-10  |	nan           |	0             0.8           0:36:19
41            0.125122      |	0.0105583     0.00219155    0             |	0             0             -1.73105e-10  |	nan           |	0             0.8           0:36:09
42            0.128174      |	0.0105583     0.00219155    0             |	0             0             -1.77362e-10  |	nan           |	0             0.9           0:35:58
43            0.131226      |	0.0105583     0.00219155    0             |	0             0             -1.81621e-10  |	nan           |	0             0.9           0:35:46
44            0.134277      |	0.0105583     0.00219155    0             |	0             0             -1.85883e-10  |	nan           |	0             0.9           0:35:35
45            0.137329      |	0.0105583     0.00219155    0             |	0             0             -1.90148e-10  |	nan           |	0             0.9           0:35:24
46            0.140381      |	0.0105583     0.00219155    0             |	0             0             -1.94415e-10  |	nan           |	0             0.9           0:35:14
47            0.143433      |	0.0105583     0.00219155    0             |	0             0             -1.98685e-10  |	nan           |	0             1             0:35:04
48            0.146484      |	0.0105583     0.00219155    0             |	0             0             -2.02958e-10  |	nan           |	0             1             0:34:54
49            0.149536      |	0.0105583     0.00219155    0             |	0             0             -2.07234e-10  |	nan           |	0             1             0:34:45
50            0.152588      |	0.0105583     0.00219155    0             |	0             0             -2.11512e-10  |	nan           |	0             1             0:34:37
51            0.15564       |	0.0105583     0.00219155    0             |	0             0             -2.15794e-10  |	nan           |	0             1             0:34:29
52            0.158691      |	0.0105583     0.00219155    0             |	0             0             -2.20079e-10  |	nan           |	0             1.1           0:34:21
53            0.161743      |	0.0105583     0.00219155    0             |	0             0             -2.24367e-10  |	nan           |	0             1.1           0:34:13
54            0.164795      |	0.0105583     0.00219155    0             |	0             0             -2.28658e-10  |	nan           |	0             1.1           0:34:04
55            0.167847      |	0.0105583     0.00219155    0             |	0             0             -2.32952e-10  |	nan           |	0             1.1           0:33:57
56            0.170898      |	0.0105583     0.00219155    0             |	0             0             -2.3725e-10   |	nan           |	0             1.1           0:33:50
57            0.17395       |	0.0105583     0.00219155    0             |	0             0             -2.41551e-10  |	nan           |	0             1.2           0:33:44
58            0.177002      |	0.0105583     0.00219155    0             |	0             0             -2.45856e-10  |	nan           |	0             1.2           0:33:38
59            0.180054      |	0.0105583     0.00219155    0             |	0             0             -2.50164e-10  |	nan           |	0             1.2           0:33:37
60            0.183105      |	0.0105583     0.00219155    0             |	0             0             -2.54475e-10  |	nan           |	0             1.2           0:33:31
61            0.186157      |	0.0105583     0.00219155    0             |	0             0             -2.5879e-10   |	nan           |	0             1.2           0:33:25
62            0.189209      |	0.0105583     0.00219155    0             |	0             0             -2.63109e-10  |	nan           |	0             1.3           0:33:20
63            0.192261      |	0.0105583     0.00219155    0             |	0             0             -2.67432e-10  |	nan           |	0             1.3           0:33:14
64            0.195312      |	0.0105583     0.00219155    0             |	0             0             -2.71759e-10  |	nan           |	0             1.3           0:33:10
65            0.198364      |	0.0105583     0.00219155    0             |	0             0             -2.76089e-10  |	nan           |	0             1.3           0:33:04
66            0.201416      |	0.0105583     0.00219155    0             |	0             0             -2.80424e-10  |	nan           |	0             1.3           0:32:59
67            0.204468      |	0.0105583     0.00219155    0             |	0             0             -2.84762e-10  |	nan           |	0             1.4           0:32:54
68            0.20752       |	0.0105583     0.00219155    0             |	0             0             -2.89105e-10  |	nan           |	0             1.4           0:32:50
69            0.210571      |	0.0105583     0.00219155    0             |	0             0             -2.93451e-10  |	nan           |	0             1.4           0:32:44
70            0.213623      |	0.0105583     0.00219155    0             |	0             0             -2.97802e-10  |	nan           |	0             1.4           0:32:39
71            0.216675      |	0.0105583     0.00219155    0             |	0             0             -3.02157e-10  |	nan           |	0             1.4           0:32:34
72            0.219727      |	0.0105583     0.00219155    0             |	0             0             -3.06517e-10  |	nan           |	0             1.5           0:32:30
73            0.222778      |	0.0105583     0.00219155    0             |	0             0             -3.10881e-10  |	nan           |	0             1.5           0:32:25
74            0.22583       |	0.0105583     0.00219155    0             |	0             0             -3.15249e-10  |	nan           |	0             1.5           0:32:21
75            0.228882      |	0.0105583     0.00219155    0             |	0             0             -3.19622e-10  |	nan           |	0             1.5           0:32:17
76            0.231934      |	0.0105583     0.00219155    0             |	0             0             -3.24e-10     |	nan           |	0             1.5           0:32:13
77            0.234985      |	0.0105583     0.00219155    0             |	0             0             -3.28382e-10  |	nan           |	0             1.6           0:32:09
78            0.238037      |	0.0105583     0.00219155    0             |	0             0             -3.32769e-10  |	nan           |	0             1.6           0:32:05
79            0.241089      |	0.0105583     0.00219155    0             |	0             0             -3.37161e-10  |	nan           |	0             1.6           0:32:01
80            0.244141      |	0.0105583     0.00219155    0             |	0             0             -3.41557e-10  |	nan           |	0             1.6           0:31:57
81            0.247192      |	0.0105583     0.00219155    0             |	0             0             -3.45959e-10  |	nan           |	0             1.6           0:31:54
82            0.250244      |	0.0105583     0.00219155    0             |	0             0             -3.50366e-10  |	nan           |	0             1.7           0:31:50
83            0.253296      |	0.0105583     0.00219155    0             |	0             0             -3.54777e-10  |	nan           |	0             1.7           0:31:46
84            0.256348      |	0.0105583     0.00219155    0             |	0             0             -3.59194e-10  |	nan           |	0             1.7           0:31:43
85            0.259399      |	0.0105583     0.00219155    0             |	0             0             -3.63616e-10  |	nan           |	0             1.7           0:31:39
86            0.262451      |	0.0105583     0.00219155    0             |	0             0             -3.68043e-10  |	nan           |	0             1.7           0:31:36
87            0.265503      |	0.0105583     0.00219155    0             |	0             0             -3.72476e-10  |	nan           |	0             1.8           0:31:33
88            0.268555      |	0.0105583     0.00219155    0             |	0             0             -3.76914e-10  |	nan           |	0             1.8           0:31:30
89            0.271606      |	0.0105583     0.00219155    0             |	0             0             -3.81357e-10  |	nan           |	0             1.8           0:31:27
90            0.274658      |	0.0105583     0.00219155    0             |	0             0             -3.85806e-10  |	nan           |	0             1.8           0:31:24
91            0.27771       |	0.0105583     0.00219155    0             |	0             0             -3.90261e-10  |	nan           |	0             1.8           0:31:21
92            0.280762      |	0.0105583     0.00219155    0             |	0             0             -3.94721e-10  |	nan           |	0             1.9           0:31:18
93            0.283813      |	0.0105583     0.00219155    0             |	0             0             -3.99187e-10  |	nan           |	0             1.9           0:31:15
94            0.286865      |	0.0105583     0.00219155    0             |	0             0             -4.03659e-10  |	nan           |	0             1.9           0:31:13
95            0.289917      |	0.0105583     0.00219155    0             |	0             0             -4.08137e-10  |	nan           |	0             1.9           0:31:10
96            0.292969      |	0.0105583     0.00219155    0             |	0             0             -4.12621e-10  |	nan           |	0             1.9           0:31:08
97            0.296021      |	0.0105583     0.00219155    0             |	0             0             -4.1711e-10   |	nan           |	0             2             0:31:05
98            0.299072      |	0.0105583     0.00219155    0             |	0             0             -4.21606e-10  |	nan           |	0             2             0:31:02
99            0.302124      |	0.0105583     0.00219155    0             |	0             0             -4.26108e-10  |	nan           |	0             2             0:30:59
100           0.305176      |	0.0105583     0.00219155    0             |	0             0             -4.30616e-10  |	nan           |	0             2             0:31:04
101           0.308228      |	0.0105583     0.00219155    0             |	0             0             -4.35131e-10  |	nan           |	0             2             0:31:01
102           0.311279      |	0.0105583     0.00219155    0             |	0             0             -4.39652e-10  |	nan           |	0             2.1           0:30:59
103           0.314331      |	0.0105583     0.00219155    0             |	0             0             -4.44179e-10  |	nan           |	0             2.1           0:30:56
104           0.317383      |	0.0105583     0.00219155    0             |	0             0             -4.48713e-10  |	nan           |	0             2.1           0:30:54
105           0.320435      |	0.0105583     0.00219155    0             |	0             0             -4.53254e-10  |	nan           |	0             2.1           0:30:52
106           0.323486      |	0.0105583     0.00219155    0             |	0             0             -4.57801e-10  |	nan           |	0             2.1           0:30:50
107           0.326538      |	0.0105583     0.00219155    0             |	0             0             -4.62355e-10  |	nan           |	0             2.2           0:30:47
108           0.32959       |	0.0105583     0.00219155    0             |	0             0             -4.66915e-10  |	nan           |	0             2.2           0:30:45
109           0.332642      |	0.0105583     0.00219155    0             |	0             0             -4.71483e-10  |	nan           |	0             2.2           0:30:43
110           0.335693      |	0.0105583     0.00219155    0             |	0             0             -4.76057e-10  |	nan           |	0             2.2           0:30:40
111           0.338745      |	0.0105583     0.00219155    0             |	0             0             -4.80639e-10  |	nan           |	0             2.2           0:30:38
112           0.341797      |	0.0105583     0.00219155    0             |	0             0             -4.85228e-10  |	nan           |	0             2.3           0:30:36
113           0.344849      |	0.0105583     0.00219155    0             |	0             0             -4.89823e-10  |	nan           |	0             2.3           0:30:34
114           0.3479        |	0.0105583     0.00219155    0             |	0             0             -4.94426e-10  |	nan           |	0             2.3           0:30:31
115           0.350952      |	0.0105583     0.00219155    0             |	0             0             -4.99037e-10  |	nan           |	0             2.3           0:30:29
116           0.354004      |	0.0105583     0.00219155    0             |	0             0             -5.03655e-10  |	nan           |	0             2.3           0:30:27
117           0.357056      |	0.0105583     0.00219155    0             |	0             0             -5.0828e-10   |	nan           |	0             2.4           0:30:25
118           0.360107      |	0.0105583     0.00219155    0             |	0             0             -5.12913e-10  |	nan           |	0             2.4           0:30:23
119           0.363159      |	0.0105583     0.00219155    0             |	0             0             -5.17553e-10  |	nan           |	0             2.4           0:30:21
120           0.366211      |	0.0105583     0.00219155    0             |	0             0             -5.22202e-10  |	nan           |	0             2.4           0:30:19
121           0.369263      |	0.0105583     0.00219155    0             |	0             0             -5.26858e-10  |	nan           |	0             2.4           0:30:17
122           0.372314      |	0.0105583     0.00219155    0             |	0             0             -5.31521e-10  |	nan           |	0             2.5           0:30:16
123           0.375366      |	0.0105583     0.00219155    0             |	0             0             -5.36193e-10  |	nan           |	0             2.5           0:30:14
124           0.378418      |	0.0105583     0.00219155    0             |	0             0             -5.40873e-10  |	nan           |	0             2.5           0:30:12
125           0.38147       |	0.0105583     0.00219155    0             |	0             0             -5.45561e-10  |	nan           |	0             2.5           0:30:10
126           0.384521      |	0.0105583     0.00219155    0             |	0             0             -5.50257e-10  |	nan           |	0             2.5           0:30:08
127           0.387573      |	0.0105583     0.00219155    0             |	0             0             -5.54962e-10  |	nan           |	0             2.6           0:30:07
128           0.390625      |	0.0105583     0.00219155    0             |	0             0             -5.59675e-10  |	nan           |	0             2.6           0:30:05
129           0.393677      |	0.0105583     0.00219155    0             |	0             0             -5.64396e-10  |	nan           |	0             2.6           0:30:03
130           0.396729      |	0.0105583     0.00219155    0             |	0             0             -5.69126e-10  |	nan           |	0             2.6           0:30:02
131           0.39978       |	0.0105583     0.00219155    0             |	0             0             -5.73864e-10  |	nan           |	0             2.6           0:30:00
132           0.402832      |	0.0105583     0.00219155    0             |	0             0             -5.78611e-10  |	nan           |	0             2.7           0:29:58
133           0.405884      |	0.0105583     0.00219155    0             |	0             0             -5.83367e-10  |	nan           |	0             2.7           0:29:57
134           0.408936      |	0.0105583     0.00219155    0             |	0             0             -5.88132e-10  |	nan           |	0             2.7           0:29:55
135           0.411987      |	0.0105583     0.00219155    0             |	0             0             -5.92905e-10  |	nan           |	0             2.7           0:29:54
136           0.415039      |	0.0105583     0.00219155    0             |	0             0             -5.97688e-10  |	nan           |	0             2.7           0:29:52
