Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.1837158203125 from 0.183673469387755
New r_max = 10.0020751953125 from 10

Now that we have chosen parameters, do a set of evolutions and save the profiles at regular intervals.

Time start:	Wed Feb 05 19:30:43 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0                   0                   
R_LC_max                     :	0                   0                   
r_min, r_max                 :	1                   10.0020751953125    
n_r, delta_r                 :	50                  0.1837158203125     
n_t, delta_t                 :	101                 0.0314159265358979  
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.0314159265358979  1.04792251097584e-06
Length of simulation         :	9                   0.000300207685678337	steps: 3000
Est. CSV size (MB)           :	284.59997177124
ell_max                      :	1
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	100001	305.178833007812
Ramp stop                    :	100150	305.633544921875

Twist start                :	100151	305.636596679688
Twist stop                   :	100200	305.7861328125
Twist magnitude              :	1e-08
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[20], theta[20] ) = ( 4.67431640625, 0.644026493985908 ) = ( 4.67431640625, 0.205 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	C:/Users/Dan/Documents/NS_code_offline_results/CSV/20250205_b_detailed_run_nonrotating_ellmax1_4_profiles.csv
CSV file saved:	C:/Users/Dan/Documents/NS_code_offline_results/CSV/20250205_b_detailed_run_nonrotating_ellmax1_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	C:/Users/Dan/Documents/NS_code_offline_results/Logs/20250205_b_detailed_run_nonrotating_ellmax1.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0156601     0.00587897    0             |	0             0             0             |	nan           |	0             0             1             0.00305176    |	0.0156601     0.00587897    0             |	0             0             -2.85953e-09  |	nan           |	0             0.1           0:07:41
2             0.00610352    |	0.0156601     0.00587897    0             |	0             0             -5.71905e-09  |	nan           |	0             0.1           0:04:34
3             0.00915527    |	0.0156601     0.00587897    0             |	0             0             -8.57861e-09  |	nan           |	0             0.1           0:03:32
4             0.012207      |	0.0156601     0.00587897    0             |	0             0             -1.14382e-08  |	nan           |	0             0.2           0:03:06
5             0.0152588     |	0.0156601     0.00587897    0             |	0             0             -1.42979e-08  |	nan           |	0             0.2           0:02:52
6             0.0183105     |	0.0156601     0.00587897    0             |	0             0             -1.71576e-08  |	nan           |	0             0.2           0:02:38
7             0.0213623     |	0.0156601     0.00587897    0             |	0             0             -2.00174e-08  |	nan           |	0             0.3           0:02:29
8             0.0244141     |	0.0156601     0.00587897    0             |	0             0             -2.28772e-08  |	nan           |	0             0.3           0:02:21
9             0.0274658     |	0.0156601     0.00587897    0             |	0             0             -2.57372e-08  |	nan           |	0             0.3           0:02:15
10            0.0305176     |	0.0156601     0.00587897    0             |	0             0             -2.85973e-08  |	nan           |	0             0.4           0:02:11
11            0.0335693     |	0.0156601     0.00587897    0             |	0             0             -3.14575e-08  |	nan           |	0             0.4           0:02:07
12            0.0366211     |	0.0156601     0.00587897    0             |	0             0             -3.43179e-08  |	nan           |	0             0.4           0:02:05
13            0.0396729     |	0.0156601     0.00587897    0             |	0             0             -3.71784e-08  |	nan           |	0             0.5           0:02:02
14            0.0427246     |	0.0156601     0.00587897    0             |	0             0             -4.00391e-08  |	nan           |	0             0.5           0:02:00
15            0.0457764     |	0.0156601     0.00587897    0             |	0             0             -4.29e-08     |	nan           |	0             0.5           0:01:59
16            0.0488281     |	0.0156601     0.00587897    0             |	0             0             -4.57611e-08  |	nan           |	0             0.6           0:01:57
17            0.0518799     |	0.0156601     0.00587897    0             |	0             0             -4.86223e-08  |	nan           |	0             0.6           0:01:55
18            0.0549316     |	0.0156601     0.00587897    0             |	0             0             -5.14838e-08  |	nan           |	0             0.6           0:01:53
