Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.1837158203125 from 0.183673469387755
New r_max = 10.0020751953125 from 10

Detailed evolution of twisted magnetosphere. See if still works when there is rotation.

Time start:	Wed Feb 19 20:01:27 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0                   0                   
R_LC_max                     :	0                   0                   
r_min, r_max                 :	1                   10.0020751953125    
n_r, delta_r                 :	50                  0.1837158203125     
n_t, delta_t                 :	101                 0.0314159265358979  
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.0314159265358979  1.04792251097584e-06
Length of simulation         :	9                   0.000300207685678337	steps: 3000
Est. CSV size (MB)           :	284.59997177124
ell_max                      :	20
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	100001	305.178833007812
Ramp stop                    :	100150	305.633544921875

Twist start                :	151	0.4608154296875
Twist stop                   :	300	0.91552734375
Twist magnitude              :	0.0015
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[20], theta[20] ) = ( 4.67431640625, 0.644026493985908 ) = ( 4.67431640625, 0.205 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	C:/Users/Dan/Documents/NS_code_offline_results/CSV/20250218_a_twisted_nonrotating_4_profiles.csv
CSV file saved:	C:/Users/Dan/Documents/NS_code_offline_results/CSV/20250218_a_twisted_nonrotating_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	C:/Users/Dan/Documents/NS_code_offline_results/Logs/20250218_a_twisted_nonrotating.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0156601     0.00587897    0             |	0             0             0             |	nan           |	0             0             1             0.00305176    |	0.0156601     0.00587897    0             |	0             0             2.5015e-07    |	nan           |	0             0.1           0:27:23
2             0.00610352    |	0.0156601     0.00587897    0             |	0             0             5.003e-07     |	nan           |	0             0.1           0:15:50
3             0.00915527    |	0.0156601     0.00587896    0             |	0             0             7.5033e-07    |	nan           |	0             0.1           0:12:04
4             0.012207      |	0.0156601     0.00587896    0             |	0             0             1.00024e-06   |	nan           |	0             0.2           0:10:06
5             0.0152588     |	0.0156601     0.00587896    0             |	0             0             1.24999e-06   |	nan           |	0             0.2           0:08:54
6             0.0183105     |	0.0156601     0.00587896    0             |	0             0             1.49953e-06   |	nan           |	0             0.2           0:08:07
7             0.0213623     |	0.0156601     0.00587895    0             |	0             0             1.74882e-06   |	nan           |	0             0.3           0:07:31
8             0.0244141     |	0.0156601     0.00587895    0             |	0             0             1.99782e-06   |	nan           |	0             0.3           0:07:09
9             0.0274658     |	0.0156601     0.00587895    0             |	0             0             2.24648e-06   |	nan           |	0             0.3           0:06:51
10            0.0305176     |	0.0156601     0.00587894    0             |	0             0             2.49477e-06   |	nan           |	0             0.4           0:06:35
11            0.0335693     |	0.0156601     0.00587894    0             |	0             0             2.74264e-06   |	nan           |	0             0.4           0:06:22
12            0.0366211     |	0.0156601     0.00587893    0             |	0             0             2.99006e-06   |	nan           |	0             0.4           0:06:11
13            0.0396729     |	0.0156601     0.00587893    0             |	0             0             3.23697e-06   |	nan           |	0             0.5           0:06:03
14            0.0427246     |	0.0156601     0.00587892    0             |	0             0             3.48335e-06   |	nan           |	0             0.5           0:05:57
15            0.0457764     |	0.0156601     0.00587891    0             |	0             0             3.72915e-06   |	nan           |	0             0.5           0:05:51
16            0.0488281     |	0.0156601     0.0058789     0             |	0             0             3.97432e-06   |	nan           |	0             0.6           0:05:45
17            0.0518799     |	0.0156601     0.0058789     0             |	0             0             4.21883e-06   |	nan           |	0             0.6           0:05:40
18            0.0549316     |	0.0156601     0.00587889    0             |	0             0             4.46264e-06   |	nan           |	0             0.6           0:05:36
19            0.0579834     |	0.0156601     0.00587888    0             |	0             0             4.7057e-06    |	nan           |	0             0.7           0:05:32
20            0.0610352     |	0.0156601     0.00587887    0             |	0             0             4.94797e-06   |	nan           |	0             0.7           0:05:28
21            0.0640869     |	0.0156601     0.00587886    0             |	0             0             5.18942e-06   |	nan           |	0             0.7           0:05:24
22            0.0671387     |	0.0156601     0.00587885    0             |	0             0             5.43001e-06   |	nan           |	0             0.8           0:05:21
23            0.0701904     |	0.0156601     0.00587884    0             |	0             0             5.66969e-06   |	nan           |	0             0.8           0:05:18
24            0.0732422     |	0.0156601     0.00587883    0             |	0             0             5.90842e-06   |	nan           |	0             0.8           0:05:15
25            0.0762939     |	0.0156601     0.00587882    0             |	0             0             6.14616e-06   |	nan           |	0             0.9           0:05:12
26            0.0793457     |	0.0156601     0.0058788     0             |	0             0             6.38288e-06   |	nan           |	0             0.9           0:05:10
27            0.0823975     |	0.0156601     0.00587879    0             |	0             0             6.61853e-06   |	nan           |	0             0.9           0:05:07
28            0.0854492     |	0.0156601     0.00587878    0             |	0             0             6.85308e-06   |	nan           |	0             1             0:05:05
29            0.088501      |	0.0156601     0.00587876    0             |	0             0             7.08648e-06   |	nan           |	0             1             0:05:03
30            0.0915527     |	0.0156601     0.00587875    0             |	0             0             7.3187e-06    |	nan           |	0             1             0:05:04
31            0.0946045     |	0.0156601     0.00587874    0             |	0             0             7.54969e-06   |	nan           |	0             1.1           0:05:05
32            0.0976562     |	0.0156601     0.00587872    0             |	0             0             7.77943e-06   |	nan           |	0             1.1           0:05:05
33            0.100708      |	0.0156601     0.00587871    0             |	0             0             8.00786e-06   |	nan           |	0             1.1           0:05:07
34            0.10376       |	0.0156601     0.00587869    0             |	0             0             8.23495e-06   |	nan           |	0             1.2           0:05:09
35            0.106812      |	0.0156601     0.00587868    0             |	0             0             8.46067e-06   |	nan           |	0             1.2           0:05:11
36            0.109863      |	0.0156601     0.00587866    0             |	0             0             8.68497e-06   |	nan           |	0             1.2           0:05:12
37            0.112915      |	0.0156601     0.00587864    0             |	0             0             8.90782e-06   |	nan           |	0             1.3           0:05:14
38            0.115967      |	0.0156601     0.00587862    0             |	0             0             9.12918e-06   |	nan           |	0             1.3           0:05:15
39            0.119019      |	0.0156601     0.00587861    0             |	0             0             9.34901e-06   |	nan           |	0             1.3           0:05:15
40            0.12207       |	0.0156601     0.00587859    0             |	0             0             9.56727e-06   |	nan           |	0             1.4           0:05:15
41            0.125122      |	0.0156601     0.00587857    0             |	0             0             9.78394e-06   |	nan           |	0             1.4           0:05:16
42            0.128174      |	0.0156601     0.00587855    0             |	0             0             9.99897e-06   |	nan           |	0             1.4           0:05:16
43            0.131226      |	0.0156601     0.00587853    0             |	0             0             1.02123e-05   |	nan           |	0             1.5           0:05:17
44            0.134277      |	0.0156601     0.00587851    0             |	0             0             1.0424e-05    |	nan           |	0             1.5           0:05:18
45            0.137329      |	0.0156601     0.00587849    0             |	0             0             1.06339e-05   |	nan           |	0             1.5           0:05:19
46            0.140381      |	0.0156601     0.00587847    0             |	0             0             1.0842e-05    |	nan           |	0             1.6           0:05:19
47            0.143433      |	0.0156601     0.00587845    0             |	0             0             1.10483e-05   |	nan           |	0             1.6           0:05:20
48            0.146484      |	0.0156601     0.00587843    0             |	0             0             1.12527e-05   |	nan           |	0             1.6           0:05:22
49            0.149536      |	0.0156601     0.00587841    0             |	0             0             1.14553e-05   |	nan           |	0             1.7           0:05:24
50            0.152588      |	0.0156601     0.00587839    0             |	0             0             1.16559e-05   |	nan           |	0             1.7           0:05:49
51            0.15564       |	0.0156601     0.00587837    0             |	0             0             1.18546e-05   |	nan           |	0             1.7           0:05:50
52            0.158691      |	0.0156601     0.00587834    0             |	0             0             1.20513e-05   |	nan           |	0             1.8           0:05:49
53            0.161743      |	0.0156601     0.00587832    0             |	0             0             1.22459e-05   |	nan           |	0             1.8           0:05:50
