Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.1837158203125 from 0.183673469387755
New r_max = 10.0020751953125 from 10

Detailed evolution of twisted magnetosphere. See if still works when there is rotation.

Time start:	Wed Feb 19 19:55:59 2025

Parameter values (given in code units, then in SI units)
P_final                      :	44.9688687          0.0015              
Omega_final                  :	0                   0                   
R_LC_max                     :	0                   0                   
r_min, r_max                 :	1                   10.0020751953125    
n_r, delta_r                 :	50                  0.1837158203125     
n_t, delta_t                 :	101                 0.0314159265358979  
Timestep delta_T             :	0.0030517578125     1.01795683349045e-07
CFL max timestep             :	0.0314159265358979  1.04792251097584e-06
Length of simulation         :	9                   0.000300207685678337	steps: 3000
Est. CSV size (MB)           :	284.59997177124
ell_max                      :	20
dOmega_by_dT_index           :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start                   :	100001	305.178833007812
Ramp stop                    :	100150	305.633544921875

Twist start                :	151	0.4608154296875
Twist stop                   :	300	0.91552734375
Twist magnitude              :	1
Twist min radius             :	1
Twist ramp    99% radius     :	1.9
Twist de-ramp 99% radius     :	9.1
Twist max radius             :	10
Twist min angle (rad)        :	0.523598775598299
Twist ramp    99% angle (rad):	0.593411945678072
Twist de-ramp 99% angle (rad):	0.628318530717959
Twist max angle (rad)        :	0.698131700797732

Printing values at ( r[20], theta[20] ) = ( 4.67431640625, 0.644026493985908 ) = ( 4.67431640625, 0.205 pi ).

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	C:/Users/Dan/Documents/NS_code_offline_results/CSV/20250218_d_twisted_nonrotating_extreme_4_profiles.csv
CSV file saved:	C:/Users/Dan/Documents/NS_code_offline_results/CSV/20250218_d_twisted_nonrotating_extreme_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV _4_BCs not saved.
Log file saved:	C:/Users/Dan/Documents/NS_code_offline_results/Logs/20250218_d_twisted_nonrotating_extreme.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.0156601     0.00587897    0             |	0             0             0             |	nan           |	0             0             1             0.00305176    |	0.0156601     0.00587897    0             |	0             0             2.5015e-07    |	nan           |	0             0.1           0:22:59
2             0.00610352    |	0.0156601     0.00587897    0             |	0             0             5.003e-07     |	nan           |	0             0.1           0:13:46
3             0.00915527    |	0.0156601     0.00587896    0             |	0             0             7.5033e-07    |	nan           |	0             0.1           0:10:33
4             0.012207      |	0.0156601     0.00587896    0             |	0             0             1.00024e-06   |	nan           |	0             0.2           0:08:55
5             0.0152588     |	0.0156601     0.00587896    0             |	0             0             1.24999e-06   |	nan           |	0             0.2           0:07:54
6             0.0183105     |	0.0156601     0.00587896    0             |	0             0             1.49953e-06   |	nan           |	0             0.2           0:07:11
7             0.0213623     |	0.0156601     0.00587895    0             |	0             0             1.74882e-06   |	nan           |	0             0.3           0:06:43
8             0.0244141     |	0.0156601     0.00587895    0             |	0             0             1.99782e-06   |	nan           |	0             0.3           0:06:22
9             0.0274658     |	0.0156601     0.00587895    0             |	0             0             2.24648e-06   |	nan           |	0             0.3           0:06:07
10            0.0305176     |	0.0156601     0.00587894    0             |	0             0             2.49477e-06   |	nan           |	0             0.4           0:05:54
11            0.0335693     |	0.0156601     0.00587894    0             |	0             0             2.74264e-06   |	nan           |	0             0.4           0:05:44
12            0.0366211     |	0.0156601     0.00587893    0             |	0             0             2.99006e-06   |	nan           |	0             0.4           0:05:35
13            0.0396729     |	0.0156601     0.00587893    0             |	0             0             3.23697e-06   |	nan           |	0             0.5           0:05:27
14            0.0427246     |	0.0156601     0.00587892    0             |	0             0             3.48335e-06   |	nan           |	0             0.5           0:05:20
15            0.0457764     |	0.0156601     0.00587891    0             |	0             0             3.72915e-06   |	nan           |	0             0.5           0:05:15
16            0.0488281     |	0.0156601     0.0058789     0             |	0             0             3.97432e-06   |	nan           |	0             0.6           0:05:10
17            0.0518799     |	0.0156601     0.0058789     0             |	0             0             4.21883e-06   |	nan           |	0             0.6           0:05:05
18            0.0549316     |	0.0156601     0.00587889    0             |	0             0             4.46264e-06   |	nan           |	0             0.6           0:05:01
19            0.0579834     |	0.0156601     0.00587888    0             |	0             0             4.7057e-06    |	nan           |	0             0.7           0:04:57
20            0.0610352     |	0.0156601     0.00587887    0             |	0             0             4.94797e-06   |	nan           |	0             0.7           0:04:54
21            0.0640869     |	0.0156601     0.00587886    0             |	0             0             5.18942e-06   |	nan           |	0             0.7           0:04:51
22            0.0671387     |	0.0156601     0.00587885    0             |	0             0             5.43001e-06   |	nan           |	0             0.8           0:04:47
