
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;Gl;Gb;RAJD;DECJD;
;(deg);(deg);(deg);(deg);
1;117.327;-0.074;0.74237500;62.26927778;
2;108.172;-42.985;1.52000000;18.58305556;
3;119.660;10.463;1.75708333;73.05205556;
4;106.228;-53.407;2.89166667;8.16666667;
5;117.231;-7.911;3.09708333;54.52777778;
6;116.497;-14.631;3.57395833;47.77594444;
7;100.291;-70.726;5.46445833;-9.16630556;
8;111.383;-52.849;5.82032291;9.38996121;
9;305.923;-44.892;5.95981083;-72.07541800;
10;305.881;-44.893;6.05783717;-72.07884789;
11;305.883;-44.883;6.04627200;-72.08893033;
12;305.899;-44.892;6.01606446;-72.07856064;
13;305.891;-44.893;6.03316792;-72.07769528;
14;305.896;-44.902;6.02793000;-72.06855742;
15;305.892;-44.893;6.03306125;-72.07768931;
16;305.909;-44.903;5.99753208;-72.06633078;
17;305.898;-44.888;6.01571708;-72.08247861;
18;305.913;-44.877;5.97704125;-72.09187667;
19;305.890;-44.897;6.03828333;-72.07469186;
20;305.897;-44.889;6.01938558;-72.08160194;
21;305.872;-44.904;6.08333333;-72.06944444;
22;305.877;-44.899;6.06871208;-72.07365678;
23;305.892;-44.890;6.03160458;-72.08066539;
24;305.898;-44.892;6.01658083;-72.07843139;
25;305.890;-44.894;6.03562125;-72.07748111;
26;305.890;-44.905;6.04098583;-72.06658006;
27;305.895;-44.889;6.02362500;-72.08128333;
28;305.894;-44.890;6.02524167;-72.08030222;
29;305.877;-44.952;6.09327354;-72.02151150;
30;305.903;-44.891;6.00584417;-72.07828786;
31;305.894;-44.887;6.02517083;-72.08374444;
32;305.895;-44.889;6.02362500;-72.08128333;
33;305.891;-44.891;6.03400625;-72.07988944;
34;305.895;-44.889;6.02362500;-72.08127778;
35;305.895;-44.889;6.02362500;-72.08127778;
36;120.176;0.593;6.71067083;63.33357500;
37;83.291;-80.829;6.65000000;-19.93305556;
38;113.141;-57.611;7.61428447;4.86103063;
39;121.301;6.962;8.17185467;69.77445821;
40;120.410;-5.781;8.25000000;57.00000000;
41;120.698;-1.792;8.25000000;61.00000000;
42;121.411;6.896;8.50000000;69.71666667;
43;111.492;-68.069;8.59097592;-5.57686722;
44;110.420;-69.815;8.53695958;-7.36483583;
45;110.033;-73.044;9.06254167;-10.55394444;
46;67.413;-86.354;9.54276667;-25.02520278;
47;120.121;-27.054;9.77500000;35.75000000;
48;121.452;-5.567;10.13495792;57.27356472;
49;304.018;-43.666;10.10125000;-73.43855556;
50;303.957;-43.508;10.22458333;-73.59927778;
51;303.964;-43.488;10.20250000;-73.61869444;
52;303.741;-43.786;10.82333333;-73.32986111;
53;303.579;-43.886;11.24250000;-73.23433333;
54;303.652;-46.418;11.35704167;-70.70197222;
55;303.514;-43.804;11.39650000;-73.31750000;
56;122.255;-28.666;12.14160282;34.20223077;
57;303.181;-43.831;12.23416667;-73.29630556;
58;122.485;-59.071;12.62916667;3.80000000;
59;122.962;-58.491;12.87541667;4.38027778;
60;302.913;-45.054;12.90208333;-72.07391667;
