
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
1;0.115364;5.97e-15;*;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_;HE[wcp+18];
2;0.693748;2.10e-15;*;*;*;
3;0.315873;3.60e-13;*;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;NRAD[aab+22];
4;2.552870;*;*;*;*;
5;3.025301;1.28e-16;*;*;RRAT[dcm+23];
6;1.240699;5.64e-16;*;*;*;
7;2.314131;1.04e-15;*;*;*;
8;0.003050;1.14e-20;ELL1;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+1;HE;
9;0.005757;-4.99e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
10;0.005358;-3.42e-21;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
11;0.003536;9.85e-20;DD;GC:47Tuc(NGC104),XRS:[bgh+06];*;
12;0.002624;6.45e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
13;0.004040;-4.22e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
14;0.003210;-1.83e-21;DD;GC:47Tuc(NGC104),XRS:[bgh+06];*;
15;0.003485;-4.59e-20;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06];*;
16;0.002101;-9.79e-21;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];*;
17;0.004346;-1.22e-19;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
18;0.003677;-3.84e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
19;0.003054;-2.19e-20;*;GC:47Tuc(NGC104),XRS:[bgh+06];*;
20;0.002643;3.03e-20;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];*;
21;0.003643;6.64e-19;BT;GC:47Tuc(NGC104);*;
22;0.004033;3.40e-20;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+1;*;
23;0.003480;1.48e-19;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06];*;
24;0.002830;-1.21e-19;ELL1;GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+1;*;
25;0.007588;2.94e-19;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;*;
26;0.004343;9.52e-20;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;*;
27;0.004810;*;BTX;GC:47Tuc(NGC104);*;
28;0.002352;-8.66e-20;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];*;
29;0.004772;1.84e-20;ELL1;GC:47Tuc(NGC104);*;
30;0.002197;-3.52e-20;ELL1;GC:47Tuc(NGC104),OPT:[cpf+15];*;
31;0.004554;-4.54e-21;*;GC:47Tuc(NGC104),XRS:[bhc+17];*;
32;0.001840;*;*;GC:47Tuc(NGC104),XRS:[bhc+17];*;
33;0.003705;9.82e-21;*;GC:47Tuc(NGC104),XRS:[bhc+17];*;
34;0.002740;*;BT;GC:47Tuc(NGC104);*;
35;0.003740;*;BT;GC:47Tuc(NGC104);*;
36;0.318358;1.51e-16;*;*;*;
37;1.306150;*;*;*;*;
38;0.004865;1.02e-20;*;GRS:4FGL_J0030.4+0451[aab+22];HE[btlb00],HE[aaa+09e];
39;0.036804;3.59e-18;DD;*;*;
40;0.315000;*;*;*;*;
41;0.912000;*;*;*;*;
42;0.036804;*;*;*;*;
43;0.001877;4.97e-21;ELL1;GRS:4FGL_J0034.3-0534[aab+22];HE[aaa+10b];
44;0.942951;4.08e-16;*;*;*;
45;0.900009;2.13e-16;*;*;*;
46;0.256926;7.60e-19;*;*;*;
47;0.536700;*;*;*;*;
48;1.118225;2.88e-15;*;*;*;
49;0.398700;*;*;EXGAL:SMC[cls+24];*;
50;0.145200;*;*;EXGAL:SMC[cls+24];*;
51;0.059900;*;*;EXGAL:SMC[cls+24],SNR:DEM;*;
52;0.937429;*;*;EXGAL:SMC;*;
53;0.396900;*;*;EXGAL:SMC[cls+24];*;
54;0.632336;2.49e-15;*;EXGAL:SMC;*;
55;0.926276;4.46e-15;BT;EXGAL:SMC;*;
56;1.217094;2.35e-15;*;*;*;
57;0.079300;*;*;EXGAL:SMC[cls+24],PWN:[cls+24];*;
58;1.366560;*;*;*;*;
59;0.354732;7.00e-18;*;*;*;
60;0.191444;*;*;EXGAL:SMC;*;
61;1.390000;*;*;*;RRAT;
62;1.390217;5.55e-15;*;*;*;
63;*;*;*;*;RRAT[kkl+15];
64;0.832911;7.19e-16;*;*;*;
65;0.290900;*;*;EXGAL:SMC[cls+24];*;
66;2.115171;9.54e-15;*;*;*;
67;0.472037;3.33e-15;*;*;*;
68;0.738062;1.00e-16;*;*;*;
69;0.996023;8.04e-16;*;*;*;
70;0.637000;*;*;*;*;
71;0.021766;2.89e-14;*;EXGAL:SMC,XRS:PWN_IKT_16[met+21];NRAD[met+21];
72;1.145900;*;*;*;*;
73;1.493601;3.54e-16;*;*;*;
74;8.020392;1.88e-11;*;EXGAL:SMC,XRS:CXOU_J010043.1-721134;AXP,NRAD;
75;0.002573;5.16e-21;BT;GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15];HE[aab+22];
76;0.002964;1.14e-20;ELL1;GRS:4FGL_J0102.8+4839[aab+22];HE[aab+22];
77;1.679164;5.95e-15;*;*;*;
78;0.354304;*;*;*;RRAT[kkl+15];
79;1.386000;*;*;*;*;
80;0.306700;*;*;EXGAL:SMC[cls+24];*;
81;0.083157;4.28e-16;*;GRS:4FGL_J0106.4+4855[aab+22];HE[aab+22];
82;1.197383;6.87e-16;*;*;*;
83;1.283660;1.31e-14;*;*;*;
84;1.071118;4.81e-17;*;*;*;
85;0.807565;7.70e-17;*;*;*;
86;0.432700;*;*;*;*;
87;1.262000;*;*;*;*;
88;1.261960;6.21e-16;*;*;*;
89;4.301872;8.36e-15;*;*;*;
90;0.688542;7.09e-15;*;EXGAL:SMC;*;
91;0.325883;4.86e-15;*;EXGAL:SMC;*;
92;0.521455;1.60e-15;*;*;*;
93;0.101439;5.85e-15;*;XRS:[pb15],GRS:[saa+23];HE[saa+23];
94;1.313385;1.36e-17;*;*;*;
95;2.724785;*;*;*;RRAT[gac+21];
96;1.388994;3.80e-15;*;*;*;
97;1.708230;*;*;*;*;
98;0.003675;1.84e-20;ELL1;*;*;
